GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus vini DSM 20605	AHYZ01000001	PATRIC	source	73874088		1	884	+	884		
Lactobacillus vini DSM 20605	AHYZ01000001	PATRIC	gene	73874089	VBILacVin228679_0001	182	301	+	120		
Lactobacillus vini DSM 20605	AHYZ01000001	PATRIC	CDS	73874090	VBILacVin228679_0001	182	301	+	120		hypothetical protein
Lactobacillus vini DSM 20605	AHYZ01000001	PATRIC	CDS	73874092	VBILacVin228679_0002	298	738	-	441		Acyl-CoA hydrolase (EC 3.1.2.20)
Lactobacillus vini DSM 20605	AHYZ01000001	PATRIC	gene	73874091	VBILacVin228679_0002	298	738	-	441		
Lactobacillus vini DSM 20605	AHYZ01000002	PATRIC	source	73874093		1	1266	+	1266		
Lactobacillus vini DSM 20605	AHYZ01000002	PATRIC	gene	73874094	VBILacVin228679_0003	15	1187	+	1173		
Lactobacillus vini DSM 20605	AHYZ01000002	PATRIC	CDS	73874095	VBILacVin228679_0003	15	1187	+	1173		Mobile element protein
Lactobacillus vini DSM 20605	AHYZ01000003	PATRIC	source	73874096		1	3370	+	3370		
Lactobacillus vini DSM 20605	AHYZ01000003	PATRIC	gene	73874097	VBILacVin228679_0004	124	1425	+	1302		
Lactobacillus vini DSM 20605	AHYZ01000003	PATRIC	CDS	73874098	VBILacVin228679_0004	124	1425	+	1302		Nucleotidyltransferase/DNA polymerase for DNA repair
Lactobacillus vini DSM 20605	AHYZ01000003	PATRIC	gene	73874099	VBILacVin228679_0005	1460	1738	+	279		
Lactobacillus vini DSM 20605	AHYZ01000003	PATRIC	CDS	73874100	VBILacVin228679_0005	1460	1738	+	279		hypothetical protein
Lactobacillus vini DSM 20605	AHYZ01000003	PATRIC	CDS	73874102	VBILacVin228679_0006	1731	2126	+	396		DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)
Lactobacillus vini DSM 20605	AHYZ01000003	PATRIC	gene	73874101	VBILacVin228679_0006	1731	2126	+	396		
Lactobacillus vini DSM 20605	AHYZ01000003	PATRIC	gene	73874103	VBILacVin228679_0007	2159	3169	-	1011		
Lactobacillus vini DSM 20605	AHYZ01000003	PATRIC	CDS	73874104	VBILacVin228679_0007	2159	3169	-	1011		hypothetical protein
Lactobacillus vini DSM 20605	AHYZ01000004	PATRIC	source	73874105		1	638	+	638		
Lactobacillus vini DSM 20605	AHYZ01000005	PATRIC	source	73874106		1	7523	+	7523		
Lactobacillus vini DSM 20605	AHYZ01000005	PATRIC	CDS	73874108	VBILacVin228679_0008	270	1631	+	1362		Signal transduction histidine kinase
Lactobacillus vini DSM 20605	AHYZ01000005	PATRIC	gene	73874107	VBILacVin228679_0008	270	1631	+	1362		
Lactobacillus vini DSM 20605	AHYZ01000005	PATRIC	gene	73874109	VBILacVin228679_0009	1848	2465	+	618		
Lactobacillus vini DSM 20605	AHYZ01000005	PATRIC	CDS	73874110	VBILacVin228679_0009	1848	2465	+	618		DedA protein
Lactobacillus vini DSM 20605	AHYZ01000005	PATRIC	gene	73874111	VBILacVin228679_0010	2462	3118	+	657		
Lactobacillus vini DSM 20605	AHYZ01000005	PATRIC	CDS	73874112	VBILacVin228679_0010	2462	3118	+	657		PAP2 family protein
Lactobacillus vini DSM 20605	AHYZ01000005	PATRIC	gene	73874113	VBILacVin228679_0011	3122	4063	+	942		
Lactobacillus vini DSM 20605	AHYZ01000005	PATRIC	CDS	73874114	VBILacVin228679_0011	3122	4063	+	942		Glycosyltransferase
Lactobacillus vini DSM 20605	AHYZ01000005	PATRIC	gene	73874115	VBILacVin228679_0012	4074	6047	+	1974		
Lactobacillus vini DSM 20605	AHYZ01000005	PATRIC	CDS	73874116	VBILacVin228679_0012	4074	6047	+	1974		FIG00744724: hypothetical protein
Lactobacillus vini DSM 20605	AHYZ01000005	PATRIC	CDS	73874119	VBILacVin228679_0013	6412	7035	-	624		Conjugated bile salt hydrolase related amidase
Lactobacillus vini DSM 20605	AHYZ01000005	PATRIC	gene	73874117	VBILacVin228679_pg001	6412	7435	-	1024		
Lactobacillus vini DSM 20605	AHYZ01000005	PATRIC	gene	73874118	VBILacVin228679_0013	6412	7035	-	624		
Lactobacillus vini DSM 20605	AHYZ01000005	PATRIC	gene	73874120	VBILacVin228679_0014	7046	7435	-	390		
Lactobacillus vini DSM 20605	AHYZ01000005	PATRIC	CDS	73874121	VBILacVin228679_0014	7046	7435	-	390		Conjugated bile salt hydrolase related amidase
Lactobacillus vini DSM 20605	AHYZ01000006	PATRIC	source	73874122		1	1542	+	1542		
Lactobacillus vini DSM 20605	AHYZ01000006	PATRIC	gene	73874123	VBILacVin228679_r001	119	190	+	72		
Lactobacillus vini DSM 20605	AHYZ01000006	PATRIC	tRNA	73874124	VBILacVin228679_r001	119	190	+	72		tRNA-Glu-TTC
Lactobacillus vini DSM 20605	AHYZ01000006	PATRIC	gene	73874125	VBILacVin228679_r002	193	265	+	73		
Lactobacillus vini DSM 20605	AHYZ01000006	PATRIC	tRNA	73874126	VBILacVin228679_r002	193	265	+	73		tRNA-Thr-CGT
Lactobacillus vini DSM 20605	AHYZ01000006	PATRIC	gene	73874127	VBILacVin228679_0015	350	1060	-	711		
Lactobacillus vini DSM 20605	AHYZ01000006	PATRIC	CDS	73874128	VBILacVin228679_0015	350	1060	-	711		Integrase
Lactobacillus vini DSM 20605	AHYZ01000007	PATRIC	source	73874129		1	4000	+	4000		
Lactobacillus vini DSM 20605	AHYZ01000007	PATRIC	CDS	73874131	VBILacVin228679_0016	1791	2312	-	522		Rrf2 family transcriptional regulator
Lactobacillus vini DSM 20605	AHYZ01000007	PATRIC	gene	73874130	VBILacVin228679_0016	1791	2312	-	522		
Lactobacillus vini DSM 20605	AHYZ01000007	PATRIC	gene	73874132	VBILacVin228679_0017	2347	2862	-	516		
Lactobacillus vini DSM 20605	AHYZ01000007	PATRIC	CDS	73874133	VBILacVin228679_0017	2347	2862	-	516		Ribosomal-protein-S5p-alanine acetyltransferase
Lactobacillus vini DSM 20605	AHYZ01000007	PATRIC	CDS	73874135	VBILacVin228679_0018	2876	3583	-	708		hypothetical protein
Lactobacillus vini DSM 20605	AHYZ01000007	PATRIC	gene	73874134	VBILacVin228679_0018	2876	3583	-	708		
Lactobacillus vini DSM 20605	AHYZ01000008	PATRIC	source	73874136		1	20051	+	20051		
Lactobacillus vini DSM 20605	AHYZ01000008	PATRIC	CDS	73874138	VBILacVin228679_0019	222	614	+	393		hypothetical protein
Lactobacillus vini DSM 20605	AHYZ01000008	PATRIC	gene	73874137	VBILacVin228679_0019	222	614	+	393		
Lactobacillus vini DSM 20605	AHYZ01000008	PATRIC	CDS	73874140	VBILacVin228679_0020	693	893	+	201		hypothetical protein
Lactobacillus vini DSM 20605	AHYZ01000008	PATRIC	gene	73874139	VBILacVin228679_0020	693	893	+	201		
Lactobacillus vini DSM 20605	AHYZ01000008	PATRIC	gene	73874141	VBILacVin228679_0021	1547	2161	-	615		
Lactobacillus vini DSM 20605	AHYZ01000008	PATRIC	CDS	73874142	VBILacVin228679_0021	1547	2161	-	615		Cadmium resistance protein
Lactobacillus vini DSM 20605	AHYZ01000008	PATRIC	gene	73874143	VBILacVin228679_0022	2187	2357	-	171		
Lactobacillus vini DSM 20605	AHYZ01000008	PATRIC	CDS	73874144	VBILacVin228679_0022	2187	2357	-	171		putative positive regulator of cadmium resistance
Lactobacillus vini DSM 20605	AHYZ01000008	PATRIC	gene	73874145	VBILacVin228679_0023	2746	4146	-	1401		
Lactobacillus vini DSM 20605	AHYZ01000008	PATRIC	CDS	73874146	VBILacVin228679_0023	2746	4146	-	1401		NADH oxidase (putative)
Lactobacillus vini DSM 20605	AHYZ01000008	PATRIC	gene	73874147	VBILacVin228679_0024	4170	4499	-	330		
Lactobacillus vini DSM 20605	AHYZ01000008	PATRIC	CDS	73874148	VBILacVin228679_0024	4170	4499	-	330		Arsenical resistance operon trans-acting repressor ArsD
