GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	source	26508629		1	1059707	+	1059707		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	tRNA	26508631	VBILacPar66337_r001	9	98	+	90		tRNA-Ser-GGA
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508630	VBILacPar66337_r001	9	98	+	90		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508632	VBILacPar66337_r002	353	425	+	73		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	tRNA	26508633	VBILacPar66337_r002	353	425	+	73		tRNA-Val-TAC
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508634	VBILacPar66337_0001	583	1107	-	525		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508635	VBILacPar66337_0001	583	1107	-	525		FIG00742891: hypothetical protein
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508637	VBILacPar66337_0002	1183	1383	+	201		FIG00747352: hypothetical protein
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508636	VBILacPar66337_0002	1183	1383	+	201		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508639	VBILacPar66337_0003	1411	2595	+	1185		S-adenosylmethionine synthetase (EC 2.5.1.6)
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508638	VBILacPar66337_0003	1411	2595	+	1185		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508641	VBILacPar66337_0004	2709	4202	+	1494		Permeases of the major facilitator superfamily
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508640	VBILacPar66337_0004	2709	4202	+	1494		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508643	VBILacPar66337_0535	4389	4859	-	471		Predicted transcriptional regulator
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508642	VBILacPar66337_0535	4389	4859	-	471		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508644	VBILacPar66337_0536	5103	6581	+	1479		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508645	VBILacPar66337_0536	5103	6581	+	1479		permease of the major facilitator superfamily
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508646	VBILacPar66337_0537	6578	7303	+	726		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508647	VBILacPar66337_0537	6578	7303	+	726		FIG00745981: hypothetical protein
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508649	VBILacPar66337_0538	7404	8087	-	684		FIG00742301: hypothetical protein
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508648	VBILacPar66337_0538	7404	8087	-	684		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508650	VBILacPar66337_0539	8542	10953	+	2412		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508651	VBILacPar66337_0539	8542	10953	+	2412		Leucyl-tRNA synthetase (EC 6.1.1.4)
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508652	VBILacPar66337_0540	10988	11131	+	144		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508653	VBILacPar66337_0540	10988	11131	+	144		hypothetical protein
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508654	VBILacPar66337_0541	11218	12861	+	1644		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508655	VBILacPar66337_0541	11218	12861	+	1644		Membrane protein involved in the export of O-antigen, teichoic acid lipoteichoic acids
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508656	VBILacPar66337_0542	12866	13576	+	711		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508657	VBILacPar66337_0542	12866	13576	+	711		Ribosomal small subunit pseudouridine synthase A (EC 4.2.1.70)
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508659	VBILacPar66337_0543	13719	13934	+	216		FIG00745176: hypothetical protein
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508658	VBILacPar66337_0543	13719	13934	+	216		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508660	VBILacPar66337_0544	14051	14872	-	822		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508661	VBILacPar66337_0544	14051	14872	-	822		NAD(P)HX dehydratase
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508663	VBILacPar66337_0545	14869	15372	-	504		NUDIX family hydrolase
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508662	VBILacPar66337_0545	14869	15372	-	504		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508664	VBILacPar66337_r006	15490	15573	+	84		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	tRNA	26508665	VBILacPar66337_r006	15490	15573	+	84		tRNA-Leu-CAG
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508667	VBILacPar66337_0546	15696	16835	-	1140		Integrase
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508666	VBILacPar66337_0546	15696	16835	-	1140		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508669	VBILacPar66337_0547	16954	17931	-	978		hypothetical protein
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508668	VBILacPar66337_0547	16954	17931	-	978		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508671	VBILacPar66337_0548	18043	18504	-	462		hypothetical protein
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508670	VBILacPar66337_0548	18043	18504	-	462		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508672	VBILacPar66337_0549	18688	19170	-	483		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508673	VBILacPar66337_0549	18688	19170	-	483		Putative uncharacterized protein
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508674	VBILacPar66337_0550	19646	20524	-	879		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508675	VBILacPar66337_0550	19646	20524	-	879		Putative uncharacterized protein
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508676	VBILacPar66337_0551	21140	21337	+	198		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508677	VBILacPar66337_0551	21140	21337	+	198		hypothetical protein
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508678	VBILacPar66337_0552	21334	22131	+	798		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508679	VBILacPar66337_0552	21334	22131	+	798		Tec protein
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508681	VBILacPar66337_0553	22139	22276	+	138		hypothetical protein
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508680	VBILacPar66337_0553	22139	22276	+	138		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508682	VBILacPar66337_0554	22459	22683	+	225		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508683	VBILacPar66337_0554	22459	22683	+	225		Putative uncharacterized protein
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508685	VBILacPar66337_0555	22772	22984	+	213		Putative uncharacterized protein
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508684	VBILacPar66337_0555	22772	22984	+	213		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508686	VBILacPar66337_0556	22994	23869	+	876		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508687	VBILacPar66337_0556	22994	23869	+	876		putative phage-related protein
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508689	VBILacPar66337_0557	23872	24066	+	195		Putative uncharacterized protein
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508688	VBILacPar66337_0557	23872	24066	+	195		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508691	VBILacPar66337_0558	24066	24920	+	855		Recombinational DNA repair protein RecT (prophage associated)
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508690	VBILacPar66337_0558	24066	24920	+	855		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508692	VBILacPar66337_0559	25269	26024	+	756		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508693	VBILacPar66337_0559	25269	26024	+	756		FIG00743395: hypothetical protein
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508694	VBILacPar66337_0560	26062	26883	+	822		
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508695	VBILacPar66337_0560	26062	26883	+	822		Helicase loader DnaI
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	CDS	26508697	VBILacPar66337_0561	26934	27146	+	213		Putative uncharacterized protein
Lactobacillus paracasei subsp. paracasei 8700:2	NZ_DS990485	PATRIC	gene	26508696	VBILacPar66337_0561	26934	27146	+	213		
