GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	source	22257160		1	2039414	+	2039414		
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	gene	22257161	VBILacReu111271_0001	145	1323	+	1179		
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	CDS	22257162	VBILacReu111271_0001	145	1323	+	1179		Chromosomal replication initiator protein DnaA
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	CDS	22257164	VBILacReu111271_0002	1499	2641	+	1143		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	gene	22257163	VBILacReu111271_0002	1499	2641	+	1143		
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	gene	22257165	VBILacReu111271_0003	2888	3109	+	222		
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	CDS	22257166	VBILacReu111271_0003	2888	3109	+	222		FIG002958: hypothetical protein
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	CDS	22257168	VBILacReu111271_0004	3118	4242	+	1125		DNA recombination and repair protein RecF
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	gene	22257167	VBILacReu111271_0004	3118	4242	+	1125		
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	CDS	22257170	VBILacReu111271_0005	4239	6188	+	1950		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	gene	22257169	VBILacReu111271_0005	4239	6188	+	1950		
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	CDS	22257172	VBILacReu111271_0006	6231	8735	+	2505		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	gene	22257171	VBILacReu111271_0006	6231	8735	+	2505		
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	CDS	22257174	VBILacReu111271_0007	8938	9234	+	297		SSU ribosomal protein S6p
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	gene	22257173	VBILacReu111271_0007	8938	9234	+	297		
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	gene	22257175	VBILacReu111271_0008	9272	9835	+	564		
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	CDS	22257176	VBILacReu111271_0008	9272	9835	+	564		Single-stranded DNA-binding protein
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	CDS	22257178	VBILacReu111271_0009	9869	10105	+	237		SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	gene	22257177	VBILacReu111271_0009	9869	10105	+	237		
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	CDS	22257180	VBILacReu111271_0010	10322	12340	+	2019		Phosphoesterase, DHH family protein
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	gene	22257179	VBILacReu111271_0010	10322	12340	+	2019		
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	CDS	22257182	VBILacReu111271_0011	12346	12798	+	453		LSU ribosomal protein L9p
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	gene	22257181	VBILacReu111271_0011	12346	12798	+	453		
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	CDS	22257184	VBILacReu111271_0012	12832	14223	+	1392		Replicative DNA helicase (EC 3.6.1.-)
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	gene	22257183	VBILacReu111271_0012	12832	14223	+	1392		
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	gene	22257185	VBILacReu111271_0013	14345	15547	+	1203		
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	CDS	22257186	VBILacReu111271_0013	14345	15547	+	1203		permease of the major facilitator superfamily
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	CDS	22257188	VBILacReu111271_0014	15560	15886	+	327		FIG00743752: hypothetical protein
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	gene	22257187	VBILacReu111271_0014	15560	15886	+	327		
Lactobacillus reuteri JCM 1112	NC_010609	PATRIC	gene	22257189	VBILacReu111271_0015	15991	16869	+	879		
