GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	source	55255135		1	238723	+	238723		
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	gene	55255136	VBILacSal202740_0001	2699	3748	-	1050		
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	CDS	55255137	VBILacSal202740_0001	2699	3748	-	1050		Membrane protein
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	CDS	55255139	VBILacSal202740_0002	3767	4756	-	990		D-lactate dehydrogenase (EC 1.1.1.28)
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	gene	55255138	VBILacSal202740_0002	3767	4756	-	990		
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	gene	55255140	VBILacSal202740_0003	4772	5947	-	1176		
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	CDS	55255141	VBILacSal202740_0003	4772	5947	-	1176		Aspartate aminotransferase (EC 2.6.1.1)
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	CDS	55255143	VBILacSal202740_0004	6510	7721	+	1212		Argininosuccinate synthase (EC 6.3.4.5)
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	gene	55255142	VBILacSal202740_0004	6510	7721	+	1212		
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	CDS	55255145	VBILacSal202740_0005	7745	9127	+	1383		Argininosuccinate lyase (EC 4.3.2.1)
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	gene	55255144	VBILacSal202740_0005	7745	9127	+	1383		
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	gene	55255146	VBILacSal202740_0006	9179	10486	-	1308		
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	CDS	55255147	VBILacSal202740_0006	9179	10486	-	1308		Ammonium transporter
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	gene	55255148	VBILacSal202740_0007	10702	11574	+	873		
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	CDS	55255149	VBILacSal202740_0007	10702	11574	+	873		4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	CDS	55255151	VBILacSal202740_0008	11609	12079	-	471		Arginine pathway regulatory protein ArgR, repressor of arg regulon
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	gene	55255150	VBILacSal202740_0008	11609	12079	-	471		
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	CDS	55255153	VBILacSal202740_0009	12123	13241	-	1119		Aspartate aminotransferase (EC 2.6.1.1)
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	gene	55255152	VBILacSal202740_0009	12123	13241	-	1119		
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	CDS	55255155	VBILacSal202740_0010	13254	14102	-	849		Protein of unknown function DUF915, hydrolase-like
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	gene	55255154	VBILacSal202740_0010	13254	14102	-	849		
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	CDS	55255157	VBILacSal202740_0011	14198	14431	-	234		Veg protein
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	gene	55255156	VBILacSal202740_0011	14198	14431	-	234		
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	CDS	55255159	VBILacSal202740_0012	14519	15412	-	894		Dimethyladenosine transferase (EC 2.1.1.-)
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	gene	55255158	VBILacSal202740_0012	14519	15412	-	894		
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	CDS	55255161	VBILacSal202740_0013	15421	15978	-	558		Ribonuclease M5 (EC 3.1.26.8)
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	gene	55255160	VBILacSal202740_0013	15421	15978	-	558		
Lactobacillus salivarius GJ-24	AFOI01000001	PATRIC	CDS	55255163	VBILacSal202740_0014	15989	16759	-	771		Putative deoxyribonuclease YcfH
