GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus coryniformis subsp. coryniformis CECT 5711	AKFP01000001	PATRIC	source	93382704		1	95874	+	95874		
Lactobacillus coryniformis subsp. coryniformis CECT 5711	AKFP01000001	PATRIC	CDS	93382706	VBILacCor242996_0001	108	308	-	201		hypothetical protein
Lactobacillus coryniformis subsp. coryniformis CECT 5711	AKFP01000001	PATRIC	gene	93382705	VBILacCor242996_0001	108	308	-	201		
Lactobacillus coryniformis subsp. coryniformis CECT 5711	AKFP01000001	PATRIC	CDS	93382708	VBILacCor242996_0002	372	1184	-	813		hypothetical protein
Lactobacillus coryniformis subsp. coryniformis CECT 5711	AKFP01000001	PATRIC	gene	93382707	VBILacCor242996_0002	372	1184	-	813		
Lactobacillus coryniformis subsp. coryniformis CECT 5711	AKFP01000001	PATRIC	CDS	93382710	VBILacCor242996_0003	1575	1724	+	150		hypothetical protein
Lactobacillus coryniformis subsp. coryniformis CECT 5711	AKFP01000001	PATRIC	gene	93382709	VBILacCor242996_0003	1575	1724	+	150		
Lactobacillus coryniformis subsp. coryniformis CECT 5711	AKFP01000001	PATRIC	CDS	93382712	VBILacCor242996_0004	1769	1963	-	195		hypothetical protein
Lactobacillus coryniformis subsp. coryniformis CECT 5711	AKFP01000001	PATRIC	gene	93382711	VBILacCor242996_0004	1769	1963	-	195		
Lactobacillus coryniformis subsp. coryniformis CECT 5711	AKFP01000001	PATRIC	gene	93382713	VBILacCor242996_0005	2036	2980	-	945		
Lactobacillus coryniformis subsp. coryniformis CECT 5711	AKFP01000001	PATRIC	CDS	93382714	VBILacCor242996_0005	2036	2980	-	945		Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)
Lactobacillus coryniformis subsp. coryniformis CECT 5711	AKFP01000001	PATRIC	CDS	93382716	VBILacCor242996_0006	3025	3705	-	681		Sortase A, LPXTG specific
Lactobacillus coryniformis subsp. coryniformis CECT 5711	AKFP01000001	PATRIC	gene	93382715	VBILacCor242996_0006	3025	3705	-	681		
Lactobacillus coryniformis subsp. coryniformis CECT 5711	AKFP01000001	PATRIC	CDS	93382718	VBILacCor242996_0007	4053	4898	+	846		membrane protein
Lactobacillus coryniformis subsp. coryniformis CECT 5711	AKFP01000001	PATRIC	gene	93382717	VBILacCor242996_0007	4053	4898	+	846		
Lactobacillus coryniformis subsp. coryniformis CECT 5711	AKFP01000001	PATRIC	gene	93382719	VBILacCor242996_0008	4898	5278	+	381		
Lactobacillus coryniformis subsp. coryniformis CECT 5711	AKFP01000001	PATRIC	CDS	93382720	VBILacCor242996_0008	4898	5278	+	381		hypothetical protein
Lactobacillus coryniformis subsp. coryniformis CECT 5711	AKFP01000001	PATRIC	CDS	93382722	VBILacCor242996_0009	5317	6165	-	849		oxidoreductase of aldo/keto reductase family, subgroup 1
Lactobacillus coryniformis subsp. coryniformis CECT 5711	AKFP01000001	PATRIC	gene	93382721	VBILacCor242996_0009	5317	6165	-	849		
Lactobacillus coryniformis subsp. coryniformis CECT 5711	AKFP01000001	PATRIC	gene	93382723	VBILacCor242996_0010	6219	7037	-	819		
Lactobacillus coryniformis subsp. coryniformis CECT 5711	AKFP01000001	PATRIC	CDS	93382724	VBILacCor242996_0010	6219	7037	-	819		Hydrolase (HAD superfamily)
Lactobacillus coryniformis subsp. coryniformis CECT 5711	AKFP01000001	PATRIC	gene	93382725	VBILacCor242996_0011	7138	7359	-	222		
Lactobacillus coryniformis subsp. coryniformis CECT 5711	AKFP01000001	PATRIC	CDS	93382726	VBILacCor242996_0011	7138	7359	-	222		hypothetical protein
