GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus iners UPII 143-D	NZ_AEXJ01000001	PATRIC	source	46762821		1	92928	+	92928		
Lactobacillus iners UPII 143-D	NZ_AEXJ01000001	PATRIC	gene	46762822	VBILacIne180507_0001	211	963	-	753		
Lactobacillus iners UPII 143-D	NZ_AEXJ01000001	PATRIC	CDS	46762823	VBILacIne180507_0001	211	963	-	753		Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)
Lactobacillus iners UPII 143-D	NZ_AEXJ01000001	PATRIC	gene	46762824	VBILacIne180507_0002	975	1742	-	768		
Lactobacillus iners UPII 143-D	NZ_AEXJ01000001	PATRIC	CDS	46762825	VBILacIne180507_0002	975	1742	-	768		Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)
Lactobacillus iners UPII 143-D	NZ_AEXJ01000001	PATRIC	CDS	46762827	VBILacIne180507_0003	1742	2635	-	894		Phosphate transport system permease protein PstA (TC 3.A.1.7.1)
Lactobacillus iners UPII 143-D	NZ_AEXJ01000001	PATRIC	gene	46762826	VBILacIne180507_0003	1742	2635	-	894		
Lactobacillus iners UPII 143-D	NZ_AEXJ01000001	PATRIC	gene	46762828	VBILacIne180507_0004	2638	3552	-	915		
Lactobacillus iners UPII 143-D	NZ_AEXJ01000001	PATRIC	CDS	46762829	VBILacIne180507_0004	2638	3552	-	915		Phosphate transport system permease protein PstC (TC 3.A.1.7.1)
Lactobacillus iners UPII 143-D	NZ_AEXJ01000001	PATRIC	gene	46762831	VBILacIne180507_0005	3555	4067	-	513		
Lactobacillus iners UPII 143-D	NZ_AEXJ01000001	PATRIC	gene	46762830	VBILacIne180507_pg001	3555	4381	-	827		
Lactobacillus iners UPII 143-D	NZ_AEXJ01000001	PATRIC	CDS	46762832	VBILacIne180507_0005	3555	4067	-	513		Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)
Lactobacillus iners UPII 143-D	NZ_AEXJ01000001	PATRIC	gene	46762833	VBILacIne180507_0006	4085	4423	-	339		
