GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	source	30704982		1	1175606	+	1175606		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30704983	VBILacCri66009_0001	307	447	-	141		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30704984	VBILacCri66009_0001	307	447	-	141		FIG00743549: hypothetical protein
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30704985	VBILacCri66009_0002	685	1614	+	930		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30704986	VBILacCri66009_0002	685	1614	+	930		FIG00742069: hypothetical protein
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30704987	VBILacCri66009_0003	2045	3433	-	1389		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30704988	VBILacCri66009_0003	2045	3433	-	1389		RNA methyltransferase, TrmA family
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30704989	VBILacCri66009_0004	3558	4370	+	813		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30704990	VBILacCri66009_0004	3558	4370	+	813		regulatory protein RecX
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30704991	VBILacCri66009_0005	4379	4861	+	483		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30704992	VBILacCri66009_0005	4379	4861	+	483		FIG00743463: hypothetical protein
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30704993	VBILacCri66009_0006	4862	5323	-	462		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30704994	VBILacCri66009_0006	4862	5323	-	462		FIG00742339: hypothetical protein
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30704995	VBILacCri66009_0007	5426	6292	+	867		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30704996	VBILacCri66009_0007	5426	6292	+	867		Hemolysins and related proteins containing CBS domains
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30704998	VBILacCri66009_0008	6292	7863	+	1572		Peptide chain release factor 3
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30704997	VBILacCri66009_0008	6292	7863	+	1572		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30705000	VBILacCri66009_0009	7927	8208	-	282		FIG00743758: hypothetical protein
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30704999	VBILacCri66009_0009	7927	8208	-	282		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30705002	VBILacCri66009_0010	8354	10546	-	2193		ATP-dependent Clp protease ATP-binding subunit ClpA
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30705001	VBILacCri66009_0010	8354	10546	-	2193		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30705003	VBILacCri66009_0011	10751	10933	+	183		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30705004	VBILacCri66009_0011	10751	10933	+	183		FIG00742907: hypothetical protein
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30705005	VBILacCri66009_0012	11046	11312	+	267		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30705006	VBILacCri66009_0012	11046	11312	+	267		Phosphocarrier protein of PTS system
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30705008	VBILacCri66009_0013	11312	13045	+	1734		Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30705007	VBILacCri66009_0013	11312	13045	+	1734		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30705009	VBILacCri66009_0014	13269	13667	+	399		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30705010	VBILacCri66009_0014	13269	13667	+	399		putative arsenate reductase
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30705012	VBILacCri66009_0015	13772	14518	+	747		Negative regulator of genetic competence MecA
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30705011	VBILacCri66009_0015	13772	14518	+	747		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30705014	VBILacCri66009_0016	14590	15438	+	849		Competence protein CoiA
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30705013	VBILacCri66009_0016	14590	15438	+	849		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30705015	VBILacCri66009_0017	15446	16063	-	618		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30705016	VBILacCri66009_0017	15446	16063	-	618		YjbH-like, GTP pyrophosphokinase domain
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30705017	VBILacCri66009_0018	16150	16758	-	609		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30705018	VBILacCri66009_0018	16150	16758	-	609		Adenylate cyclase (EC 4.6.1.1)
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30705019	VBILacCri66009_0019	16835	17467	+	633		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30705020	VBILacCri66009_0019	16835	17467	+	633		GTP pyrophosphokinase (EC 2.7.6.5)
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30705022	VBILacCri66009_0020	17464	18267	+	804		NAD kinase (EC 2.7.1.23)
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30705021	VBILacCri66009_0020	17464	18267	+	804		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30705024	VBILacCri66009_0021	18260	19165	+	906		Similar to ribosomal large subunit pseudouridine synthase D, Bacillus subtilis YjbO type
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30705023	VBILacCri66009_0021	18260	19165	+	906		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30705025	VBILacCri66009_0022	19271	21046	+	1776		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30705026	VBILacCri66009_0022	19271	21046	+	1776		67kDa Myosin-crossreactive streptococcal antigen
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30705028	VBILacCri66009_0023	21081	21773	-	693		FIG00744522: hypothetical protein
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30705027	VBILacCri66009_0023	21081	21773	-	693		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30705030	VBILacCri66009_0088	23641	24669	-	1029		6-phosphogluconolactonase (EC 3.1.1.31)
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30705029	VBILacCri66009_0088	23641	24669	-	1029		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30705031	VBILacCri66009_0089	24849	25229	+	381		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30705032	VBILacCri66009_0089	24849	25229	+	381		PTS system, glucitol/sorbitol-specific IIA component (EC 2.7.1.69)
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30705033	VBILacCri66009_0090	25246	26433	+	1188		
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	CDS	30705034	VBILacCri66009_0090	25246	26433	+	1188		FIG00906412: hypothetical protein
Lactobacillus crispatus 125-2-CHN	NZ_GG698760	PATRIC	gene	30705035	VBILacCri66009_0091	26496	27056	+	561		
