GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	NC_008054	PATRIC	source	22215671		1	1864998	+	1864998		
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	NC_008054	PATRIC	gene	22215672	VBILacDel123523_0001	323	1687	+	1365		
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	NC_008054	PATRIC	CDS	22215673	VBILacDel123523_0001	323	1687	+	1365		Chromosomal replication initiator protein DnaA
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	NC_008054	PATRIC	gene	22215674	VBILacDel123523_0002	1868	2995	+	1128		
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	NC_008054	PATRIC	CDS	22215675	VBILacDel123523_0002	1868	2995	+	1128		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	NC_008054	PATRIC	CDS	22215677	VBILacDel123523_0003	3226	3450	+	225		FIG002958: hypothetical protein
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	NC_008054	PATRIC	gene	22215676	VBILacDel123523_0003	3226	3450	+	225		
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	NC_008054	PATRIC	CDS	22215679	VBILacDel123523_0004	3450	4595	+	1146		DNA recombination and repair protein RecF
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	NC_008054	PATRIC	gene	22215678	VBILacDel123523_0004	3450	4595	+	1146		
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	NC_008054	PATRIC	gene	22215680	VBILacDel123523_0005	4579	6540	+	1962		
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	NC_008054	PATRIC	CDS	22215681	VBILacDel123523_0005	4579	6540	+	1962		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	NC_008054	PATRIC	CDS	22215683	VBILacDel123523_0006	6553	9024	+	2472		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	NC_008054	PATRIC	gene	22215682	VBILacDel123523_0006	6553	9024	+	2472		
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	NC_008054	PATRIC	CDS	22215685	VBILacDel123523_0007	9240	9533	+	294		SSU ribosomal protein S6p
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	NC_008054	PATRIC	gene	22215684	VBILacDel123523_0007	9240	9533	+	294		
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	NC_008054	PATRIC	CDS	22215687	VBILacDel123523_0008	9664	10149	+	486		Single-stranded DNA-binding protein
