GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	source	37128965		1	55277	+	55277		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37128967	VBILacAmy37500_0001	3	326	-	324		hypothetical protein
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37128966	VBILacAmy37500_0001	3	326	-	324		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37128969	VBILacAmy37500_0002	344	1576	-	1233		contains predicted phosphohydrolase domain
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37128968	VBILacAmy37500_0002	344	1576	-	1233		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37128970	VBILacAmy37500_0003	1563	2696	-	1134		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37128971	VBILacAmy37500_0003	1563	2696	-	1134		FIG001721: Predicted N6-adenine-specific DNA methylase
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37128972	VBILacAmy37500_0004	3178	3591	-	414		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37128973	VBILacAmy37500_0004	3178	3591	-	414		Cell division protein GpsB, coordinates the switch between cylindrical and septal cell wall synthesis by re-localization of PBP1
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37128974	VBILacAmy37500_0005	3682	4251	-	570		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37128975	VBILacAmy37500_0005	3682	4251	-	570		FIG005686: hypothetical protein
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37128976	VBILacAmy37500_0006	4321	4953	+	633		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37128977	VBILacAmy37500_0006	4321	4953	+	633		Recombination protein RecU
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37128978	VBILacAmy37500_0007	4943	7261	+	2319		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37128979	VBILacAmy37500_0007	4943	7261	+	2319		Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-) / Penicillin-binding protein 1A/1B (PBP1)
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37128981	VBILacAmy37500_0008	7305	7937	-	633		Endonuclease III (EC 4.2.99.18)
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37128980	VBILacAmy37500_0008	7305	7937	-	633		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37128983	VBILacAmy37500_0009	7938	8582	-	645		Chromosome replication initiation protein dnaD
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37128982	VBILacAmy37500_0009	7938	8582	-	645		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37128984	VBILacAmy37500_0010	8653	9951	-	1299		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37128985	VBILacAmy37500_0010	8653	9951	-	1299		Asparaginyl-tRNA synthetase (EC 6.1.1.22)
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37128987	VBILacAmy37500_0011	10002	10499	-	498		FIG00742179: hypothetical protein
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37128986	VBILacAmy37500_0011	10002	10499	-	498		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37128989	VBILacAmy37500_0012	10480	13284	-	2805		DinG family ATP-dependent helicase YoaA
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37128988	VBILacAmy37500_0012	10480	13284	-	2805		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37128990	VBILacAmy37500_0013	13321	16920	-	3600		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37128991	VBILacAmy37500_0013	13321	16920	-	3600		ATP-dependent nuclease, subunit A
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37128992	VBILacAmy37500_0014	16920	20405	-	3486		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37128993	VBILacAmy37500_0014	16920	20405	-	3486		ATP-dependent nuclease, subunit B
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37128994	VBILacAmy37500_0015	20487	21398	+	912		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37128995	VBILacAmy37500_0015	20487	21398	+	912		Mevalonate kinase (EC 2.7.1.36)
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37128996	VBILacAmy37500_0016	21402	22364	+	963		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37128997	VBILacAmy37500_0016	21402	22364	+	963		Diphosphomevalonate decarboxylase (EC 4.1.1.33)
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37128998	VBILacAmy37500_0017	22696	23490	+	795		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37128999	VBILacAmy37500_0017	22696	23490	+	795		Phosphomevalonate kinase (EC 2.7.4.2)
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37129001	VBILacAmy37500_0018	23541	24518	+	978		Isopentenyl-diphosphate delta-isomerase, FMN-dependent (EC 5.3.3.2)
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37129000	VBILacAmy37500_0018	23541	24518	+	978		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37129002	VBILacAmy37500_0019	24565	25353	-	789		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37129003	VBILacAmy37500_0019	24565	25353	-	789		Hydrolase (HAD superfamily)
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37129004	VBILacAmy37500_0020	25358	26749	-	1392		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37129005	VBILacAmy37500_0020	25358	26749	-	1392		tRNA and rRNA cytosine-C5-methylases
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37129006	VBILacAmy37500_0021	26742	27647	-	906		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37129007	VBILacAmy37500_0021	26742	27647	-	906		FIG00742606: hypothetical protein
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37129009	VBILacAmy37500_0022	27707	28453	-	747		FIG00743236: hypothetical protein
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37129008	VBILacAmy37500_0022	27707	28453	-	747		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37129011	VBILacAmy37500_0023	28538	29116	+	579		Signal peptidase I (EC 3.4.21.89)
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37129010	VBILacAmy37500_0023	28538	29116	+	579		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37129012	VBILacAmy37500_0024	29177	29365	+	189		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37129013	VBILacAmy37500_0024	29177	29365	+	189		FIG00743283: hypothetical protein
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37129014	VBILacAmy37500_0025	29410	30882	-	1473		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37129015	VBILacAmy37500_0025	29410	30882	-	1473		Manganese transport protein MntH
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37129016	VBILacAmy37500_0026	31139	31420	-	282		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37129017	VBILacAmy37500_0026	31139	31420	-	282		hypothetical protein
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37129018	VBILacAmy37500_0027	31951	32799	-	849		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37129019	VBILacAmy37500_0027	31951	32799	-	849		FIG00743319: hypothetical protein
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37129021	VBILacAmy37500_0028	32802	33506	-	705		ABC transporter, ATP-binding protein
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37129020	VBILacAmy37500_0028	32802	33506	-	705		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37129022	VBILacAmy37500_0029	33484	33867	-	384		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37129023	VBILacAmy37500_0029	33484	33867	-	384		Transcriptional regulator, GntR family
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37129024	VBILacAmy37500_0030	34173	34577	-	405		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37129025	VBILacAmy37500_0030	34173	34577	-	405		Tripeptide aminopeptidase (EC 3.4.11.4)
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37129026	VBILacAmy37500_0031	34607	35404	-	798		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37129027	VBILacAmy37500_0031	34607	35404	-	798		Tripeptide aminopeptidase (EC 3.4.11.4)
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37129028	VBILacAmy37500_0032	35417	36214	-	798		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37129029	VBILacAmy37500_0032	35417	36214	-	798		FIG146262: hypothetical protein
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37129031	VBILacAmy37500_0033	36207	36839	-	633		Putative tRNA-m1A22 methylase
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37129030	VBILacAmy37500_0033	36207	36839	-	633		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37129032	VBILacAmy37500_0034	37032	37208	+	177		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37129033	VBILacAmy37500_0034	37032	37208	+	177		putative mutator protein( EC:3.6.1.- )
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37129034	VBILacAmy37500_0035	37162	37458	+	297		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37129035	VBILacAmy37500_0035	37162	37458	+	297		putative mutator protein( EC:3.6.1.- )
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37129036	VBILacAmy37500_0036	37458	38120	+	663		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37129037	VBILacAmy37500_0036	37458	38120	+	663		putative enterolysin A
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37129039	VBILacAmy37500_0037	38193	39299	-	1107		RNA polymerase sigma factor RpoD
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37129038	VBILacAmy37500_0037	38193	39299	-	1107		
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	CDS	37129041	VBILacAmy37500_0038	39317	41125	-	1809		DNA primase (EC 2.7.7.-)
Lactobacillus amylolyticus DSM 11664	NZ_ADNY01000001	PATRIC	gene	37129040	VBILacAmy37500_0038	39317	41125	-	1809		
