GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	source	42496834		1	3254376	+	3254376		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496835	VBILacPla173910_0001	43	1368	+	1326		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496836	VBILacPla173910_0001	43	1368	+	1326		Chromosomal replication initiator protein DnaA
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496838	VBILacPla173910_0002	1546	2685	+	1140		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496837	VBILacPla173910_0002	1546	2685	+	1140		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496840	VBILacPla173910_0003	2682	2831	-	150		hypothetical protein
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496839	VBILacPla173910_0003	2682	2831	-	150		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496842	VBILacPla173910_0004	3243	3443	+	201		FIG002958: hypothetical protein
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496841	VBILacPla173910_0004	3243	3443	+	201		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496843	VBILacPla173910_0005	3444	4568	+	1125		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496844	VBILacPla173910_0005	3444	4568	+	1125		DNA recombination and repair protein RecF
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496846	VBILacPla173910_0006	4565	6511	+	1947		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496845	VBILacPla173910_0006	4565	6511	+	1947		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496848	VBILacPla173910_0007	6676	9237	+	2562		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496847	VBILacPla173910_0007	6676	9237	+	2562		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496849	VBILacPla173910_0008	9860	10159	+	300		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496850	VBILacPla173910_0008	9860	10159	+	300		SSU ribosomal protein S6p
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496851	VBILacPla173910_0009	10196	10798	+	603		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496852	VBILacPla173910_0009	10196	10798	+	603		Single-stranded DNA-binding protein
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496854	VBILacPla173910_0010	10837	11073	+	237		SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496853	VBILacPla173910_0010	10837	11073	+	237		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496856	VBILacPla173910_0011	11254	13266	+	2013		Phosphoesterase, DHH family protein
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496855	VBILacPla173910_0011	11254	13266	+	2013		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496857	VBILacPla173910_0012	13279	13731	+	453		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496858	VBILacPla173910_0012	13279	13731	+	453		LSU ribosomal protein L9p
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496860	VBILacPla173910_0013	13747	15171	+	1425		Replicative DNA helicase (EC 3.6.1.-)
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496859	VBILacPla173910_0013	13747	15171	+	1425		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496861	VBILacPla173910_0014	15393	16616	+	1224		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496862	VBILacPla173910_0014	15393	16616	+	1224		permease of the major facilitator superfamily
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496864	VBILacPla173910_0015	16638	17435	+	798		Glutamate 5-kinase (EC 2.7.2.11)
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496863	VBILacPla173910_0015	16638	17435	+	798		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496865	VBILacPla173910_0016	17454	18692	+	1239		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496866	VBILacPla173910_0016	17454	18692	+	1239		Gamma-glutamyl phosphate reductase (EC 1.2.1.41)
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496868	VBILacPla173910_0017	19153	20769	+	1617		Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496867	VBILacPla173910_0017	19153	20769	+	1617		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496869	VBILacPla173910_0018	21100	23004	+	1905		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496870	VBILacPla173910_0018	21100	23004	+	1905		1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496872	VBILacPla173910_0019	22994	24133	+	1140		Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496871	VBILacPla173910_0019	22994	24133	+	1140		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496873	VBILacPla173910_0020	24130	25302	+	1173		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496874	VBILacPla173910_0020	24130	25302	+	1173		Glycogen biosynthesis protein GlgD, glucose-1-phosphate adenylyltransferase family
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496876	VBILacPla173910_0021	25295	26734	+	1440		Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496875	VBILacPla173910_0021	25295	26734	+	1440		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496878	VBILacPla173910_0022	26754	29150	+	2397		Glycogen phosphorylase (EC 2.4.1.1)
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496877	VBILacPla173910_0022	26754	29150	+	2397		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496880	VBILacPla173910_0023	29168	30985	+	1818		Neopullulanase (EC 3.2.1.135)
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496879	VBILacPla173910_0023	29168	30985	+	1818		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496881	VBILacPla173910_0024	31318	32085	+	768		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496882	VBILacPla173910_0024	31318	32085	+	768		Hydrolase (HAD superfamily) in cluster with DUF1447
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496884	VBILacPla173910_0025	32237	32908	-	672		Beta-phosphoglucomutase (EC 5.4.2.6)
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496883	VBILacPla173910_0025	32237	32908	-	672		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496886	VBILacPla173910_0026	32926	35646	-	2721		Maltose phosphorylase (EC 2.4.1.8)
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496885	VBILacPla173910_0026	32926	35646	-	2721		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496888	VBILacPla173910_0027	36034	36483	-	450		hypothetical protein
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496887	VBILacPla173910_0027	36034	36483	-	450		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496890	VBILacPla173910_0028	36681	36881	+	201		Cold shock protein CspA
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496889	VBILacPla173910_0028	36681	36881	+	201		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496891	VBILacPla173910_0029	36973	37197	+	225		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496892	VBILacPla173910_0029	36973	37197	+	225		FIG00743855: hypothetical protein
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	tRNA	42496894	VBILacPla173910_r001	37372	37447	-	76		tRNA-Lys-CTT
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496893	VBILacPla173910_r001	37372	37447	-	76		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496896	VBILacPla173910_0030	37771	38478	+	708		Two-component response regulator SA14-24
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496895	VBILacPla173910_0030	37771	38478	+	708		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	gene	42496897	VBILacPla173910_0031	38492	40366	+	1875		
Lactobacillus plantarum subsp. plantarum ST-III	NC_014554	PATRIC	CDS	42496898	VBILacPla173910_0031	38492	40366	+	1875		Two-component sensor kinase SA14-24
