GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus jensenii 27-2-CHN	NZ_GG698814	PATRIC	source	27443528		1	885668	+	885668		
Lactobacillus jensenii 27-2-CHN	NZ_GG698814	PATRIC	gene	27443529	VBILacJen125644_r001	5	77	+	73		
Lactobacillus jensenii 27-2-CHN	NZ_GG698814	PATRIC	tRNA	27443530	VBILacJen125644_r001	5	77	+	73		tRNA-Val-TAC
Lactobacillus jensenii 27-2-CHN	NZ_GG698814	PATRIC	gene	27443531	VBILacJen125644_r002	84	156	+	73		
Lactobacillus jensenii 27-2-CHN	NZ_GG698814	PATRIC	tRNA	27443532	VBILacJen125644_r002	84	156	+	73		tRNA-Lys-TTT
Lactobacillus jensenii 27-2-CHN	NZ_GG698814	PATRIC	gene	27443533	VBILacJen125644_r003	171	252	+	82		
Lactobacillus jensenii 27-2-CHN	NZ_GG698814	PATRIC	tRNA	27443534	VBILacJen125644_r003	171	252	+	82		tRNA-Leu-TAG
Lactobacillus jensenii 27-2-CHN	NZ_GG698814	PATRIC	tRNA	27443536	VBILacJen125644_r004	283	355	+	73		tRNA-Thr-TGT
Lactobacillus jensenii 27-2-CHN	NZ_GG698814	PATRIC	gene	27443535	VBILacJen125644_r004	283	355	+	73		
Lactobacillus jensenii 27-2-CHN	NZ_GG698814	PATRIC	gene	27443537	VBILacJen125644_r005	367	438	+	72		
Lactobacillus jensenii 27-2-CHN	NZ_GG698814	PATRIC	tRNA	27443538	VBILacJen125644_r005	367	438	+	72		tRNA-Gly-GCC
Lactobacillus jensenii 27-2-CHN	NZ_GG698814	PATRIC	tRNA	27443540	VBILacJen125644_r006	451	536	+	86		tRNA-Leu-TAA
Lactobacillus jensenii 27-2-CHN	NZ_GG698814	PATRIC	gene	27443539	VBILacJen125644_r006	451	536	+	86		
Lactobacillus jensenii 27-2-CHN	NZ_GG698814	PATRIC	tRNA	27443542	VBILacJen125644_r007	546	619	+	74		tRNA-Arg-ACG
