GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	source	27446642		1	829012	+	829012		
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	tRNA	27446644	VBILacJen15106_r001	7	97	+	91		tRNA-Ser-GGA
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	gene	27446643	VBILacJen15106_r001	7	97	+	91		
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	tRNA	27446646	VBILacJen15106_r002	184	255	+	72		tRNA-Glu-TTC
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	gene	27446645	VBILacJen15106_r002	184	255	+	72		
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	tRNA	27446648	VBILacJen15106_r003	261	333	+	73		tRNA-Val-TAC
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	gene	27446647	VBILacJen15106_r003	261	333	+	73		
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	gene	27446649	VBILacJen15106_0001	482	1675	+	1194		
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	CDS	27446650	VBILacJen15106_0001	482	1675	+	1194		S-adenosylmethionine synthetase (EC 2.5.1.6)
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	CDS	27446653	VBILacJen15106_0002	1688	2224	+	537		Permeases of the major facilitator superfamily
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	gene	27446652	VBILacJen15106_0002	1688	2224	+	537		
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	gene	27446651	VBILacJen15106_pg001	1688	3134	+	1447		
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	CDS	27446655	VBILacJen15106_0003	2265	3134	+	870		Permeases of the major facilitator superfamily
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	gene	27446654	VBILacJen15106_0003	2265	3134	+	870		
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	gene	27446656	VBILacJen15106_0004	3156	3806	-	651		
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	CDS	27446657	VBILacJen15106_0004	3156	3806	-	651		FIG00742301: hypothetical protein
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	CDS	27446659	VBILacJen15106_0005	4090	6504	+	2415		Leucyl-tRNA synthetase (EC 6.1.1.4)
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	gene	27446658	VBILacJen15106_0005	4090	6504	+	2415		
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	CDS	27446661	VBILacJen15106_0006	6595	8241	+	1647		Membrane protein involved in the export of O-antigen, teichoic acid lipoteichoic acids
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	gene	27446660	VBILacJen15106_0006	6595	8241	+	1647		
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	CDS	27446663	VBILacJen15106_0007	8294	9157	+	864		Cell surface hydrolase
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	gene	27446662	VBILacJen15106_0007	8294	9157	+	864		
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	gene	27446664	VBILacJen15106_0008	9214	10536	-	1323		
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	CDS	27446665	VBILacJen15106_0008	9214	10536	-	1323		Xanthine permease
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	CDS	27446667	VBILacJen15106_0009	10547	11845	-	1299		Guanine deaminase (EC 3.5.4.3)
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	gene	27446666	VBILacJen15106_0009	10547	11845	-	1299		
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	gene	27446668	VBILacJen15106_0010	12119	12787	+	669		
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	CDS	27446669	VBILacJen15106_0010	12119	12787	+	669		FIG00743394: hypothetical protein
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	CDS	27446671	VBILacJen15106_0011	12885	13442	+	558		Transcriptional regulator, TetR family
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	gene	27446670	VBILacJen15106_0011	12885	13442	+	558		
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	CDS	27446673	VBILacJen15106_0012	13548	14069	+	522		transcriptional regulator
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	gene	27446672	VBILacJen15106_0012	13548	14069	+	522		
Lactobacillus jensenii JV-V16	NZ_GG670105	PATRIC	CDS	27446675	VBILacJen15106_0013	14130	14573	+	444		FIG00750078: hypothetical protein
