GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	source	93392784		1	23942	+	23942		
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	CDS	93392786	VBILacDel203376_0001	122	496	+	375		FIG00751500: hypothetical protein
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	gene	93392785	VBILacDel203376_0001	122	496	+	375		
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	gene	93392787	VBILacDel203376_0002	833	1552	+	720		
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	CDS	93392788	VBILacDel203376_0002	833	1552	+	720		Phosphoglycolate phosphatase (EC 3.1.3.18)
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	gene	93392789	VBILacDel203376_0003	1554	1820	+	267		
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	CDS	93392790	VBILacDel203376_0003	1554	1820	+	267		Predicted acetyltransferase
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	CDS	93392792	VBILacDel203376_0004	2786	2965	+	180		Ribonuclease HI (EC 3.1.26.4)
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	gene	93392791	VBILacDel203376_0004	2786	2965	+	180		
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	gene	93392793	VBILacDel203376_0005	2929	3213	+	285		
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	CDS	93392794	VBILacDel203376_0005	2929	3213	+	285		Ribonuclease HI (EC 3.1.26.4)
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	gene	93392795	VBILacDel203376_0006	3650	4378	+	729		
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	CDS	93392796	VBILacDel203376_0006	3650	4378	+	729		ribonuclease H-related protein
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	gene	93392797	VBILacDel203376_pg001	4052	4773	+	722		
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	gene	93392798	VBILacDel203376_0007	4375	4773	+	399		
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	CDS	93392799	VBILacDel203376_0007	4375	4773	+	399		Ribonuclease HI (EC 3.1.26.4)
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	gene	93392800	VBILacDel203376_0008	4818	5126	+	309		
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	CDS	93392801	VBILacDel203376_0008	4818	5126	+	309		Rhodanese-like domain protein
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	gene	93392802	VBILacDel203376_0009	5209	6966	-	1758		
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	CDS	93392803	VBILacDel203376_0009	5209	6966	-	1758		ABC transporter, ATP-binding/permease protein
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	gene	93392804	VBILacDel203376_0010	6966	8693	-	1728		
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	CDS	93392805	VBILacDel203376_0010	6966	8693	-	1728		ABC transporter ATP-binding and permease protein
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	gene	93392806	VBILacDel203376_0011	8693	9154	-	462		
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	CDS	93392807	VBILacDel203376_0011	8693	9154	-	462		Transcriptional regulator, MarR family
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	gene	93392808	VBILacDel203376_pg002	9341	10275	+	935		
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	gene	93392809	VBILacDel203376_0012	9407	9847	+	441		
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	CDS	93392810	VBILacDel203376_0012	9407	9847	+	441		D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	gene	93392811	VBILacDel203376_0013	9910	10275	+	366		
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	CDS	93392812	VBILacDel203376_0013	9910	10275	+	366		D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	CDS	93392814	VBILacDel203376_0014	10479	14288	+	3810		hypothetical protein
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	gene	93392813	VBILacDel203376_0014	10479	14288	+	3810		
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	gene	93392815	VBILacDel203376_0015	14292	16232	+	1941		
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	CDS	93392816	VBILacDel203376_0015	14292	16232	+	1941		hypothetical protein
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	gene	93392817	VBILacDel203376_0016	16392	17144	+	753		
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	CDS	93392818	VBILacDel203376_0016	16392	17144	+	753		hypothetical protein
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	gene	93392819	VBILacDel203376_0017	17436	19442	+	2007		
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	CDS	93392820	VBILacDel203376_0017	17436	19442	+	2007		hypothetical protein
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	CDS	93392822	VBILacDel203376_0018	19445	19936	+	492		CRISPR-associated protein, Csm2 family
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	gene	93392821	VBILacDel203376_0018	19445	19936	+	492		
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	gene	93392823	VBILacDel203376_0019	19940	20608	+	669		
Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632	AGFO01000001	PATRIC	CDS	93392824	VBILacDel203376_0019	19940	20608	+	669		CRISPR-associated RAMP Csm3
