GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus fermentum CECT 5716	CP002033	PATRIC	source	43083716		1	2100449	+	2100449		
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	CDS	43083718	VBILacFer149467_0001	325	1641	+	1317		Chromosomal replication initiator protein DnaA
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	gene	43083717	VBILacFer149467_0001	325	1641	+	1317		
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	CDS	43083720	VBILacFer149467_0002	1806	2945	+	1140		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	gene	43083719	VBILacFer149467_0002	1806	2945	+	1140		
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	gene	43083721	VBILacFer149467_0003	3167	3385	+	219		
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	CDS	43083722	VBILacFer149467_0003	3167	3385	+	219		FIG002958: hypothetical protein
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	CDS	43083724	VBILacFer149467_0004	3395	4516	+	1122		DNA recombination and repair protein RecF
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	gene	43083723	VBILacFer149467_0004	3395	4516	+	1122		
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	gene	43083725	VBILacFer149467_0005	4516	6465	+	1950		
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	CDS	43083726	VBILacFer149467_0005	4516	6465	+	1950		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	CDS	43083728	VBILacFer149467_0007	6491	9001	+	2511		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	gene	43083727	VBILacFer149467_0007	6491	9001	+	2511		
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	CDS	43083730	VBILacFer149467_0008	9208	9501	+	294		SSU ribosomal protein S6p
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	gene	43083729	VBILacFer149467_0008	9208	9501	+	294		
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	CDS	43083732	VBILacFer149467_0009	9542	10267	+	726		Single-stranded DNA-binding protein
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	gene	43083731	VBILacFer149467_0009	9542	10267	+	726		
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	gene	43083733	VBILacFer149467_0010	10306	10542	+	237		
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	CDS	43083734	VBILacFer149467_0010	10306	10542	+	237		SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	CDS	43083736	VBILacFer149467_0011	10667	12700	+	2034		Phosphoesterase, DHH family protein
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	gene	43083735	VBILacFer149467_0011	10667	12700	+	2034		
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	CDS	43083738	VBILacFer149467_0012	12700	13152	+	453		LSU ribosomal protein L9p
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	gene	43083737	VBILacFer149467_0012	12700	13152	+	453		
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	gene	43083739	VBILacFer149467_0013	13197	13733	+	537		
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	CDS	43083740	VBILacFer149467_0013	13197	13733	+	537		Replicative DNA helicase (EC 3.6.1.-) [SA14-24]
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	gene	43083741	VBILacFer149467_0014	13968	14612	+	645		
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	CDS	43083742	VBILacFer149467_0014	13968	14612	+	645		Replicative DNA helicase (EC 3.6.1.-) [SA14-24]
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	CDS	43083744	VBILacFer149467_0015	14696	15871	+	1176		permease of the major facilitator superfamily
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	gene	43083743	VBILacFer149467_0015	14696	15871	+	1176		
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	CDS	43083746	VBILacFer149467_0016	15883	16179	+	297		FIG00743752: hypothetical protein
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	gene	43083745	VBILacFer149467_0016	15883	16179	+	297		
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	tRNA	43083748	VBILacFer149467_r001	16430	16502	-	73		tRNA-Lys-CTT
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	gene	43083747	VBILacFer149467_r001	16430	16502	-	73		
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	gene	43083749	VBILacFer149467_0017	16670	17377	+	708		
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	CDS	43083750	VBILacFer149467_0017	16670	17377	+	708		Two-component response regulator SA14-24
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	gene	43083751	VBILacFer149467_0018	17389	19248	+	1860		
Lactobacillus fermentum CECT 5716	CP002033	PATRIC	CDS	43083752	VBILacFer149467_0018	17389	19248	+	1860		Two-component sensor kinase SA14-24
