GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus plantarum JDM1	NC_012984	PATRIC	source	22240511		1	3197759	+	3197759		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240513	VBILacPla68346_0001	43	1368	+	1326		Chromosomal replication initiator protein DnaA
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240512	VBILacPla68346_0001	43	1368	+	1326		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240515	VBILacPla68346_0002	1546	2685	+	1140		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240514	VBILacPla68346_0002	1546	2685	+	1140		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240517	VBILacPla68346_0003	3243	3443	+	201		FIG002958: hypothetical protein
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240516	VBILacPla68346_0003	3243	3443	+	201		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240518	VBILacPla68346_0004	3444	4568	+	1125		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240519	VBILacPla68346_0004	3444	4568	+	1125		DNA recombination and repair protein RecF
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240520	VBILacPla68346_0005	4565	6511	+	1947		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240521	VBILacPla68346_0005	4565	6511	+	1947		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240522	VBILacPla68346_0006	6676	9237	+	2562		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240523	VBILacPla68346_0006	6676	9237	+	2562		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240525	VBILacPla68346_0007	9859	10158	+	300		SSU ribosomal protein S6p
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240524	VBILacPla68346_0007	9859	10158	+	300		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240526	VBILacPla68346_0008	10195	10797	+	603		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240527	VBILacPla68346_0008	10195	10797	+	603		Single-stranded DNA-binding protein
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240529	VBILacPla68346_0009	10836	11072	+	237		SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240528	VBILacPla68346_0009	10836	11072	+	237		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240530	VBILacPla68346_0010	11253	13265	+	2013		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240531	VBILacPla68346_0010	11253	13265	+	2013		Phosphoesterase, DHH family protein
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240533	VBILacPla68346_0011	13278	13730	+	453		LSU ribosomal protein L9p
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240532	VBILacPla68346_0011	13278	13730	+	453		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240535	VBILacPla68346_0012	13746	15170	+	1425		Replicative DNA helicase (EC 3.6.1.-)
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240534	VBILacPla68346_0012	13746	15170	+	1425		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240537	VBILacPla68346_0013	15167	16846	-	1680		Mobile element protein
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240536	VBILacPla68346_0013	15167	16846	-	1680		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240539	VBILacPla68346_0014	17163	18386	+	1224		permease of the major facilitator superfamily
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240538	VBILacPla68346_0014	17163	18386	+	1224		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240540	VBILacPla68346_0015	18408	19205	+	798		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240541	VBILacPla68346_0015	18408	19205	+	798		Glutamate 5-kinase (EC 2.7.2.11)
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240542	VBILacPla68346_0016	19224	20462	+	1239		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240543	VBILacPla68346_0016	19224	20462	+	1239		Gamma-glutamyl phosphate reductase (EC 1.2.1.41)
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240544	VBILacPla68346_0017	20974	22539	+	1566		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240545	VBILacPla68346_0017	20974	22539	+	1566		Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240546	VBILacPla68346_0018	22870	24774	+	1905		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240547	VBILacPla68346_0018	22870	24774	+	1905		1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240548	VBILacPla68346_0019	24764	25903	+	1140		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240549	VBILacPla68346_0019	24764	25903	+	1140		Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240551	VBILacPla68346_0020	25900	27072	+	1173		Glycogen biosynthesis protein GlgD, glucose-1-phosphate adenylyltransferase family
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240550	VBILacPla68346_0020	25900	27072	+	1173		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240553	VBILacPla68346_0021	27065	28504	+	1440		Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240552	VBILacPla68346_0021	27065	28504	+	1440		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240555	VBILacPla68346_0022	28524	30920	+	2397		Glycogen phosphorylase (EC 2.4.1.1)
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240554	VBILacPla68346_0022	28524	30920	+	2397		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240556	VBILacPla68346_0023	30938	32755	+	1818		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240557	VBILacPla68346_0023	30938	32755	+	1818		Neopullulanase (EC 3.2.1.135)
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240559	VBILacPla68346_0024	33088	33855	+	768		Hydrolase (HAD superfamily) in cluster with DUF1447
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240558	VBILacPla68346_0024	33088	33855	+	768		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240560	VBILacPla68346_0025	34007	34678	-	672		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240561	VBILacPla68346_0025	34007	34678	-	672		Beta-phosphoglucomutase (EC 5.4.2.6)
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240563	VBILacPla68346_0026	34696	37416	-	2721		Trehalose 6-phosphate phosphorylase (EC 2.4.1.216)
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240562	VBILacPla68346_0026	34696	37416	-	2721		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240564	VBILacPla68346_0027	37804	38253	-	450		
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240565	VBILacPla68346_0027	37804	38253	-	450		hypothetical protein
Lactobacillus plantarum JDM1	NC_012984	PATRIC	CDS	22240567	VBILacPla68346_0028	38452	38652	+	201		Cold shock protein CspA
Lactobacillus plantarum JDM1	NC_012984	PATRIC	gene	22240566	VBILacPla68346_0028	38452	38652	+	201		
