GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus casei ATCC 334	NC_008502	PATRIC	source	22203671		1	29061	+	29061		
Lactobacillus casei ATCC 334	NC_008502	PATRIC	gene	22203672	VBILacCas62221_0001	8	274	+	267		
Lactobacillus casei ATCC 334	NC_008502	PATRIC	CDS	22203673	VBILacCas62221_0001	8	274	+	267		FIG00747823: hypothetical protein
Lactobacillus casei ATCC 334	NC_008502	PATRIC	gene	22203674	VBILacCas62221_0002	349	2616	-	2268		
Lactobacillus casei ATCC 334	NC_008502	PATRIC	CDS	22203675	VBILacCas62221_0002	349	2616	-	2268		Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)
Lactobacillus casei ATCC 334	NC_008502	PATRIC	CDS	22203677	VBILacCas62221_0003	2867	3298	-	432		Negative transcriptional regulator-copper transport operon
Lactobacillus casei ATCC 334	NC_008502	PATRIC	gene	22203676	VBILacCas62221_0003	2867	3298	-	432		
Lactobacillus casei ATCC 334	NC_008502	PATRIC	gene	22203678	VBILacCas62221_0004	4068	4199	+	132		
Lactobacillus casei ATCC 334	NC_008502	PATRIC	CDS	22203679	VBILacCas62221_0004	4068	4199	+	132		Transposase
Lactobacillus casei ATCC 334	NC_008502	PATRIC	gene	22203680	VBILacCas62221_0005	4556	5005	+	450		
Lactobacillus casei ATCC 334	NC_008502	PATRIC	CDS	22203681	VBILacCas62221_0005	4556	5005	+	450		Mobile element protein
Lactobacillus casei ATCC 334	NC_008502	PATRIC	CDS	22203683	VBILacCas62221_0006	5062	5232	+	171		Transposase
Lactobacillus casei ATCC 334	NC_008502	PATRIC	gene	22203682	VBILacCas62221_0006	5062	5232	+	171		
Lactobacillus casei ATCC 334	NC_008502	PATRIC	CDS	22203685	VBILacCas62221_0007	5563	5898	-	336		PTS system, lactose-specific IIA component (EC 2.7.1.69)
Lactobacillus casei ATCC 334	NC_008502	PATRIC	gene	22203684	VBILacCas62221_0007	5563	5898	-	336		
Lactobacillus casei ATCC 334	NC_008502	PATRIC	gene	22203686	VBILacCas62221_0008	5946	7370	-	1425		
Lactobacillus casei ATCC 334	NC_008502	PATRIC	CDS	22203687	VBILacCas62221_0008	5946	7370	-	1425		6-phospho-beta-galactosidase (EC 3.2.1.85)
Lactobacillus casei ATCC 334	NC_008502	PATRIC	CDS	22203689	VBILacCas62221_0009	7397	9130	-	1734		PTS system, lactose-specific IIB component (EC 2.7.1.69) / PTS system, lactose-specific IIC component (EC 2.7.1.69)
Lactobacillus casei ATCC 334	NC_008502	PATRIC	gene	22203688	VBILacCas62221_0009	7397	9130	-	1734		
