GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	source	42115917		1	7526	+	7526		
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	gene	42115918	VBILacIne171321_0001	72	242	+	171		
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	CDS	42115919	VBILacIne171321_0001	72	242	+	171		hypothetical protein
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	gene	42115920	VBILacIne171321_0002	624	836	+	213		
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	CDS	42115921	VBILacIne171321_0002	624	836	+	213		hypothetical protein
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	tRNA	42115923	VBILacIne171321_r001	949	1020	+	72		tRNA-Glu-TTC
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	gene	42115922	VBILacIne171321_r001	949	1020	+	72		
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	gene	42115924	VBILacIne171321_r002	1039	1129	+	91		
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	tRNA	42115925	VBILacIne171321_r002	1039	1129	+	91		tRNA-Ser-TGA
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	gene	42115926	VBILacIne171321_r003	1140	1213	+	74		
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	tRNA	42115927	VBILacIne171321_r003	1140	1213	+	74		tRNA-Met-CAT
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	tRNA	42115929	VBILacIne171321_r004	1216	1288	+	73		tRNA-Asp-GTC
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	gene	42115928	VBILacIne171321_r004	1216	1288	+	73		
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	gene	42115930	VBILacIne171321_r005	1295	1367	+	73		
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	tRNA	42115931	VBILacIne171321_r005	1295	1367	+	73		tRNA-Phe-GAA
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	tRNA	42115933	VBILacIne171321_r006	1375	1456	+	82		tRNA-Tyr-GTA
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	gene	42115932	VBILacIne171321_r006	1375	1456	+	82		
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	tRNA	42115935	VBILacIne171321_r007	1461	1531	+	71		tRNA-Trp-CCA
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	gene	42115934	VBILacIne171321_r007	1461	1531	+	71		
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	tRNA	42115937	VBILacIne171321_r008	1546	1621	+	76		tRNA-His-GTG
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	gene	42115936	VBILacIne171321_r008	1546	1621	+	76		
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	gene	42115938	VBILacIne171321_r009	1626	1697	+	72		
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	tRNA	42115939	VBILacIne171321_r009	1626	1697	+	72		tRNA-Gln-TTG
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	gene	42115940	VBILacIne171321_r010	1721	1791	+	71		
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	tRNA	42115941	VBILacIne171321_r010	1721	1791	+	71		tRNA-Cys-GCA
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	gene	42115942	VBILacIne171321_r011	1825	1908	+	84		
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	tRNA	42115943	VBILacIne171321_r011	1825	1908	+	84		tRNA-Leu-CAA
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	CDS	42115945	VBILacIne171321_0003	2021	3175	+	1155		Glycosyltransferase LafA, responsible for the formation of Glc-DAG
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	gene	42115944	VBILacIne171321_0003	2021	3175	+	1155		
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	gene	42115946	VBILacIne171321_0004	3177	4220	+	1044		
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	CDS	42115947	VBILacIne171321_0004	3177	4220	+	1044		Glycosyltransferase LafB, responsible for the formation of Gal-Glc-DAG
Lactobacillus iners LactinV 09V1-c	NZ_AEHO01000001	PATRIC	CDS	42115949	VBILacIne171321_0005	4220	4978	+	759		Integral membrane protein LafC, accessory function in glycolipid and LTA synthesis
