GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	source	42125261		1	92782	+	92782		
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	gene	42125262	VBILacIne173566_0001	173	1162	+	990		
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	CDS	42125263	VBILacIne173566_0001	173	1162	+	990		PTS system, mannose-specific IIB component (EC 2.7.1.69) / PTS system, mannose-specific IIA component (EC 2.7.1.69)
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	CDS	42125265	VBILacIne173566_0002	1190	1984	+	795		PTS system, mannose-specific IIC component (EC 2.7.1.69)
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	gene	42125264	VBILacIne173566_0002	1190	1984	+	795		
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	CDS	42125267	VBILacIne173566_0003	2009	2938	+	930		PTS system, mannose-specific IID component (EC 2.7.1.69)
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	gene	42125266	VBILacIne173566_0003	2009	2938	+	930		
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	gene	42125268	VBILacIne173566_0004	2940	3299	+	360		
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	CDS	42125269	VBILacIne173566_0004	2940	3299	+	360		Putative regulator of the mannose operon, ManO
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	gene	42125270	VBILacIne173566_0005	3527	4900	+	1374		
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	CDS	42125271	VBILacIne173566_0005	3527	4900	+	1374		contains amino acid permease domain
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	CDS	42125273	VBILacIne173566_0006	5184	5639	+	456		ABC transporter ATPase component
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	gene	42125272	VBILacIne173566_0006	5184	5639	+	456		
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	gene	42125274	VBILacIne173566_0007	5687	6820	+	1134		
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	CDS	42125275	VBILacIne173566_0007	5687	6820	+	1134		ABC transporter ATPase component
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	CDS	42125277	VBILacIne173566_0008	7199	8209	-	1011		Aspartate--ammonia ligase (EC 6.3.1.1)
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	gene	42125276	VBILacIne173566_0008	7199	8209	-	1011		
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	CDS	42125279	VBILacIne173566_0009	8676	9587	+	912		Permease of the drug/metabolite transporter (DMT) superfamily
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	gene	42125278	VBILacIne173566_0009	8676	9587	+	912		
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	gene	42125280	VBILacIne173566_0010	9771	12485	+	2715		
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	CDS	42125281	VBILacIne173566_0010	9771	12485	+	2715		FIG00749726: hypothetical protein
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	CDS	42125283	VBILacIne173566_0011	12640	12984	-	345		DNA-entry nuclease (Competence-specific nuclease) (EC 3.1.30.-)
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	gene	42125282	VBILacIne173566_0011	12640	12984	-	345		
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	CDS	42125285	VBILacIne173566_0012	13028	13576	-	549		DNA-entry nuclease (Competence-specific nuclease) (EC 3.1.30.-)
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	gene	42125284	VBILacIne173566_0012	13028	13576	-	549		
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	gene	42125286	VBILacIne173566_0013	13778	15163	-	1386		
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	CDS	42125287	VBILacIne173566_0013	13778	15163	-	1386		Amino acid transporter
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	gene	42125288	VBILacIne173566_0014	15153	15824	-	672		
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	CDS	42125289	VBILacIne173566_0014	15153	15824	-	672		Putative amidotransferase similar to cobyric acid synthase
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	CDS	42125291	VBILacIne173566_0015	15992	16768	+	777		Protein tyrosine/serine phosphatase
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	gene	42125290	VBILacIne173566_0015	15992	16768	+	777		
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	gene	42125292	VBILacIne173566_0016	16862	17815	+	954		
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	CDS	42125293	VBILacIne173566_0016	16862	17815	+	954		Maltose operon transcriptional repressor MalR, LacI family
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	gene	42125294	VBILacIne173566_0017	17981	19642	+	1662		
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	CDS	42125295	VBILacIne173566_0017	17981	19642	+	1662		Oligo-1,6-glucosidase (EC 3.2.1.10)
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	CDS	42125297	VBILacIne173566_0018	19709	21406	+	1698		Neopullulanase (EC 3.2.1.135)
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	gene	42125296	VBILacIne173566_0018	19709	21406	+	1698		
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	gene	42125298	VBILacIne173566_0019	21514	23787	+	2274		
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	CDS	42125299	VBILacIne173566_0019	21514	23787	+	2274		Maltose phosphorylase (EC 2.4.1.8) / Trehalose phosphorylase (EC 2.4.1.64)
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	CDS	42125301	VBILacIne173566_0020	23772	24434	+	663		Beta-phosphoglucomutase (EC 5.4.2.6)
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	gene	42125300	VBILacIne173566_0020	23772	24434	+	663		
Lactobacillus iners SPIN 2503V10-D	NZ_AEHR01000001	PATRIC	CDS	42125303	VBILacIne173566_0021	24454	25557	+	1104		Multiple sugar ABC transporter, ATP-binding protein
