GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	source	52793610		1	90953	+	90953		
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	CDS	52793612	VBILacFar179928_0001	233	1777	-	1545		COG0488: ATPase components of ABC transporters with duplicated ATPase domains
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	gene	52793611	VBILacFar179928_0001	233	1777	-	1545		
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	CDS	52793614	VBILacFar179928_0002	1836	2993	-	1158		Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily F2 (as in PMID19099556)
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	gene	52793613	VBILacFar179928_0002	1836	2993	-	1158		
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	CDS	52793616	VBILacFar179928_0003	3269	4720	+	1452		Probable transport protein
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	gene	52793615	VBILacFar179928_0003	3269	4720	+	1452		
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	CDS	52793618	VBILacFar179928_0004	4784	7450	-	2667		Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	gene	52793617	VBILacFar179928_0004	4784	7450	-	2667		
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	CDS	52793620	VBILacFar179928_0005	7459	8754	-	1296		hypothetical protein
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	gene	52793619	VBILacFar179928_0005	7459	8754	-	1296		
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	gene	52793621	VBILacFar179928_0006	8828	9754	+	927		
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	CDS	52793622	VBILacFar179928_0006	8828	9754	+	927		hypothetical protein
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	CDS	52793624	VBILacFar179928_0007	9793	10224	-	432		Rrf2 family transcriptional regulator, group III
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	gene	52793623	VBILacFar179928_0007	9793	10224	-	432		
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	gene	52793625	VBILacFar179928_0008	10285	11121	-	837		
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	CDS	52793626	VBILacFar179928_0008	10285	11121	-	837		Predicted nucleoside-diphosphate-sugar epimerase
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	gene	52793627	VBILacFar179928_0009	11283	12569	-	1287		
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	CDS	52793628	VBILacFar179928_0009	11283	12569	-	1287		Adenylosuccinate synthetase (EC 6.3.4.4)
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	CDS	52793630	VBILacFar179928_0010	12590	13963	-	1374		Replicative DNA helicase (EC 3.6.1.-) [SA14-24]
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	gene	52793629	VBILacFar179928_0010	12590	13963	-	1374		
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	gene	52793631	VBILacFar179928_0011	14285	14425	-	141		
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	CDS	52793632	VBILacFar179928_0011	14285	14425	-	141		LSU ribosomal protein L9p
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	CDS	52793634	VBILacFar179928_0012	14439	16439	-	2001		Phosphoesterase, DHH family protein
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	gene	52793633	VBILacFar179928_0012	14439	16439	-	2001		
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	gene	52793635	VBILacFar179928_0013	16596	17129	-	534		
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	CDS	52793636	VBILacFar179928_0013	16596	17129	-	534		hypothetical protein
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	CDS	52793638	VBILacFar179928_0014	17160	17360	-	201		Transcriptional regulator, PBSX family
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	gene	52793637	VBILacFar179928_0014	17160	17360	-	201		
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	CDS	52793640	VBILacFar179928_0015	17683	17919	-	237		SSU ribosomal protein S18p
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	gene	52793639	VBILacFar179928_0015	17683	17919	-	237		
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	CDS	52793642	VBILacFar179928_0016	17941	18522	-	582		Single-stranded DNA-binding protein
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	gene	52793641	VBILacFar179928_0016	17941	18522	-	582		
Lactobacillus farciminis KCTC 3681	AEOT01000001	PATRIC	gene	52793643	VBILacFar179928_0017	18560	18856	-	297		
