GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	source	37030215		1	251461	+	251461		
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	CDS	37030217	VBILacReu81267_0001	2	1123	-	1122		Glycerol dehydrogenase (EC 1.1.1.6)
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	gene	37030216	VBILacReu81267_0001	2	1123	-	1122		
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	CDS	37030219	VBILacReu81267_0002	1282	3114	-	1833		Lipoteichoic acid synthase LtaS Type IIb
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	gene	37030218	VBILacReu81267_0002	1282	3114	-	1833		
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	CDS	37030221	VBILacReu81267_0113	3387	3689	-	303		Lipoteichoic acid synthase LtaS Type IIb
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	gene	37030220	VBILacReu81267_0113	3387	3689	-	303		
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	gene	37030222	VBILacReu81267_0114	3797	4060	-	264		
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	CDS	37030223	VBILacReu81267_0114	3797	4060	-	264		FIG00745585: hypothetical protein
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	gene	37030224	VBILacReu81267_0115	4192	4845	+	654		
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	CDS	37030225	VBILacReu81267_0115	4192	4845	+	654		Phosphoglycerate mutase family
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	CDS	37030227	VBILacReu81267_0116	4972	5709	+	738		transcriptional regulator, IclR family protein
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	gene	37030226	VBILacReu81267_0116	4972	5709	+	738		
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	gene	37030228	VBILacReu81267_0117	5806	5937	+	132		
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	CDS	37030229	VBILacReu81267_0117	5806	5937	+	132		hypothetical protein
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	CDS	37030231	VBILacReu81267_0185	7120	7554	+	435		3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	gene	37030230	VBILacReu81267_0185	7120	7554	+	435		
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	CDS	37030233	VBILacReu81267_0186	7846	8673	+	828		Arginine/ornithine antiporter ArcD
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	gene	37030232	VBILacReu81267_0186	7846	8673	+	828		
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	gene	37030234	VBILacReu81267_0187	8700	9308	+	609		
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	CDS	37030235	VBILacReu81267_0187	8700	9308	+	609		Arginine/ornithine antiporter ArcD
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	gene	37030236	VBILacReu81267_0204	10292	11677	-	1386		
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	CDS	37030237	VBILacReu81267_0204	10292	11677	-	1386		Predicted tyrosine transporter, NhaC family
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	gene	37030238	VBILacReu81267_0205	11989	13317	-	1329		
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	CDS	37030239	VBILacReu81267_0205	11989	13317	-	1329		Xanthine permease
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	CDS	37030241	VBILacReu81267_0206	13684	15117	+	1434		dipeptidase
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	gene	37030240	VBILacReu81267_0206	13684	15117	+	1434		
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	CDS	37030243	VBILacReu81267_0207	15159	16076	-	918		Magnesium and cobalt transport protein CorA
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	gene	37030242	VBILacReu81267_0207	15159	16076	-	918		
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	gene	37030244	VBILacReu81267_0208	16223	17143	+	921		
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	CDS	37030245	VBILacReu81267_0208	16223	17143	+	921		Similar to ribosomal large subunit pseudouridine synthase D, Bacillus subtilis YhcT type
Lactobacillus reuteri SD2112	NZ_GG693524	PATRIC	CDS	37030247	VBILacReu81267_0209	17162	17917	+	756		TerC-like integral membrane protein
