GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	source	27422327		1	19360	+	19360		
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	gene	27422328	VBILacHel2059_0001	129	422	+	294		
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	CDS	27422329	VBILacHel2059_0001	129	422	+	294		hypothetical protein
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	CDS	27422331	VBILacHel2059_0002	476	1312	+	837		hypothetical protein
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	gene	27422330	VBILacHel2059_0002	476	1312	+	837		
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	CDS	27422333	VBILacHel2059_0003	1409	1912	+	504		hypothetical protein
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	gene	27422332	VBILacHel2059_0003	1409	1912	+	504		
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	gene	27422334	VBILacHel2059_0004	3422	4000	-	579		
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	CDS	27422335	VBILacHel2059_0004	3422	4000	-	579		Mobile element protein
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	gene	27422336	VBILacHel2059_0005	4951	5538	-	588		
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	CDS	27422337	VBILacHel2059_0005	4951	5538	-	588		Mobile element protein
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	CDS	27422339	VBILacHel2059_0006	5646	5906	+	261		hypothetical protein
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	gene	27422338	VBILacHel2059_0006	5646	5906	+	261		
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	gene	27422340	VBILacHel2059_0007	6628	7905	-	1278		
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	CDS	27422341	VBILacHel2059_0007	6628	7905	-	1278		Mobile element protein
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	gene	27422342	VBILacHel2059_0008	8415	8789	+	375		
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	CDS	27422343	VBILacHel2059_0008	8415	8789	+	375		hypothetical protein
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	CDS	27422345	VBILacHel2059_0009	8820	9089	+	270		hypothetical protein
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	gene	27422344	VBILacHel2059_0009	8820	9089	+	270		
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	CDS	27422347	VBILacHel2059_0010	9118	9324	+	207		hypothetical protein
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	gene	27422346	VBILacHel2059_0010	9118	9324	+	207		
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	gene	27422348	VBILacHel2059_0011	9389	10876	+	1488		
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	CDS	27422349	VBILacHel2059_0011	9389	10876	+	1488		hypothetical protein
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	CDS	27422351	VBILacHel2059_0012	11202	11789	+	588		putative resolvase
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	gene	27422350	VBILacHel2059_0012	11202	11789	+	588		
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	gene	27422352	VBILacHel2059_0013	11855	12334	-	480		
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	CDS	27422353	VBILacHel2059_0013	11855	12334	-	480		Mobile element protein
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	gene	27422354	VBILacHel2059_0014	12504	13142	+	639		
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	CDS	27422355	VBILacHel2059_0014	12504	13142	+	639		hypothetical protein
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	CDS	27422357	VBILacHel2059_0015	13559	14644	+	1086		(R)-2-hydroxyacid dehydrogenase, similar to L-sulfolactate dehydrogenase (EC 1.1.1.272)
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	gene	27422356	VBILacHel2059_0015	13559	14644	+	1086		
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	gene	27422358	VBILacHel2059_0016	14778	15092	-	315		
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	CDS	27422359	VBILacHel2059_0016	14778	15092	-	315		Hypothetical integral membrane protein
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	gene	27422360	VBILacHel2059_0017	16298	16612	+	315		
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	CDS	27422361	VBILacHel2059_0017	16298	16612	+	315		hypothetical protein
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	gene	27422362	VBILacHel2059_0018	16847	17029	+	183		
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	CDS	27422363	VBILacHel2059_0018	16847	17029	+	183		transposase IS1201
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	gene	27422364	VBILacHel2059_0019	17514	17636	-	123		
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	CDS	27422365	VBILacHel2059_0019	17514	17636	-	123		Replicative DNA helicase (EC 3.6.1.-) [SA14-24]
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	CDS	27422367	VBILacHel2059_0020	18118	19173	+	1056		putative replication protein
Lactobacillus helveticus DSM 20075	NC_002102	PATRIC	gene	27422366	VBILacHel2059_0020	18118	19173	+	1056		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	source	27422368		1	782499	+	782499		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422370	VBILacHel2059_0021	90	503	-	414		Peptide deformylase (EC 3.5.1.88)
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422369	VBILacHel2059_0021	90	503	-	414		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422371	VBILacHel2059_0022	648	776	-	129		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422372	VBILacHel2059_0022	648	776	-	129		hypothetical protein
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422374	VBILacHel2059_0023	793	1803	+	1011		penicillin-binding protein
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422373	VBILacHel2059_0023	793	1803	+	1011		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422376	VBILacHel2059_0024	1843	2034	-	192		putative phage DEAD box family helicase
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422375	VBILacHel2059_0024	1843	2034	-	192		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422378	VBILacHel2059_0123	2953	5496	-	2544		putative phage DEAD box family helicase
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422377	VBILacHel2059_0123	2953	5496	-	2544		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422379	VBILacHel2059_0124	5566	6042	-	477		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422380	VBILacHel2059_0124	5566	6042	-	477		contains amino acid permease domain
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422381	VBILacHel2059_0125	6050	6391	-	342		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422382	VBILacHel2059_0125	6050	6391	-	342		contains amino acid permease domain
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422383	VBILacHel2059_0126	6514	7341	-	828		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422384	VBILacHel2059_0126	6514	7341	-	828		Exodeoxyribonuclease III (EC 3.1.11.2)
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422385	VBILacHel2059_0127	7844	8686	-	843		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422386	VBILacHel2059_0127	7844	8686	-	843		Ribulosamine/erythrulosamine 3-kinase potentially involved in protein deglycation
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422387	VBILacHel2059_0128	8813	9826	+	1014		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422388	VBILacHel2059_0128	8813	9826	+	1014		D-lactate dehydrogenase (EC 1.1.1.28)
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422390	VBILacHel2059_0129	9897	10160	-	264		FIG00746646: hypothetical protein
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422389	VBILacHel2059_0129	9897	10160	-	264		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422392	VBILacHel2059_0130	10189	10716	-	528		putative hydrolase
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422391	VBILacHel2059_0130	10189	10716	-	528		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422393	VBILacHel2059_0131	10836	12332	-	1497		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422394	VBILacHel2059_0131	10836	12332	-	1497		Ribosome protection-type tetracycline resistance related proteins, group 2
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422396	VBILacHel2059_0132	12317	12766	-	450		Ribosome protection-type tetracycline resistance related proteins, group 2
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422395	VBILacHel2059_0132	12317	12766	-	450		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422397	VBILacHel2059_0133	13105	13962	-	858		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422398	VBILacHel2059_0133	13105	13962	-	858		oxidoreductase of aldo/keto reductase family, subgroup 1
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422399	VBILacHel2059_0134	14130	14723	-	594		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422400	VBILacHel2059_0134	14130	14723	-	594		hypothetical protein
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422402	VBILacHel2059_0135	14880	15251	-	372		hypothetical protein
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422401	VBILacHel2059_0135	14880	15251	-	372		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422404	VBILacHel2059_0235	17116	17235	-	120		hypothetical protein
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422403	VBILacHel2059_0235	17116	17235	-	120		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422405	VBILacHel2059_0236	17212	17331	+	120		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422406	VBILacHel2059_0236	17212	17331	+	120		hypothetical protein
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422407	VBILacHel2059_0237	17424	17828	-	405		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422408	VBILacHel2059_0237	17424	17828	-	405		2-haloalkanoic acid dehalogenase (EC 3.8.1.2)
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422410	VBILacHel2059_0238	17862	18131	-	270		2-haloalkanoic acid dehalogenase (EC 3.8.1.2)
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422409	VBILacHel2059_0238	17862	18131	-	270		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422412	VBILacHel2059_0239	18479	19471	+	993		ABC transporter substrate-binding protein
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422411	VBILacHel2059_0239	18479	19471	+	993		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422414	VBILacHel2059_0240	19468	20352	+	885		ABC transporter permease protein
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422413	VBILacHel2059_0240	19468	20352	+	885		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422415	VBILacHel2059_0241	20360	21121	+	762		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422416	VBILacHel2059_0241	20360	21121	+	762		ABC transporter, ATP-binding protein
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422417	VBILacHel2059_0242	21495	21779	+	285		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422418	VBILacHel2059_0242	21495	21779	+	285		FIG00743595: hypothetical protein
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422419	VBILacHel2059_0243	21957	22139	+	183		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422420	VBILacHel2059_0243	21957	22139	+	183		hypothetical protein
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422422	VBILacHel2059_0244	22168	22740	-	573		putative esterase
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422421	VBILacHel2059_0244	22168	22740	-	573		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422423	VBILacHel2059_0245	22737	23771	-	1035		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422424	VBILacHel2059_0245	22737	23771	-	1035		FIG00743490: hypothetical protein
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422426	VBILacHel2059_0246	24026	26260	+	2235		Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1)
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422425	VBILacHel2059_0246	24026	26260	+	2235		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422428	VBILacHel2059_0247	26280	26690	+	411		FIG00751148: hypothetical protein
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422427	VBILacHel2059_0247	26280	26690	+	411		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422429	VBILacHel2059_0248	26692	27216	+	525		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422430	VBILacHel2059_0248	26692	27216	+	525		Substrate-specific component CbrT of predicted cobalamin ECF transporter
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422431	VBILacHel2059_0249	27217	27777	+	561		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422432	VBILacHel2059_0249	27217	27777	+	561		Cob(I)alamin adenosyltransferase PduO (EC 2.5.1.17)
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	gene	27422433	VBILacHel2059_0250	27816	28310	-	495		
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422434	VBILacHel2059_0250	27816	28310	-	495		FIG00752025: hypothetical protein
Lactobacillus helveticus DSM 20075	NZ_GG700752	PATRIC	CDS	27422436	VBILacHel2059_0251	28430	28564	-	135		FIG00745363: hypothetical protein
