GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	source	22223934		1	2098685	+	2098685		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223936	VBILacFer15497_0001	1	1317	+	1317		Chromosomal replication initiator protein DnaA
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223935	VBILacFer15497_0001	1	1317	+	1317		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223937	VBILacFer15497_0002	1482	2621	+	1140		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223938	VBILacFer15497_0002	1482	2621	+	1140		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223939	VBILacFer15497_0003	2843	3061	+	219		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223940	VBILacFer15497_0003	2843	3061	+	219		FIG002958: hypothetical protein
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223942	VBILacFer15497_0004	3071	4192	+	1122		DNA recombination and repair protein RecF
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223941	VBILacFer15497_0004	3071	4192	+	1122		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223944	VBILacFer15497_0005	4192	6141	+	1950		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223943	VBILacFer15497_0005	4192	6141	+	1950		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223946	VBILacFer15497_0006	6167	8677	+	2511		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223945	VBILacFer15497_0006	6167	8677	+	2511		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223948	VBILacFer15497_0007	8884	9177	+	294		SSU ribosomal protein S6p
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223947	VBILacFer15497_0007	8884	9177	+	294		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223949	VBILacFer15497_0008	9266	9943	+	678		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223950	VBILacFer15497_0008	9266	9943	+	678		Single-stranded DNA-binding protein
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223952	VBILacFer15497_0009	9982	10218	+	237		SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223951	VBILacFer15497_0009	9982	10218	+	237		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223953	VBILacFer15497_0010	10343	12376	+	2034		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223954	VBILacFer15497_0010	10343	12376	+	2034		Phosphoesterase, DHH family protein
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223956	VBILacFer15497_0011	12376	12828	+	453		LSU ribosomal protein L9p
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223955	VBILacFer15497_0011	12376	12828	+	453		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223957	VBILacFer15497_0012	12873	14276	+	1404		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223958	VBILacFer15497_0012	12873	14276	+	1404		Replicative DNA helicase (EC 3.6.1.-)
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223960	VBILacFer15497_0013	14360	15535	+	1176		permease of the major facilitator superfamily
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223959	VBILacFer15497_0013	14360	15535	+	1176		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223961	VBILacFer15497_0014	15547	15879	+	333		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223962	VBILacFer15497_0014	15547	15879	+	333		FIG00743752: hypothetical protein
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223963	VBILacFer15497_r001	16095	16167	-	73		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	tRNA	22223964	VBILacFer15497_r001	16095	16167	-	73		tRNA-Lys-CTT
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223966	VBILacFer15497_0015	16335	17042	+	708		Two-component response regulator SA14-24
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223965	VBILacFer15497_0015	16335	17042	+	708		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223967	VBILacFer15497_0016	17054	18913	+	1860		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223968	VBILacFer15497_0016	17054	18913	+	1860		Two-component sensor kinase SA14-24
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223969	VBILacFer15497_0017	18897	20195	+	1299		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223970	VBILacFer15497_0017	18897	20195	+	1299		FIG011501: YycH protein
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223971	VBILacFer15497_0018	20197	20997	+	801		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223972	VBILacFer15497_0018	20197	20997	+	801		Distant homolog of hypothetical protein SA_21
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223974	VBILacFer15497_0019	21012	21827	+	816		Zn-dependent hydrolase YycJ/WalJ, required for cell wall metabolism and coordination of cell division with DNA replication
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223973	VBILacFer15497_0019	21012	21827	+	816		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223975	VBILacFer15497_0020	21902	23173	+	1272		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223976	VBILacFer15497_0020	21902	23173	+	1272		Serine protease, DegP/HtrA, do-like (EC 3.4.21.-)
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223977	VBILacFer15497_0021	23681	24160	+	480		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223978	VBILacFer15497_0021	23681	24160	+	480		LSU m3Psi1915 methyltransferase RlmH
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223979	VBILacFer15497_0022	24372	24800	+	429		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223980	VBILacFer15497_0022	24372	24800	+	429		Rrf2 family transcriptional regulator, group III
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223981	VBILacFer15497_0023	24806	25741	+	936		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223982	VBILacFer15497_0023	24806	25741	+	936		Maltose operon transcriptional repressor MalR, LacI family
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223984	VBILacFer15497_0024	26121	27464	+	1344		Sugar transporter
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223983	VBILacFer15497_0024	26121	27464	+	1344		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223985	VBILacFer15497_0025	27477	29723	+	2247		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223986	VBILacFer15497_0025	27477	29723	+	2247		Maltose phosphorylase (EC 2.4.1.8) / Trehalose phosphorylase (EC 2.4.1.64)
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223987	VBILacFer15497_0026	29870	30538	+	669		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223988	VBILacFer15497_0026	29870	30538	+	669		Beta-phosphoglucomutase (EC 5.4.2.6)
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223990	VBILacFer15497_0027	30621	31286	-	666		ABC-type Na+ efflux pump, permease component
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223989	VBILacFer15497_0027	30621	31286	-	666		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223991	VBILacFer15497_0028	31337	32314	-	978		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223992	VBILacFer15497_0028	31337	32314	-	978		Choloylglycine hydrolase( EC:3.5.1.24 )
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223993	VBILacFer15497_0029	32369	33304	-	936		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223994	VBILacFer15497_0029	32369	33304	-	936		hydrolase of the alpha/beta superfamily
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223995	VBILacFer15497_0030	33607	34599	-	993		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223996	VBILacFer15497_0030	33607	34599	-	993		D-lactate dehydrogenase (EC 1.1.1.28)
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223997	VBILacFer15497_0031	34615	35799	-	1185		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22223998	VBILacFer15497_0031	34615	35799	-	1185		Aromatic amino acid aminotransferase gamma (EC 2.6.1.57)
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224000	VBILacFer15497_0032	36148	36378	+	231		FIG00743226: hypothetical protein
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22223999	VBILacFer15497_0032	36148	36378	+	231		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224001	VBILacFer15497_0033	36473	38566	+	2094		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224002	VBILacFer15497_0033	36473	38566	+	2094		putative ATP-dependent Clp proteinase (ATP-binding subunit)
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224003	VBILacFer15497_0034	38867	40327	+	1461		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224004	VBILacFer15497_0034	38867	40327	+	1461		Cardiolipin synthetase (EC 2.7.8.-)
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224006	VBILacFer15497_0035	40810	44547	+	3738		ATP-dependent nuclease, subunit B
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224005	VBILacFer15497_0035	40810	44547	+	3738		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224008	VBILacFer15497_0036	44554	48567	+	4014		ATP-dependent nuclease, subunit A
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224007	VBILacFer15497_0036	44554	48567	+	4014		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224009	VBILacFer15497_0037	48567	49430	+	864		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224010	VBILacFer15497_0037	48567	49430	+	864		oxidoreductase of aldo/keto reductase family, subgroup 1
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224012	VBILacFer15497_0038	49669	51294	+	1626		Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224011	VBILacFer15497_0038	49669	51294	+	1626		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224013	VBILacFer15497_0039	51588	51944	-	357		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224014	VBILacFer15497_0039	51588	51944	-	357		Arsenate reductase (EC 1.20.4.1)
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224016	VBILacFer15497_0040	51982	53097	-	1116		ABC transporter, permease protein
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224015	VBILacFer15497_0040	51982	53097	-	1116		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224017	VBILacFer15497_0041	53090	53821	-	732		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224018	VBILacFer15497_0041	53090	53821	-	732		ABC transporter, ATP-binding protein
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224020	VBILacFer15497_0042	53960	54514	+	555		Transcriptional regulator, TetR family
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224019	VBILacFer15497_0042	53960	54514	+	555		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224021	VBILacFer15497_0043	54595	54876	-	282		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224022	VBILacFer15497_0043	54595	54876	-	282		GMP reductase
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224023	VBILacFer15497_0044	54833	55570	-	738		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224024	VBILacFer15497_0044	54833	55570	-	738		GMP reductase (EC 1.7.1.7)
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224025	VBILacFer15497_0045	55767	57056	+	1290		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224026	VBILacFer15497_0045	55767	57056	+	1290		Adenylosuccinate synthetase (EC 6.3.4.4)
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224027	VBILacFer15497_0046	57383	58738	+	1356		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224028	VBILacFer15497_0046	57383	58738	+	1356		Succinate-semialdehyde dehydrogenase [NAD] (EC 1.2.1.24); Succinate-semialdehyde dehydrogenase [NADP+] (EC 1.2.1.16)
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224029	VBILacFer15497_0047	59021	59587	+	567		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224030	VBILacFer15497_0047	59021	59587	+	567		Uracil phosphoribosyltransferase (EC 2.4.2.9) / Pyrimidine operon regulatory protein PyrR
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224032	VBILacFer15497_0048	59706	60437	+	732		Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224031	VBILacFer15497_0048	59706	60437	+	732		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224034	VBILacFer15497_0049	60437	61063	+	627		Orotate phosphoribosyltransferase (EC 2.4.2.10)
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224033	VBILacFer15497_0049	60437	61063	+	627		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224035	VBILacFer15497_0050	61624	62049	-	426		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224036	VBILacFer15497_0050	61624	62049	-	426		Mobile element protein
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224037	VBILacFer15497_0051	62125	63411	+	1287		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224038	VBILacFer15497_0051	62125	63411	+	1287		Mobile element protein
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224039	VBILacFer15497_0052	63751	64143	-	393		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224040	VBILacFer15497_0052	63751	64143	-	393		FIG00742887: hypothetical protein
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224042	VBILacFer15497_0053	64286	65824	+	1539		Poly(glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52)
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224041	VBILacFer15497_0053	64286	65824	+	1539		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224044	VBILacFer15497_0054	65824	67320	+	1497		Poly(glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52)
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224043	VBILacFer15497_0054	65824	67320	+	1497		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224046	VBILacFer15497_0055	67730	68572	+	843		Methionine ABC transporter substrate-binding protein
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224045	VBILacFer15497_0055	67730	68572	+	843		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224048	VBILacFer15497_0056	68598	69662	+	1065		Methionine ABC transporter ATP-binding protein
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224047	VBILacFer15497_0056	68598	69662	+	1065		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224049	VBILacFer15497_0057	69655	70356	+	702		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224050	VBILacFer15497_0057	69655	70356	+	702		Methionine ABC transporter permease protein
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224052	VBILacFer15497_0058	70479	71630	+	1152		Acetylornithine deacetylase (EC 3.5.1.16)
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224051	VBILacFer15497_0058	70479	71630	+	1152		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224053	VBILacFer15497_0059	71930	73354	-	1425		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224054	VBILacFer15497_0059	71930	73354	-	1425		RNA methyltransferase, TrmA family
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224056	VBILacFer15497_0060	74343	75506	+	1164		Mobile element protein
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224055	VBILacFer15497_0060	74343	75506	+	1164		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224058	VBILacFer15497_0061	75735	76259	+	525		Oxidoreductase ion channel
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	gene	22224057	VBILacFer15497_0061	75735	76259	+	525		
Lactobacillus fermentum IFO 3956	NC_010610	PATRIC	CDS	22224060	VBILacFer15497_0062	76377	77669	-	1293		Poly(glycerophosphate chain) D-alanine transfer protein DltD
