GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus buchneri ATCC 11577	NZ_GG669710	PATRIC	source	30695776		1	1167131	+	1167131		
Lactobacillus buchneri ATCC 11577	NZ_GG669710	PATRIC	gene	30695777	VBILacBuc113131_0001	135	257	+	123		
Lactobacillus buchneri ATCC 11577	NZ_GG669710	PATRIC	CDS	30695778	VBILacBuc113131_0001	135	257	+	123		hypothetical protein
Lactobacillus buchneri ATCC 11577	NZ_GG669710	PATRIC	gene	30695779	VBILacBuc113131_0002	331	1509	+	1179		
Lactobacillus buchneri ATCC 11577	NZ_GG669710	PATRIC	CDS	30695780	VBILacBuc113131_0002	331	1509	+	1179		3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)
Lactobacillus buchneri ATCC 11577	NZ_GG669710	PATRIC	gene	30695781	VBILacBuc113131_0003	1597	3168	-	1572		
Lactobacillus buchneri ATCC 11577	NZ_GG669710	PATRIC	CDS	30695782	VBILacBuc113131_0003	1597	3168	-	1572		FIG00750986: hypothetical protein
Lactobacillus buchneri ATCC 11577	NZ_GG669710	PATRIC	gene	30695783	VBILacBuc113131_0004	3296	3511	+	216		
Lactobacillus buchneri ATCC 11577	NZ_GG669710	PATRIC	CDS	30695784	VBILacBuc113131_0004	3296	3511	+	216		FIG00749304: hypothetical protein
Lactobacillus buchneri ATCC 11577	NZ_GG669710	PATRIC	CDS	30695786	VBILacBuc113131_0005	3678	4211	+	534		Histone acetyltransferase HPA2 and related acetyltransferases
Lactobacillus buchneri ATCC 11577	NZ_GG669710	PATRIC	gene	30695785	VBILacBuc113131_0005	3678	4211	+	534		
Lactobacillus buchneri ATCC 11577	NZ_GG669710	PATRIC	CDS	30695788	VBILacBuc113131_0006	4274	4465	+	192		FIG00747085: hypothetical protein
Lactobacillus buchneri ATCC 11577	NZ_GG669710	PATRIC	gene	30695787	VBILacBuc113131_0006	4274	4465	+	192		
