GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	source	68889032		1	120777	+	120777		
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	gene	68889033	VBILacCur216521_0001	504	995	-	492		
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	CDS	68889034	VBILacCur216521_0001	504	995	-	492		FIG042801: CBS domain containing protein
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	CDS	68889036	VBILacCur216521_0002	1094	1615	-	522		FIG009886: phosphoesterase
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	gene	68889035	VBILacCur216521_0002	1094	1615	-	522		
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	CDS	68889038	VBILacCur216521_0003	1731	2948	-	1218		Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	gene	68889037	VBILacCur216521_0003	1731	2948	-	1218		
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	CDS	68889040	VBILacCur216521_0004	2932	3759	-	828		Glutamate racemase (EC 5.1.1.3)
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	gene	68889039	VBILacCur216521_0004	2932	3759	-	828		
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	gene	68889041	VBILacCur216521_0005	3948	4349	+	402		
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	CDS	68889042	VBILacCur216521_0005	3948	4349	+	402		FIG00742253: hypothetical protein
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	gene	68889043	VBILacCur216521_0006	4484	4684	+	201		
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	CDS	68889044	VBILacCur216521_0006	4484	4684	+	201		hypothetical protein
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	CDS	68889046	VBILacCur216521_0007	4798	6066	-	1269		Poly(glycerophosphate chain) D-alanine transfer protein DltD
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	gene	68889045	VBILacCur216521_0007	4798	6066	-	1269		
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	gene	68889047	VBILacCur216521_0008	6068	6304	-	237		
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	CDS	68889048	VBILacCur216521_0008	6068	6304	-	237		D-alanine--poly(phosphoribitol) ligase subunit 2 (EC 6.1.1.13)
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	CDS	68889050	VBILacCur216521_0009	6334	7542	-	1209		D-alanyl transfer protein DltB
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	gene	68889049	VBILacCur216521_0009	6334	7542	-	1209		
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	gene	68889051	VBILacCur216521_0010	7535	9061	-	1527		
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	CDS	68889052	VBILacCur216521_0010	7535	9061	-	1527		D-alanine--poly(phosphoribitol) ligase subunit 1 (EC 6.1.1.13)
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	gene	68889053	VBILacCur216521_0011	9379	9690	-	312		
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	CDS	68889054	VBILacCur216521_0011	9379	9690	-	312		Thioredoxin
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	gene	68889055	VBILacCur216521_0012	9992	12355	-	2364		
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	CDS	68889056	VBILacCur216521_0012	9992	12355	-	2364		Recombination inhibitory protein MutS2
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	CDS	68889058	VBILacCur216521_0013	12416	12955	-	540		Colicin V production protein
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	gene	68889057	VBILacCur216521_0013	12416	12955	-	540		
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	CDS	68889060	VBILacCur216521_0014	13493	14416	+	924		Ribonuclease HIII (EC 3.1.26.4)
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	gene	68889059	VBILacCur216521_0014	13493	14416	+	924		
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	CDS	68889062	VBILacCur216521_0015	14974	15285	-	312		Ortholog of S. aureus MRSA252 (BX571856) SAR1694
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	gene	68889061	VBILacCur216521_0015	14974	15285	-	312		
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	gene	68889063	VBILacCur216521_0016	15315	15752	-	438		
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	CDS	68889064	VBILacCur216521_0016	15315	15752	-	438		Putative Holliday junction resolvase (EC 3.1.-.-)
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	CDS	68889066	VBILacCur216521_0017	15752	16012	-	261		Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	gene	68889065	VBILacCur216521_0017	15752	16012	-	261		
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	CDS	68889068	VBILacCur216521_0018	16209	18854	-	2646		Alanyl-tRNA synthetase (EC 6.1.1.7)
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	gene	68889067	VBILacCur216521_0018	16209	18854	-	2646		
Lactobacillus curvatus CRL 705	AGBU01000001	PATRIC	gene	68889069	VBILacCur216521_0019	19102	20091	-	990		
