GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus rhamnosus ATCC 8530	CP003094	PATRIC	source	61220216		1	2960339	+	2960339		
Lactobacillus rhamnosus ATCC 8530	CP003094	PATRIC	CDS	61220218	VBILacRha212963_0001	164	1513	+	1350		Chromosomal replication initiator protein DnaA
Lactobacillus rhamnosus ATCC 8530	CP003094	PATRIC	gene	61220217	VBILacRha212963_0001	164	1513	+	1350		
Lactobacillus rhamnosus ATCC 8530	CP003094	PATRIC	gene	61220219	VBILacRha212963_pg001	1521	2826	+	1306		
Lactobacillus rhamnosus ATCC 8530	CP003094	PATRIC	gene	61220220	VBILacRha212963_0002	1687	2826	+	1140		
Lactobacillus rhamnosus ATCC 8530	CP003094	PATRIC	CDS	61220221	VBILacRha212963_0002	1687	2826	+	1140		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus rhamnosus ATCC 8530	CP003094	PATRIC	gene	61220222	VBILacRha212963_0003	2935	3117	-	183		
Lactobacillus rhamnosus ATCC 8530	CP003094	PATRIC	CDS	61220223	VBILacRha212963_0003	2935	3117	-	183		putative membrane protein
Lactobacillus rhamnosus ATCC 8530	CP003094	PATRIC	CDS	61220225	VBILacRha212963_0004	3692	3904	+	213		S4 domain-containing protein YaaA
Lactobacillus rhamnosus ATCC 8530	CP003094	PATRIC	gene	61220224	VBILacRha212963_0004	3692	3904	+	213		
Lactobacillus rhamnosus ATCC 8530	CP003094	PATRIC	CDS	61220227	VBILacRha212963_0005	3901	5019	+	1119		DNA recombination and repair protein RecF
Lactobacillus rhamnosus ATCC 8530	CP003094	PATRIC	gene	61220226	VBILacRha212963_0005	3901	5019	+	1119		
Lactobacillus rhamnosus ATCC 8530	CP003094	PATRIC	gene	61220228	VBILacRha212963_0006	5051	7012	+	1962		
Lactobacillus rhamnosus ATCC 8530	CP003094	PATRIC	CDS	61220229	VBILacRha212963_0006	5051	7012	+	1962		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus rhamnosus ATCC 8530	CP003094	PATRIC	gene	61220230	VBILacRha212963_0007	7075	9687	+	2613		
Lactobacillus rhamnosus ATCC 8530	CP003094	PATRIC	CDS	61220231	VBILacRha212963_0007	7075	9687	+	2613		DNA gyrase subunit A (EC 5.99.1.3)
