GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus reuteri DSM 20016	NC_009513	PATRIC	source	22253048		1	1999618	+	1999618		
Lactobacillus reuteri DSM 20016	NC_009513	PATRIC	CDS	22253050	VBILacReu87937_0001	381	1703	+	1323		Chromosomal replication initiator protein DnaA
Lactobacillus reuteri DSM 20016	NC_009513	PATRIC	gene	22253049	VBILacReu87937_0001	381	1703	+	1323		
Lactobacillus reuteri DSM 20016	NC_009513	PATRIC	gene	22253051	VBILacReu87937_0002	1879	3021	+	1143		
Lactobacillus reuteri DSM 20016	NC_009513	PATRIC	CDS	22253052	VBILacReu87937_0002	1879	3021	+	1143		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus reuteri DSM 20016	NC_009513	PATRIC	gene	22253053	VBILacReu87937_0003	3268	3489	+	222		
Lactobacillus reuteri DSM 20016	NC_009513	PATRIC	CDS	22253054	VBILacReu87937_0003	3268	3489	+	222		FIG002958: hypothetical protein
Lactobacillus reuteri DSM 20016	NC_009513	PATRIC	gene	22253055	VBILacReu87937_0004	3498	4622	+	1125		
Lactobacillus reuteri DSM 20016	NC_009513	PATRIC	CDS	22253056	VBILacReu87937_0004	3498	4622	+	1125		DNA recombination and repair protein RecF
Lactobacillus reuteri DSM 20016	NC_009513	PATRIC	gene	22253057	VBILacReu87937_0005	4619	6568	+	1950		
Lactobacillus reuteri DSM 20016	NC_009513	PATRIC	CDS	22253058	VBILacReu87937_0005	4619	6568	+	1950		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus reuteri DSM 20016	NC_009513	PATRIC	CDS	22253060	VBILacReu87937_0006	6611	9115	+	2505		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus reuteri DSM 20016	NC_009513	PATRIC	gene	22253059	VBILacReu87937_0006	6611	9115	+	2505		
Lactobacillus reuteri DSM 20016	NC_009513	PATRIC	CDS	22253062	VBILacReu87937_0007	9318	9614	+	297		SSU ribosomal protein S6p
Lactobacillus reuteri DSM 20016	NC_009513	PATRIC	gene	22253061	VBILacReu87937_0007	9318	9614	+	297		
Lactobacillus reuteri DSM 20016	NC_009513	PATRIC	gene	22253063	VBILacReu87937_0008	9652	10215	+	564		
Lactobacillus reuteri DSM 20016	NC_009513	PATRIC	CDS	22253064	VBILacReu87937_0008	9652	10215	+	564		Single-stranded DNA-binding protein
Lactobacillus reuteri DSM 20016	NC_009513	PATRIC	CDS	22253066	VBILacReu87937_0009	10249	10485	+	237		SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
Lactobacillus reuteri DSM 20016	NC_009513	PATRIC	gene	22253065	VBILacReu87937_0009	10249	10485	+	237		
