GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus reuteri ATCC 53608	CACS02000001	PATRIC	source	55673155		1	317	+	317		
Lactobacillus reuteri ATCC 53608	CACS02000002	PATRIC	source	55673156		1	266	+	266		
Lactobacillus reuteri ATCC 53608	CACS02000003	PATRIC	source	55673157		1	9930	+	9930		
Lactobacillus reuteri ATCC 53608	CACS02000003	PATRIC	CDS	55673159	VBILacReu175275_0001	233	394	+	162		hypothetical protein
Lactobacillus reuteri ATCC 53608	CACS02000003	PATRIC	gene	55673158	VBILacReu175275_0001	233	394	+	162		
Lactobacillus reuteri ATCC 53608	CACS02000003	PATRIC	CDS	55673161	VBILacReu175275_0002	449	1090	-	642		Acid phosphatase
Lactobacillus reuteri ATCC 53608	CACS02000003	PATRIC	gene	55673160	VBILacReu175275_0002	449	1090	-	642		
Lactobacillus reuteri ATCC 53608	CACS02000003	PATRIC	CDS	55673163	VBILacReu175275_0003	1233	3539	+	2307		Alpha-glucosidase (EC 3.2.1.20)
Lactobacillus reuteri ATCC 53608	CACS02000003	PATRIC	gene	55673162	VBILacReu175275_0003	1233	3539	+	2307		
Lactobacillus reuteri ATCC 53608	CACS02000003	PATRIC	CDS	55673165	VBILacReu175275_0004	3697	4956	+	1260		Chloride channel protein
Lactobacillus reuteri ATCC 53608	CACS02000003	PATRIC	gene	55673164	VBILacReu175275_0004	3697	4956	+	1260		
Lactobacillus reuteri ATCC 53608	CACS02000003	PATRIC	gene	55673166	VBILacReu175275_0005	5141	5788	-	648		
Lactobacillus reuteri ATCC 53608	CACS02000003	PATRIC	CDS	55673167	VBILacReu175275_0005	5141	5788	-	648		Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)
Lactobacillus reuteri ATCC 53608	CACS02000003	PATRIC	gene	55673168	VBILacReu175275_0006	5785	6603	-	819		
Lactobacillus reuteri ATCC 53608	CACS02000003	PATRIC	CDS	55673169	VBILacReu175275_0006	5785	6603	-	819		Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7)
Lactobacillus reuteri ATCC 53608	CACS02000003	PATRIC	CDS	55673171	VBILacReu175275_0007	6615	7406	-	792		Hydroxyethylthiazole kinase (EC 2.7.1.50)
Lactobacillus reuteri ATCC 53608	CACS02000003	PATRIC	gene	55673170	VBILacReu175275_0007	6615	7406	-	792		
Lactobacillus reuteri ATCC 53608	CACS02000003	PATRIC	gene	55673172	VBILacReu175275_0008	7686	7991	+	306		
Lactobacillus reuteri ATCC 53608	CACS02000003	PATRIC	CDS	55673173	VBILacReu175275_0008	7686	7991	+	306		FIG00746897: hypothetical protein
Lactobacillus reuteri ATCC 53608	CACS02000003	PATRIC	CDS	55673175	VBILacReu175275_0009	7992	9893	+	1902		FIG00748120: hypothetical protein
Lactobacillus reuteri ATCC 53608	CACS02000003	PATRIC	gene	55673174	VBILacReu175275_0009	7992	9893	+	1902		
Lactobacillus reuteri ATCC 53608	CACS02000004	PATRIC	source	55673176		1	2126	+	2126		
Lactobacillus reuteri ATCC 53608	CACS02000004	PATRIC	CDS	55673178	VBILacReu175275_0010	613	1050	-	438		FIG00749986: hypothetical protein
Lactobacillus reuteri ATCC 53608	CACS02000004	PATRIC	gene	55673177	VBILacReu175275_0010	613	1050	-	438		
Lactobacillus reuteri ATCC 53608	CACS02000004	PATRIC	gene	55673179	VBILacReu175275_0011	1066	2025	-	960		
Lactobacillus reuteri ATCC 53608	CACS02000004	PATRIC	CDS	55673180	VBILacReu175275_0011	1066	2025	-	960		FIG00751533: hypothetical protein
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	source	55673181		1	49232	+	49232		
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	gene	55673182	VBILacReu175275_0012	19	1038	+	1020		
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	CDS	55673183	VBILacReu175275_0012	19	1038	+	1020		Periplasmic binding protein
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	CDS	55673185	VBILacReu175275_0013	1098	1874	-	777		iron chelatin ABC transporter, ATP-binding protein
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	gene	55673184	VBILacReu175275_0013	1098	1874	-	777		
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	CDS	55673187	VBILacReu175275_0014	1871	2647	-	777		iron chelatin ABC transporter, permease protein
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	gene	55673186	VBILacReu175275_0014	1871	2647	-	777		
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	CDS	55673189	VBILacReu175275_0015	2859	3308	-	450		Flavodoxin/nitric oxide synthase
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	gene	55673188	VBILacReu175275_0015	2859	3308	-	450		
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	CDS	55673191	VBILacReu175275_0016	3439	3840	+	402		Molybdenum cofactor biosynthesis protein MoaE
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	gene	55673190	VBILacReu175275_0016	3439	3840	+	402		
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	gene	55673192	VBILacReu175275_0017	3840	4085	+	246		
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	CDS	55673193	VBILacReu175275_0017	3840	4085	+	246		molybdenum cofactor biosynthesis protein D
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	CDS	55673195	VBILacReu175275_0018	4132	5325	+	1194		Nitrate/nitrite transporter
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	gene	55673194	VBILacReu175275_0018	4132	5325	+	1194		
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	gene	55673196	VBILacReu175275_pg001	5362	6291	-	930		
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	CDS	55673198	VBILacReu175275_0019	5386	6291	-	906		FIG00742465: hypothetical protein
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	gene	55673197	VBILacReu175275_0019	5386	6291	-	906		
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	gene	55673199	VBILacReu175275_0020	6296	7264	-	969		
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	CDS	55673200	VBILacReu175275_0020	6296	7264	-	969		FIG00747023: hypothetical protein
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	CDS	55673202	VBILacReu175275_0021	7270	7542	-	273		conserved hypothetical protein
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	gene	55673201	VBILacReu175275_0021	7270	7542	-	273		
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	CDS	55673204	VBILacReu175275_0022	7638	8291	-	654		response regulator
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	gene	55673203	VBILacReu175275_0022	7638	8291	-	654		
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	CDS	55673206	VBILacReu175275_0023	8284	9339	-	1056		Sensor protein DegS
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	gene	55673205	VBILacReu175275_0023	8284	9339	-	1056		
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	gene	55673207	VBILacReu175275_0024	9490	9774	-	285		
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	CDS	55673208	VBILacReu175275_0024	9490	9774	-	285		conserved hypothetical protein
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	CDS	55673210	VBILacReu175275_0025	9764	10336	-	573		Molybdopterin-guanine dinucleotide biosynthesis protein MobA
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	gene	55673209	VBILacReu175275_0025	9764	10336	-	573		
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	CDS	55673212	VBILacReu175275_0026	10336	10824	-	489		Molybdopterin-guanine dinucleotide biosynthesis protein MobB
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	gene	55673211	VBILacReu175275_0026	10336	10824	-	489		
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	gene	55673213	VBILacReu175275_0027	10803	12020	-	1218		
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	CDS	55673214	VBILacReu175275_0027	10803	12020	-	1218		Molybdopterin biosynthesis protein MoeA
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	CDS	55673216	VBILacReu175275_0028	12010	12507	-	498		Molybdenum cofactor biosynthesis protein MoaB
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	gene	55673215	VBILacReu175275_0028	12010	12507	-	498		
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	CDS	55673218	VBILacReu175275_0029	12504	13523	-	1020		Molybdopterin biosynthesis protein MoeB
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	gene	55673217	VBILacReu175275_0029	12504	13523	-	1020		
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	CDS	55673220	VBILacReu175275_0030	13669	17334	+	3666		Respiratory nitrate reductase alpha chain (EC 1.7.99.4)
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	gene	55673219	VBILacReu175275_0030	13669	17334	+	3666		
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	gene	55673221	VBILacReu175275_0031	17438	18883	+	1446		
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	CDS	55673222	VBILacReu175275_0031	17438	18883	+	1446		Respiratory nitrate reductase beta chain (EC 1.7.99.4)
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	CDS	55673224	VBILacReu175275_0032	18876	19454	+	579		Respiratory nitrate reductase delta chain (EC 1.7.99.4)
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	gene	55673223	VBILacReu175275_0032	18876	19454	+	579		
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	CDS	55673226	VBILacReu175275_0033	19447	20136	+	690		Respiratory nitrate reductase gamma chain (EC 1.7.99.4)
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	gene	55673225	VBILacReu175275_0033	19447	20136	+	690		
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	CDS	55673228	VBILacReu175275_0034	20252	21499	-	1248		Mobile element protein
Lactobacillus reuteri ATCC 53608	CACS02000005	PATRIC	gene	55673227	VBILacReu175275_0034	20252	21499	-	1248		
