GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus crispatus JV-V01	NZ_GG669814	PATRIC	source	30709301		1	187027	+	187027		
Lactobacillus crispatus JV-V01	NZ_GG669814	PATRIC	gene	30709302	VBILacCri16252_0001	97	732	+	636		
Lactobacillus crispatus JV-V01	NZ_GG669814	PATRIC	CDS	30709303	VBILacCri16252_0001	97	732	+	636		Aggregation promoting factor
Lactobacillus crispatus JV-V01	NZ_GG669814	PATRIC	CDS	30709305	VBILacCri16252_0002	756	1412	+	657		Uncharacterized protein in hlv 5'region (ORF1) (Fragment)
Lactobacillus crispatus JV-V01	NZ_GG669814	PATRIC	gene	30709304	VBILacCri16252_0002	756	1412	+	657		
Lactobacillus crispatus JV-V01	NZ_GG669814	PATRIC	gene	30709306	VBILacCri16252_0003	1492	2223	+	732		
Lactobacillus crispatus JV-V01	NZ_GG669814	PATRIC	CDS	30709307	VBILacCri16252_0003	1492	2223	+	732		FIG00746459: hypothetical protein
Lactobacillus crispatus JV-V01	NZ_GG669814	PATRIC	gene	30709308	VBILacCri16252_0076	3683	3898	+	216		
Lactobacillus crispatus JV-V01	NZ_GG669814	PATRIC	CDS	30709309	VBILacCri16252_0076	3683	3898	+	216		Uncharacterized protein in hlv 5'region (ORF1) (Fragment)
Lactobacillus crispatus JV-V01	NZ_GG669814	PATRIC	CDS	30709311	VBILacCri16252_0077	4283	4585	+	303		major facilitator superfamily MFS_1
Lactobacillus crispatus JV-V01	NZ_GG669814	PATRIC	gene	30709310	VBILacCri16252_0077	4283	4585	+	303		
Lactobacillus crispatus JV-V01	NZ_GG669814	PATRIC	gene	30709312	VBILacCri16252_0078	4706	6037	+	1332		
Lactobacillus crispatus JV-V01	NZ_GG669814	PATRIC	CDS	30709313	VBILacCri16252_0078	4706	6037	+	1332		Mobile element protein
Lactobacillus crispatus JV-V01	NZ_GG669814	PATRIC	CDS	30709315	VBILacCri16252_0079	6229	6930	+	702		major facilitator superfamily MFS_1
Lactobacillus crispatus JV-V01	NZ_GG669814	PATRIC	gene	30709314	VBILacCri16252_0079	6229	6930	+	702		
Lactobacillus crispatus JV-V01	NZ_GG669814	PATRIC	gene	30709316	VBILacCri16252_0113	10663	11772	+	1110		
Lactobacillus crispatus JV-V01	NZ_GG669814	PATRIC	CDS	30709317	VBILacCri16252_0113	10663	11772	+	1110		FIG00744302: hypothetical protein
Lactobacillus crispatus JV-V01	NZ_GG669814	PATRIC	gene	30709318	VBILacCri16252_0114	11807	12916	-	1110		
