GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	source	61333048		1	1829111	+	1829111		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333049	VBIPedCla151045_0001	113	247	-	135		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333050	VBIPedCla151045_0001	113	247	-	135		ribosomal protein L34
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333051	VBIPedCla151045_0002	763	2094	+	1332		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333052	VBIPedCla151045_0002	763	2094	+	1332		Chromosomal replication initiator protein DnaA
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333053	VBIPedCla151045_0003	2275	3414	+	1140		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333054	VBIPedCla151045_0003	2275	3414	+	1140		DNA polymerase III beta subunit (EC 2.7.7.7)
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333055	VBIPedCla151045_0004	3740	3964	+	225		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333056	VBIPedCla151045_0004	3740	3964	+	225		S4 domain protein YaaA
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333058	VBIPedCla151045_0005	3968	5092	+	1125		DNA recombination and repair protein RecF
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333057	VBIPedCla151045_0005	3968	5092	+	1125		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333060	VBIPedCla151045_0006	5096	7039	+	1944		DNA gyrase subunit B (EC 5.99.1.3)
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333059	VBIPedCla151045_0006	5096	7039	+	1944		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333061	VBIPedCla151045_0007	7083	9578	+	2496		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333062	VBIPedCla151045_0007	7083	9578	+	2496		DNA gyrase subunit A (EC 5.99.1.3)
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333064	VBIPedCla151045_0008	9757	10047	+	291		ribosomal protein S6
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333063	VBIPedCla151045_0008	9757	10047	+	291		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333065	VBIPedCla151045_0009	10097	10618	+	522		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333066	VBIPedCla151045_0009	10097	10618	+	522		Single-stranded DNA-binding protein
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333067	VBIPedCla151045_0010	10638	10874	+	237		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333068	VBIPedCla151045_0010	10638	10874	+	237		ribosomal protein S18
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333069	VBIPedCla151045_0011	11068	13071	+	2004		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333070	VBIPedCla151045_0011	11068	13071	+	2004		Phosphoesterase, DHH family protein
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333072	VBIPedCla151045_0012	13078	13530	+	453		LSU ribosomal protein L9p
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333071	VBIPedCla151045_0012	13078	13530	+	453		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333074	VBIPedCla151045_0013	13554	14951	+	1398		Replicative DNA helicase (EC 3.6.1.-) [SA14-24]
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333073	VBIPedCla151045_0013	13554	14951	+	1398		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333075	VBIPedCla151045_0014	15025	16233	+	1209		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333076	VBIPedCla151045_0014	15025	16233	+	1209		permease of the major facilitator superfamily
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333077	VBIPedCla151045_0015	16372	16944	+	573		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333078	VBIPedCla151045_0015	16372	16944	+	573		nlpC/P60 family protein
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333080	VBIPedCla151045_0016	17019	17387	-	369		hypothetical protein
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333079	VBIPedCla151045_0016	17019	17387	-	369		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333082	VBIPedCla151045_0017	17684	18304	+	621		uracil DNA glycosylase superfamily protein
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333081	VBIPedCla151045_0017	17684	18304	+	621		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333084	VBIPedCla151045_0018	18682	20169	+	1488		ABC transporter family protein
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333083	VBIPedCla151045_0018	18682	20169	+	1488		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333087	VBIPedCla151045_0019	20257	20850	+	594		EAL domain (signal transduction regulation) protein
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333086	VBIPedCla151045_0019	20257	20850	+	594		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333085	VBIPedCla151045_pg001	20257	20940	+	684		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333088	VBIPedCla151045_0020	20956	22314	+	1359		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333089	VBIPedCla151045_0020	20956	22314	+	1359		NADH oxidase
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333090	VBIPedCla151045_0021	22327	23469	+	1143		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333091	VBIPedCla151045_0021	22327	23469	+	1143		diguanylate cyclase domain protein
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333092	VBIPedCla151045_0022	23760	24347	-	588		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333093	VBIPedCla151045_0022	23760	24347	-	588		Hypothetical protein VC0266 (sugar utilization related?)
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333095	VBIPedCla151045_0023	24437	25333	+	897		ABC transporter, ATP-binding protein
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333094	VBIPedCla151045_0023	24437	25333	+	897		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333096	VBIPedCla151045_0024	25326	26558	+	1233		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333097	VBIPedCla151045_0024	25326	26558	+	1233		ABC-2 transporter family protein
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333099	VBIPedCla151045_0025	26635	28029	+	1395		Glycolate dehydrogenase (EC 1.1.99.14), subunit GlcD
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333098	VBIPedCla151045_0025	26635	28029	+	1395		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333101	VBIPedCla151045_0026	28305	29633	-	1329		hypothetical protein
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333100	VBIPedCla151045_0026	28305	29633	-	1329		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333103	VBIPedCla151045_0027	29777	29926	+	150		hypothetical protein
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333102	VBIPedCla151045_0027	29777	29926	+	150		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333104	VBIPedCla151045_0028	29995	30663	-	669		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333105	VBIPedCla151045_0028	29995	30663	-	669		hypothetical protein
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333107	VBIPedCla151045_0029	30676	33537	-	2862		DNA/RNA helicase of DEAD/DEAH box family
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333106	VBIPedCla151045_0029	30676	33537	-	2862		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333109	VBIPedCla151045_0030	33586	34266	-	681		metallo-beta-lactamase superfamily protein
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333108	VBIPedCla151045_0030	33586	34266	-	681		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333110	VBIPedCla151045_0031	34485	34880	+	396		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333111	VBIPedCla151045_0031	34485	34880	+	396		PTS system fructose IIA component family protein
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333113	VBIPedCla151045_0032	34893	36920	+	2028		FIG00906372: hypothetical protein
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333112	VBIPedCla151045_0032	34893	36920	+	2028		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333114	VBIPedCla151045_0033	36926	37420	+	495		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333115	VBIPedCla151045_0033	36926	37420	+	495		PTS system sorbose subIIB component family protein
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333117	VBIPedCla151045_0034	37436	38356	+	921		PTS system, sorbose-specific IIC component family
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333116	VBIPedCla151045_0034	37436	38356	+	921		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333119	VBIPedCla151045_0035	38340	39164	+	825		PTS system, mannose-specific IID component (EC 2.7.1.69)
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333118	VBIPedCla151045_0035	38340	39164	+	825		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333120	VBIPedCla151045_pg002	39238	39974	+	737		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333122	VBIPedCla151045_0036	39238	39519	+	282		hypothetical protein
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333121	VBIPedCla151045_0036	39238	39519	+	282		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333124	VBIPedCla151045_0037	39516	39974	+	459		hypothetical protein
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333123	VBIPedCla151045_0037	39516	39974	+	459		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333126	VBIPedCla151045_0038	40005	41177	+	1173		Galactosamine-6-phosphate isomerase (EC 5.3.1.-)
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333125	VBIPedCla151045_0038	40005	41177	+	1173		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333127	VBIPedCla151045_0039	41189	42334	+	1146		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333128	VBIPedCla151045_0039	41189	42334	+	1146		N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333130	VBIPedCla151045_0040	42472	43032	+	561		HAD hydrolase, IA, variant 3 family protein
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333129	VBIPedCla151045_0040	42472	43032	+	561		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333131	VBIPedCla151045_0041	43168	44169	+	1002		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333132	VBIPedCla151045_0041	43168	44169	+	1002		tagatose 1,6-diphosphate aldolase
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333133	VBIPedCla151045_r001	44300	44372	-	73		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	tRNA	61333134	VBIPedCla151045_r001	44300	44372	-	73		tRNA-Ala-CGC
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333135	VBIPedCla151045_0042	44473	45429	+	957		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333136	VBIPedCla151045_0042	44473	45429	+	957		hypothetical protein
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333138	VBIPedCla151045_0043	45437	46360	+	924		diacylglycerol kinase family protein
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333137	VBIPedCla151045_0043	45437	46360	+	924		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333139	VBIPedCla151045_0044	46451	47170	+	720		
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	CDS	61333140	VBIPedCla151045_0044	46451	47170	+	720		hypothetical protein
Pediococcus claussenii ATCC BAA-344	CP003137	PATRIC	gene	61333141	VBIPedCla151045_0045	47431	47952	+	522		
