GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus vini JP7.8.9	AHZA01000001	PATRIC	source	73878844		1	368	+	368		
Lactobacillus vini JP7.8.9	AHZA01000001	PATRIC	CDS	73878846	VBILacVin227244_0001	125	316	+	192		integral membrane protein
Lactobacillus vini JP7.8.9	AHZA01000001	PATRIC	gene	73878845	VBILacVin227244_0001	125	316	+	192		
Lactobacillus vini JP7.8.9	AHZA01000002	PATRIC	source	73878847		1	299	+	299		
Lactobacillus vini JP7.8.9	AHZA01000002	PATRIC	CDS	73878849	VBILacVin227244_0002	88	261	+	174		hypothetical protein
Lactobacillus vini JP7.8.9	AHZA01000002	PATRIC	gene	73878848	VBILacVin227244_0002	88	261	+	174		
Lactobacillus vini JP7.8.9	AHZA01000003	PATRIC	source	73878850		1	309	+	309		
Lactobacillus vini JP7.8.9	AHZA01000003	PATRIC	gene	73878851	VBILacVin227244_0003	15	143	-	129		
Lactobacillus vini JP7.8.9	AHZA01000003	PATRIC	CDS	73878852	VBILacVin227244_0003	15	143	-	129		Substrate-specific component MtsA of methionine-regulated ECF transporter
Lactobacillus vini JP7.8.9	AHZA01000004	PATRIC	source	73878853		1	355	+	355		
Lactobacillus vini JP7.8.9	AHZA01000004	PATRIC	gene	73878854	VBILacVin227244_0004	15	143	-	129		
Lactobacillus vini JP7.8.9	AHZA01000004	PATRIC	CDS	73878855	VBILacVin227244_0004	15	143	-	129		Substrate-specific component MtsA of methionine-regulated ECF transporter
Lactobacillus vini JP7.8.9	AHZA01000005	PATRIC	source	73878856		1	325	+	325		
Lactobacillus vini JP7.8.9	AHZA01000006	PATRIC	source	73878857		1	323	+	323		
Lactobacillus vini JP7.8.9	AHZA01000007	PATRIC	source	73878858		1	212	+	212		
Lactobacillus vini JP7.8.9	AHZA01000007	PATRIC	CDS	73878860	VBILacVin227244_0005	10	189	+	180		ABC transporter (ATP-binding protein)
Lactobacillus vini JP7.8.9	AHZA01000007	PATRIC	gene	73878859	VBILacVin227244_0005	10	189	+	180		
Lactobacillus vini JP7.8.9	AHZA01000008	PATRIC	source	73878861		1	480	+	480		
Lactobacillus vini JP7.8.9	AHZA01000009	PATRIC	source	73878862		1	438	+	438		
Lactobacillus vini JP7.8.9	AHZA01000010	PATRIC	source	73878863		1	344	+	344		
Lactobacillus vini JP7.8.9	AHZA01000011	PATRIC	source	73878864		1	368	+	368		
Lactobacillus vini JP7.8.9	AHZA01000011	PATRIC	gene	73878865	VBILacVin227244_0006	30	365	+	336		
Lactobacillus vini JP7.8.9	AHZA01000011	PATRIC	CDS	73878866	VBILacVin227244_0006	30	365	+	336		Methionine ABC transporter substrate-binding protein
Lactobacillus vini JP7.8.9	AHZA01000012	PATRIC	source	73878867		1	227	+	227		
Lactobacillus vini JP7.8.9	AHZA01000013	PATRIC	source	73878868		1	428	+	428		
Lactobacillus vini JP7.8.9	AHZA01000014	PATRIC	source	73878869		1	321	+	321		
Lactobacillus vini JP7.8.9	AHZA01000015	PATRIC	source	73878870		1	274	+	274		
Lactobacillus vini JP7.8.9	AHZA01000015	PATRIC	CDS	73878872	VBILacVin227244_0007	22	267	-	246		Predicted transcriptional regulator
Lactobacillus vini JP7.8.9	AHZA01000015	PATRIC	gene	73878871	VBILacVin227244_0007	22	267	-	246		
Lactobacillus vini JP7.8.9	AHZA01000016	PATRIC	source	73878873		1	443	+	443		
Lactobacillus vini JP7.8.9	AHZA01000017	PATRIC	source	73878874		1	223	+	223		
Lactobacillus vini JP7.8.9	AHZA01000018	PATRIC	source	73878875		1	259	+	259		
Lactobacillus vini JP7.8.9	AHZA01000018	PATRIC	gene	73878876	VBILacVin227244_0008	55	219	-	165		
Lactobacillus vini JP7.8.9	AHZA01000018	PATRIC	CDS	73878877	VBILacVin227244_0008	55	219	-	165		hypothetical protein
Lactobacillus vini JP7.8.9	AHZA01000019	PATRIC	source	73878878		1	348	+	348		
Lactobacillus vini JP7.8.9	AHZA01000019	PATRIC	gene	73878879	VBILacVin227244_0009	151	309	+	159		
Lactobacillus vini JP7.8.9	AHZA01000019	PATRIC	CDS	73878880	VBILacVin227244_0009	151	309	+	159		ABC transporter ATP binding and permease protein
Lactobacillus vini JP7.8.9	AHZA01000020	PATRIC	source	73878881		1	289	+	289		
Lactobacillus vini JP7.8.9	AHZA01000021	PATRIC	source	73878882		1	350	+	350		
Lactobacillus vini JP7.8.9	AHZA01000022	PATRIC	source	73878883		1	229	+	229		
Lactobacillus vini JP7.8.9	AHZA01000023	PATRIC	source	73878884		1	360	+	360		
Lactobacillus vini JP7.8.9	AHZA01000024	PATRIC	source	73878885		1	276	+	276		
Lactobacillus vini JP7.8.9	AHZA01000025	PATRIC	source	73878886		1	210	+	210		
Lactobacillus vini JP7.8.9	AHZA01000026	PATRIC	source	73878887		1	297	+	297		
Lactobacillus vini JP7.8.9	AHZA01000027	PATRIC	source	73878888		1	324	+	324		
Lactobacillus vini JP7.8.9	AHZA01000028	PATRIC	source	73878889		1	355	+	355		
Lactobacillus vini JP7.8.9	AHZA01000029	PATRIC	source	73878890		1	331	+	331		
Lactobacillus vini JP7.8.9	AHZA01000030	PATRIC	source	73878891		1	271	+	271		
Lactobacillus vini JP7.8.9	AHZA01000031	PATRIC	source	73878892		1	309	+	309		
Lactobacillus vini JP7.8.9	AHZA01000031	PATRIC	gene	73878893	VBILacVin227244_0010	17	175	+	159		
Lactobacillus vini JP7.8.9	AHZA01000031	PATRIC	CDS	73878894	VBILacVin227244_0010	17	175	+	159		Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-)
Lactobacillus vini JP7.8.9	AHZA01000032	PATRIC	source	73878895		1	383	+	383		
Lactobacillus vini JP7.8.9	AHZA01000033	PATRIC	source	73878896		1	263	+	263		
Lactobacillus vini JP7.8.9	AHZA01000034	PATRIC	source	73878897		1	377	+	377		
Lactobacillus vini JP7.8.9	AHZA01000035	PATRIC	source	73878898		1	405	+	405		
Lactobacillus vini JP7.8.9	AHZA01000035	PATRIC	gene	73878899	VBILacVin227244_0011	40	282	+	243		
Lactobacillus vini JP7.8.9	AHZA01000035	PATRIC	CDS	73878900	VBILacVin227244_0011	40	282	+	243		PTS system, beta-glucoside-specific IIB component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIC component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIA component (EC 2.7.1.69)
Lactobacillus vini JP7.8.9	AHZA01000036	PATRIC	source	73878901		1	291	+	291		
Lactobacillus vini JP7.8.9	AHZA01000037	PATRIC	source	73878902		1	307	+	307		
Lactobacillus vini JP7.8.9	AHZA01000037	PATRIC	gene	73878903	VBILacVin227244_0012	34	147	+	114		
Lactobacillus vini JP7.8.9	AHZA01000037	PATRIC	CDS	73878904	VBILacVin227244_0012	34	147	+	114		hypothetical protein
Lactobacillus vini JP7.8.9	AHZA01000038	PATRIC	source	73878905		1	290	+	290		
Lactobacillus vini JP7.8.9	AHZA01000039	PATRIC	source	73878906		1	286	+	286		
Lactobacillus vini JP7.8.9	AHZA01000039	PATRIC	CDS	73878908	VBILacVin227244_0013	7	153	+	147		hypothetical protein
Lactobacillus vini JP7.8.9	AHZA01000039	PATRIC	gene	73878907	VBILacVin227244_0013	7	153	+	147		
Lactobacillus vini JP7.8.9	AHZA01000040	PATRIC	source	73878909		1	277	+	277		
Lactobacillus vini JP7.8.9	AHZA01000040	PATRIC	gene	73878910	VBILacVin227244_0014	30	149	+	120		
Lactobacillus vini JP7.8.9	AHZA01000040	PATRIC	CDS	73878911	VBILacVin227244_0014	30	149	+	120		Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-)
Lactobacillus vini JP7.8.9	AHZA01000041	PATRIC	source	73878912		1	226	+	226		
Lactobacillus vini JP7.8.9	AHZA01000042	PATRIC	source	73878913		1	305	+	305		
Lactobacillus vini JP7.8.9	AHZA01000043	PATRIC	source	73878914		1	330	+	330		
Lactobacillus vini JP7.8.9	AHZA01000044	PATRIC	source	73878915		1	255	+	255		
Lactobacillus vini JP7.8.9	AHZA01000045	PATRIC	source	73878916		1	258	+	258		
Lactobacillus vini JP7.8.9	AHZA01000046	PATRIC	source	73878917		1	340	+	340		
