GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	source	22228138		1	1894360	+	1894360		
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	gene	22228139	VBILacGas62225_0001	132	1496	+	1365		
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	CDS	22228140	VBILacGas62225_0001	132	1496	+	1365		Chromosomal replication initiator protein DnaA
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	gene	22228141	VBILacGas62225_0002	1681	2811	+	1131		
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	CDS	22228142	VBILacGas62225_0002	1681	2811	+	1131		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	CDS	22228144	VBILacGas62225_0003	3089	3238	+	150		FIG002958: hypothetical protein
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	gene	22228143	VBILacGas62225_0003	3089	3238	+	150		
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	CDS	22228146	VBILacGas62225_0004	3242	4366	+	1125		DNA recombination and repair protein RecF
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	gene	22228145	VBILacGas62225_0004	3242	4366	+	1125		
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	CDS	22228148	VBILacGas62225_0005	4367	6334	+	1968		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	gene	22228147	VBILacGas62225_0005	4367	6334	+	1968		
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	gene	22228149	VBILacGas62225_0006	6345	8834	+	2490		
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	CDS	22228150	VBILacGas62225_0006	6345	8834	+	2490		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	gene	22228151	VBILacGas62225_0007	9021	9317	+	297		
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	CDS	22228152	VBILacGas62225_0007	9021	9317	+	297		SSU ribosomal protein S6p
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	CDS	22228154	VBILacGas62225_0008	9351	9869	+	519		Single-stranded DNA-binding protein
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	gene	22228153	VBILacGas62225_0008	9351	9869	+	519		
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	CDS	22228156	VBILacGas62225_0009	9894	10127	+	234		SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	gene	22228155	VBILacGas62225_0009	9894	10127	+	234		
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	CDS	22228159	VBILacGas62225_0010	10222	10908	+	687		Magnesium and cobalt transport protein CorA
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	gene	22228158	VBILacGas62225_0010	10222	10908	+	687		
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	gene	22228157	VBILacGas62225_pg001	10222	11139	+	918		
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	gene	22228160	VBILacGas62225_0011	10957	11139	+	183		
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	CDS	22228161	VBILacGas62225_0011	10957	11139	+	183		magnesium transporter, CorA family
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	gene	22228162	VBILacGas62225_0012	11245	13263	+	2019		
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	CDS	22228163	VBILacGas62225_0012	11245	13263	+	2019		Phosphoesterase, DHH family protein
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	gene	22228164	VBILacGas62225_0013	13275	13730	+	456		
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	CDS	22228165	VBILacGas62225_0013	13275	13730	+	456		LSU ribosomal protein L9p
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	gene	22228166	VBILacGas62225_0014	13733	15106	+	1374		
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	CDS	22228167	VBILacGas62225_0014	13733	15106	+	1374		Replicative DNA helicase (EC 3.6.1.-)
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	gene	22228168	VBILacGas62225_0015	15201	16085	+	885		
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	CDS	22228169	VBILacGas62225_0015	15201	16085	+	885		Transcriptional regulator/sugar kinase
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	gene	22228170	VBILacGas62225_0016	16159	16920	-	762		
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	CDS	22228171	VBILacGas62225_0016	16159	16920	-	762		Esterase/lipase
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	CDS	22228173	VBILacGas62225_0017	17430	19448	-	2019		FIG00743509: hypothetical protein
Lactobacillus gasseri ATCC 33323	NC_008530	PATRIC	gene	22228172	VBILacGas62225_0017	17430	19448	-	2019		
