GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	source	29212601		1	352293	+	352293		
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	CDS	29212603	VBILacSal82003_0001	40	621	+	582		LPXTG anchored putative adhesin
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	gene	29212602	VBILacSal82003_0001	40	621	+	582		
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	CDS	29212605	VBILacSal82003_0002	758	1357	-	600		Transposase
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	gene	29212604	VBILacSal82003_0002	758	1357	-	600		
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	gene	29212606	VBILacSal82003_0003	1984	3408	+	1425		
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	CDS	29212607	VBILacSal82003_0003	1984	3408	+	1425		similar to plasmid replication protein
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	gene	29212608	VBILacSal82003_0004	3480	3818	+	339		
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	CDS	29212609	VBILacSal82003_0004	3480	3818	+	339		hypothetical protein
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	CDS	29212611	VBILacSal82003_0005	4079	4264	+	186		hypothetical protein
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	gene	29212610	VBILacSal82003_0005	4079	4264	+	186		
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	CDS	29212613	VBILacSal82003_0006	4288	4479	+	192		hypothetical protein
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	gene	29212612	VBILacSal82003_0006	4288	4479	+	192		
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	gene	29212614	VBILacSal82003_0007	4508	5230	+	723		
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	CDS	29212615	VBILacSal82003_0007	4508	5230	+	723		hypothetical protein
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	gene	29212616	VBILacSal82003_0008	5470	6450	+	981		
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	CDS	29212617	VBILacSal82003_0008	5470	6450	+	981		hypothetical protein
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	gene	29212618	VBILacSal82003_0009	6474	6770	+	297		
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	CDS	29212619	VBILacSal82003_0009	6474	6770	+	297		hypothetical protein
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	gene	29212620	VBILacSal82003_0010	6795	7250	+	456		
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	CDS	29212621	VBILacSal82003_0010	6795	7250	+	456		hypothetical protein
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	gene	29212622	VBILacSal82003_0011	7417	7911	-	495		
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	CDS	29212623	VBILacSal82003_0011	7417	7911	-	495		hypothetical protein
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	CDS	29212625	VBILacSal82003_0012	7980	8267	+	288		hypothetical protein
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	gene	29212624	VBILacSal82003_0012	7980	8267	+	288		
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	CDS	29212627	VBILacSal82003_0013	8268	8459	+	192		hypothetical protein
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	gene	29212626	VBILacSal82003_0013	8268	8459	+	192		
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	CDS	29212629	VBILacSal82003_0014	8474	8752	+	279		hypothetical protein
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	gene	29212628	VBILacSal82003_0014	8474	8752	+	279		
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	gene	29212630	VBILacSal82003_0015	8896	9042	+	147		
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	CDS	29212631	VBILacSal82003_0015	8896	9042	+	147		hypothetical protein
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	CDS	29212633	VBILacSal82003_0016	9840	10553	+	714		hypothetical protein
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	gene	29212632	VBILacSal82003_0016	9840	10553	+	714		
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	CDS	29212635	VBILacSal82003_0017	10579	10845	+	267		hypothetical protein
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	gene	29212634	VBILacSal82003_0017	10579	10845	+	267		
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	CDS	29212637	VBILacSal82003_0018	10950	11213	+	264		DNA-damage-inducible protein J
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	gene	29212636	VBILacSal82003_0018	10950	11213	+	264		
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	CDS	29212639	VBILacSal82003_0019	11206	11331	+	126		hypothetical protein
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	gene	29212638	VBILacSal82003_0019	11206	11331	+	126		
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	gene	29212640	VBILacSal82003_0020	11328	11570	+	243		
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	CDS	29212641	VBILacSal82003_0020	11328	11570	+	243		hypothetical protein
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	gene	29212642	VBILacSal82003_0021	11840	12202	+	363		
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	CDS	29212643	VBILacSal82003_0021	11840	12202	+	363		hypothetical protein
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	gene	29212644	VBILacSal82003_0022	12220	12483	+	264		
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	CDS	29212645	VBILacSal82003_0022	12220	12483	+	264		hypothetical protein
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	CDS	29212647	VBILacSal82003_0023	12659	13549	+	891		hypothetical protein
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	gene	29212646	VBILacSal82003_0023	12659	13549	+	891		
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	CDS	29212649	VBILacSal82003_0024	13835	14380	+	546		hypothetical protein
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	gene	29212648	VBILacSal82003_0024	13835	14380	+	546		
Lactobacillus salivarius ATCC 11741	NZ_GG693221	PATRIC	CDS	29212651	VBILacSal82003_0025	14679	14966	+	288		hypothetical protein
