GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	source	37017938		1	206143	+	206143		
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	gene	37017939	VBILacReu40693_0001	2	1123	-	1122		
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	CDS	37017940	VBILacReu40693_0001	2	1123	-	1122		Glycerol dehydrogenase (EC 1.1.1.6)
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	CDS	37017942	VBILacReu40693_0002	1282	3411	-	2130		Lipoteichoic acid synthase LtaS Type IIb
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	gene	37017941	VBILacReu40693_0002	1282	3411	-	2130		
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	gene	37017943	VBILacReu40693_0003	3537	3800	-	264		
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	CDS	37017944	VBILacReu40693_0003	3537	3800	-	264		FIG00745585: hypothetical protein
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	CDS	37017946	VBILacReu40693_0004	3932	4585	+	654		Phosphoglycerate mutase family
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	gene	37017945	VBILacReu40693_0004	3932	4585	+	654		
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	CDS	37017948	VBILacReu40693_0005	4712	5449	+	738		transcriptional regulator, IclR family protein
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	gene	37017947	VBILacReu40693_0005	4712	5449	+	738		
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	gene	37017949	VBILacReu40693_0006	5546	5677	+	132		
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	CDS	37017950	VBILacReu40693_0006	5546	5677	+	132		hypothetical protein
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	gene	37017951	VBILacReu40693_0141	6320	6754	+	435		
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	CDS	37017952	VBILacReu40693_0141	6320	6754	+	435		3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	gene	37017953	VBILacReu40693_0142	7046	7873	+	828		
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	CDS	37017954	VBILacReu40693_0142	7046	7873	+	828		Arginine/ornithine antiporter ArcD
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	gene	37017955	VBILacReu40693_0143	7900	8508	+	609		
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	CDS	37017956	VBILacReu40693_0143	7900	8508	+	609		Arginine/ornithine antiporter ArcD
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	CDS	37017958	VBILacReu40693_0144	9024	10409	-	1386		Predicted tyrosine transporter, NhaC family
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	gene	37017957	VBILacReu40693_0144	9024	10409	-	1386		
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	gene	37017959	VBILacReu40693_0145	10721	12049	-	1329		
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	CDS	37017960	VBILacReu40693_0145	10721	12049	-	1329		Xanthine permease
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	CDS	37017962	VBILacReu40693_0146	12416	13849	+	1434		dipeptidase
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	gene	37017961	VBILacReu40693_0146	12416	13849	+	1434		
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	gene	37017963	VBILacReu40693_0147	13891	14808	-	918		
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	CDS	37017964	VBILacReu40693_0147	13891	14808	-	918		Magnesium and cobalt transport protein CorA
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	CDS	37017966	VBILacReu40693_0148	14955	15875	+	921		Similar to ribosomal large subunit pseudouridine synthase D, Bacillus subtilis YhcT type
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	gene	37017965	VBILacReu40693_0148	14955	15875	+	921		
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	gene	37017967	VBILacReu40693_0149	15894	16649	+	756		
Lactobacillus reuteri CF48-3A	NZ_GG693664	PATRIC	CDS	37017968	VBILacReu40693_0149	15894	16649	+	756		TerC-like integral membrane protein
