GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus acidophilus NCFM	NC_006814	PATRIC	source	22195048		1	1993560	+	1993560		
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	CDS	22195050	VBILacAci7974_0001	31	1398	+	1368		Chromosomal replication initiator protein DnaA
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	gene	22195049	VBILacAci7974_0001	31	1398	+	1368		
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	gene	22195051	VBILacAci7974_0002	1576	2706	+	1131		
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	CDS	22195052	VBILacAci7974_0002	1576	2706	+	1131		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	gene	22195053	VBILacAci7974_0003	2931	3155	+	225		
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	CDS	22195054	VBILacAci7974_0003	2931	3155	+	225		FIG002958: hypothetical protein
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	CDS	22195056	VBILacAci7974_0004	3155	4282	+	1128		DNA recombination and repair protein RecF
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	gene	22195055	VBILacAci7974_0004	3155	4282	+	1128		
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	gene	22195057	VBILacAci7974_0005	4283	6247	+	1965		
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	CDS	22195058	VBILacAci7974_0005	4283	6247	+	1965		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	CDS	22195060	VBILacAci7974_0006	6258	8732	+	2475		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	gene	22195059	VBILacAci7974_0006	6258	8732	+	2475		
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	CDS	22195062	VBILacAci7974_0007	8933	9229	+	297		SSU ribosomal protein S6p
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	gene	22195061	VBILacAci7974_0007	8933	9229	+	297		
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	CDS	22195064	VBILacAci7974_0008	9275	9793	+	519		Single-stranded DNA-binding protein
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	gene	22195063	VBILacAci7974_0008	9275	9793	+	519		
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	gene	22195065	VBILacAci7974_0009	9822	10058	+	237		
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	CDS	22195066	VBILacAci7974_0009	9822	10058	+	237		SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	gene	22195067	VBILacAci7974_0010	10237	12258	+	2022		
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	CDS	22195068	VBILacAci7974_0010	10237	12258	+	2022		Phosphoesterase, DHH family protein
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	gene	22195069	VBILacAci7974_0011	12271	12726	+	456		
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	CDS	22195070	VBILacAci7974_0011	12271	12726	+	456		LSU ribosomal protein L9p
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	gene	22195071	VBILacAci7974_0012	12752	14146	+	1395		
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	CDS	22195072	VBILacAci7974_0012	12752	14146	+	1395		Replicative DNA helicase (EC 3.6.1.-)
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	gene	22195073	VBILacAci7974_0013	14388	15329	+	942		
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	CDS	22195074	VBILacAci7974_0013	14388	15329	+	942		Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1)
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	CDS	22195076	VBILacAci7974_0014	15433	16362	+	930		DegV family protein
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	gene	22195075	VBILacAci7974_0014	15433	16362	+	930		
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	CDS	22195078	VBILacAci7974_0015	16387	17361	+	975		Fructokinase (EC 2.7.1.4)
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	gene	22195077	VBILacAci7974_0015	16387	17361	+	975		
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	gene	22195079	VBILacAci7974_0016	17507	17695	+	189		
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	CDS	22195080	VBILacAci7974_0016	17507	17695	+	189		FIG00742242: hypothetical protein
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	gene	22195081	VBILacAci7974_0017	17828	18007	+	180		
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	CDS	22195082	VBILacAci7974_0017	17828	18007	+	180		FIG00749073: hypothetical protein
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	gene	22195083	VBILacAci7974_0018	18057	19283	-	1227		
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	CDS	22195084	VBILacAci7974_0018	18057	19283	-	1227		FIG00743526: hypothetical protein
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	tRNA	22195086	VBILacAci7974_r001	19474	19546	+	73		tRNA-Thr-AGT
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	gene	22195085	VBILacAci7974_r001	19474	19546	+	73		
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	gene	22195087	VBILacAci7974_0019	19854	20474	+	621		
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	CDS	22195088	VBILacAci7974_0019	19854	20474	+	621		Cadmium resistance protein
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	gene	22195089	VBILacAci7974_0020	20491	20844	+	354		
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	CDS	22195090	VBILacAci7974_0020	20491	20844	+	354		Cadmium efflux system accessory protein
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	CDS	22195092	VBILacAci7974_0021	21324	22274	-	951		hypothetical protein
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	gene	22195091	VBILacAci7974_0021	21324	22274	-	951		
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	CDS	22195094	VBILacAci7974_0022	22722	23798	+	1077		FtsK/SpoIIIE family
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	gene	22195093	VBILacAci7974_0022	22722	23798	+	1077		
Lactobacillus acidophilus NCFM	NC_006814	PATRIC	CDS	22195096	VBILacAci7974_0023	23795	24325	+	531		hypothetical protein
