GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus fructivorans KCTC 3543	AEQY01000001	PATRIC	source	52964775		1	72034	+	72034		
Lactobacillus fructivorans KCTC 3543	AEQY01000001	PATRIC	CDS	52964777	VBILacFru180582_0001	14	514	-	501		Monooxygenase
Lactobacillus fructivorans KCTC 3543	AEQY01000001	PATRIC	gene	52964776	VBILacFru180582_0001	14	514	-	501		
Lactobacillus fructivorans KCTC 3543	AEQY01000001	PATRIC	gene	52964778	VBILacFru180582_0002	618	1358	+	741		
Lactobacillus fructivorans KCTC 3543	AEQY01000001	PATRIC	CDS	52964779	VBILacFru180582_0002	618	1358	+	741		Metal-dependent hydrolases of the beta-lactamase superfamily I; PhnP protein
Lactobacillus fructivorans KCTC 3543	AEQY01000001	PATRIC	CDS	52964781	VBILacFru180582_0003	1381	2085	+	705		Negative regulator of genetic competence MecA
Lactobacillus fructivorans KCTC 3543	AEQY01000001	PATRIC	gene	52964780	VBILacFru180582_0003	1381	2085	+	705		
Lactobacillus fructivorans KCTC 3543	AEQY01000001	PATRIC	gene	52964782	VBILacFru180582_0004	2136	3203	+	1068		
Lactobacillus fructivorans KCTC 3543	AEQY01000001	PATRIC	CDS	52964783	VBILacFru180582_0004	2136	3203	+	1068		Competence protein CoiA
Lactobacillus fructivorans KCTC 3543	AEQY01000001	PATRIC	CDS	52964785	VBILacFru180582_0005	3219	5021	+	1803		Oligoendopeptidase F
Lactobacillus fructivorans KCTC 3543	AEQY01000001	PATRIC	gene	52964784	VBILacFru180582_0005	3219	5021	+	1803		
Lactobacillus fructivorans KCTC 3543	AEQY01000001	PATRIC	CDS	52964787	VBILacFru180582_0006	5099	5908	+	810		oxidoreductase aldo-keto reductase family( EC:1.1.1.- )
Lactobacillus fructivorans KCTC 3543	AEQY01000001	PATRIC	gene	52964786	VBILacFru180582_0006	5099	5908	+	810		
Lactobacillus fructivorans KCTC 3543	AEQY01000001	PATRIC	CDS	52964789	VBILacFru180582_0007	5958	6542	-	585		hypothetical protein
Lactobacillus fructivorans KCTC 3543	AEQY01000001	PATRIC	gene	52964788	VBILacFru180582_0007	5958	6542	-	585		
Lactobacillus fructivorans KCTC 3543	AEQY01000001	PATRIC	CDS	52964791	VBILacFru180582_0008	6719	7339	+	621		GTP pyrophosphokinase (EC 2.7.6.5)
Lactobacillus fructivorans KCTC 3543	AEQY01000001	PATRIC	gene	52964790	VBILacFru180582_0008	6719	7339	+	621		
Lactobacillus fructivorans KCTC 3543	AEQY01000001	PATRIC	gene	52964792	VBILacFru180582_0009	7351	8163	+	813		
Lactobacillus fructivorans KCTC 3543	AEQY01000001	PATRIC	CDS	52964793	VBILacFru180582_0009	7351	8163	+	813		NAD kinase (EC 2.7.1.23)
