GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus delbrueckii subsp. bulgaricus PB2003/044-T3-4	NZ_AEAT01000001	PATRIC	source	41143098		1	27626	+	27626		
Lactobacillus delbrueckii subsp. bulgaricus PB2003/044-T3-4	NZ_AEAT01000001	PATRIC	CDS	41143100	VBILacDel160329_0001	191	2161	-	1971		DNA mismatch repair protein MutL
Lactobacillus delbrueckii subsp. bulgaricus PB2003/044-T3-4	NZ_AEAT01000001	PATRIC	gene	41143099	VBILacDel160329_0001	191	2161	-	1971		
Lactobacillus delbrueckii subsp. bulgaricus PB2003/044-T3-4	NZ_AEAT01000001	PATRIC	CDS	41143102	VBILacDel160329_0002	2161	4731	-	2571		DNA mismatch repair protein MutS
Lactobacillus delbrueckii subsp. bulgaricus PB2003/044-T3-4	NZ_AEAT01000001	PATRIC	gene	41143101	VBILacDel160329_0002	2161	4731	-	2571		
Lactobacillus delbrueckii subsp. bulgaricus PB2003/044-T3-4	NZ_AEAT01000001	PATRIC	gene	41143103	VBILacDel160329_0003	4870	6483	-	1614		
Lactobacillus delbrueckii subsp. bulgaricus PB2003/044-T3-4	NZ_AEAT01000001	PATRIC	CDS	41143104	VBILacDel160329_0003	4870	6483	-	1614		Heat shock protein 60 family chaperone GroEL
Lactobacillus delbrueckii subsp. bulgaricus PB2003/044-T3-4	NZ_AEAT01000001	PATRIC	gene	41143105	VBILacDel160329_0004	6506	6766	-	261		
Lactobacillus delbrueckii subsp. bulgaricus PB2003/044-T3-4	NZ_AEAT01000001	PATRIC	CDS	41143106	VBILacDel160329_0004	6506	6766	-	261		Heat shock protein 60 family co-chaperone GroES
Lactobacillus delbrueckii subsp. bulgaricus PB2003/044-T3-4	NZ_AEAT01000001	PATRIC	gene	41143107	VBILacDel160329_0005	6946	7632	-	687		
Lactobacillus delbrueckii subsp. bulgaricus PB2003/044-T3-4	NZ_AEAT01000001	PATRIC	CDS	41143108	VBILacDel160329_0005	6946	7632	-	687		Redox-sensitive transcriptional regulator (AT-rich DNA-binding protein)
Lactobacillus delbrueckii subsp. bulgaricus PB2003/044-T3-4	NZ_AEAT01000001	PATRIC	CDS	41143110	VBILacDel160329_0006	7925	9841	+	1917		ABC transporter ATP-binding protein uup
Lactobacillus delbrueckii subsp. bulgaricus PB2003/044-T3-4	NZ_AEAT01000001	PATRIC	gene	41143109	VBILacDel160329_0006	7925	9841	+	1917		
Lactobacillus delbrueckii subsp. bulgaricus PB2003/044-T3-4	NZ_AEAT01000001	PATRIC	CDS	41143112	VBILacDel160329_0007	9908	10948	-	1041		YgjD/Kae1/Qri7 family, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA
Lactobacillus delbrueckii subsp. bulgaricus PB2003/044-T3-4	NZ_AEAT01000001	PATRIC	gene	41143111	VBILacDel160329_0007	9908	10948	-	1041		
Lactobacillus delbrueckii subsp. bulgaricus PB2003/044-T3-4	NZ_AEAT01000001	PATRIC	gene	41143113	VBILacDel160329_0008	10951	11481	-	531		
