GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus iners LEAF 2053A-b	NZ_AEKH01000001	PATRIC	source	44981195		1	17307	+	17307		
Lactobacillus iners LEAF 2053A-b	NZ_AEKH01000001	PATRIC	CDS	44981197	VBILacIne174907_0001	286	1053	-	768		hypothetical protein
Lactobacillus iners LEAF 2053A-b	NZ_AEKH01000001	PATRIC	gene	44981196	VBILacIne174907_0001	286	1053	-	768		
Lactobacillus iners LEAF 2053A-b	NZ_AEKH01000001	PATRIC	gene	44981198	VBILacIne174907_0002	1080	1637	-	558		
Lactobacillus iners LEAF 2053A-b	NZ_AEKH01000001	PATRIC	CDS	44981199	VBILacIne174907_0002	1080	1637	-	558		hypothetical protein
Lactobacillus iners LEAF 2053A-b	NZ_AEKH01000001	PATRIC	gene	44981200	VBILacIne174907_0003	1984	2625	-	642		
Lactobacillus iners LEAF 2053A-b	NZ_AEKH01000001	PATRIC	CDS	44981201	VBILacIne174907_0003	1984	2625	-	642		FIG00744091: hypothetical protein
Lactobacillus iners LEAF 2053A-b	NZ_AEKH01000001	PATRIC	CDS	44981203	VBILacIne174907_0004	2930	3610	-	681		Sortase A, LPXTG specific
Lactobacillus iners LEAF 2053A-b	NZ_AEKH01000001	PATRIC	gene	44981202	VBILacIne174907_0004	2930	3610	-	681		
Lactobacillus iners LEAF 2053A-b	NZ_AEKH01000001	PATRIC	gene	44981204	VBILacIne174907_0005	3624	3812	-	189		
Lactobacillus iners LEAF 2053A-b	NZ_AEKH01000001	PATRIC	CDS	44981205	VBILacIne174907_0005	3624	3812	-	189		hypothetical protein
Lactobacillus iners LEAF 2053A-b	NZ_AEKH01000001	PATRIC	CDS	44981207	VBILacIne174907_0006	4011	4619	+	609		Aggregation promoting factor
Lactobacillus iners LEAF 2053A-b	NZ_AEKH01000001	PATRIC	gene	44981206	VBILacIne174907_0006	4011	4619	+	609		
Lactobacillus iners LEAF 2053A-b	NZ_AEKH01000001	PATRIC	gene	44981208	VBILacIne174907_0007	4693	5130	-	438		
Lactobacillus iners LEAF 2053A-b	NZ_AEKH01000001	PATRIC	CDS	44981209	VBILacIne174907_0007	4693	5130	-	438		hypothetical protein
Lactobacillus iners LEAF 2053A-b	NZ_AEKH01000001	PATRIC	gene	44981210	VBILacIne174907_0008	5377	6249	-	873		
Lactobacillus iners LEAF 2053A-b	NZ_AEKH01000001	PATRIC	CDS	44981211	VBILacIne174907_0008	5377	6249	-	873		unknown function
Lactobacillus iners LEAF 2053A-b	NZ_AEKH01000001	PATRIC	gene	44981212	VBILacIne174907_0009	6614	7333	-	720		
Lactobacillus iners LEAF 2053A-b	NZ_AEKH01000001	PATRIC	CDS	44981213	VBILacIne174907_0009	6614	7333	-	720		hypothetical protein
Lactobacillus iners LEAF 2053A-b	NZ_AEKH01000001	PATRIC	CDS	44981215	VBILacIne174907_0010	7343	11821	-	4479		hypothetical protein
Lactobacillus iners LEAF 2053A-b	NZ_AEKH01000001	PATRIC	gene	44981214	VBILacIne174907_0010	7343	11821	-	4479		
Lactobacillus iners LEAF 2053A-b	NZ_AEKH01000001	PATRIC	CDS	44981217	VBILacIne174907_0011	11833	13800	-	1968		hypothetical protein
Lactobacillus iners LEAF 2053A-b	NZ_AEKH01000001	PATRIC	gene	44981216	VBILacIne174907_0011	11833	13800	-	1968		
Lactobacillus iners LEAF 2053A-b	NZ_AEKH01000001	PATRIC	gene	44981218	VBILacIne174907_0012	14094	15146	-	1053		
Lactobacillus iners LEAF 2053A-b	NZ_AEKH01000001	PATRIC	CDS	44981219	VBILacIne174907_0012	14094	15146	-	1053		pXO1-76
