GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus pentosus KCA1	CM001538	PATRIC	source	87091401		1	3426323	+	3426323		
Lactobacillus pentosus KCA1	CM001538	PATRIC	CDS	87091403	VBILacPen232155_0001	43	1368	+	1326		Chromosomal replication initiator protein DnaA
Lactobacillus pentosus KCA1	CM001538	PATRIC	gene	87091402	VBILacPen232155_0001	43	1368	+	1326		
Lactobacillus pentosus KCA1	CM001538	PATRIC	CDS	87091405	VBILacPen232155_0002	1544	2683	+	1140		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus pentosus KCA1	CM001538	PATRIC	gene	87091404	VBILacPen232155_0002	1544	2683	+	1140		
Lactobacillus pentosus KCA1	CM001538	PATRIC	gene	87091406	VBILacPen232155_0003	3241	3441	+	201		
Lactobacillus pentosus KCA1	CM001538	PATRIC	CDS	87091407	VBILacPen232155_0003	3241	3441	+	201		FIG002958: hypothetical protein
Lactobacillus pentosus KCA1	CM001538	PATRIC	CDS	87091409	VBILacPen232155_0004	3442	4566	+	1125		DNA recombination and repair protein RecF
Lactobacillus pentosus KCA1	CM001538	PATRIC	gene	87091408	VBILacPen232155_0004	3442	4566	+	1125		
Lactobacillus pentosus KCA1	CM001538	PATRIC	CDS	87091411	VBILacPen232155_0005	4563	6509	+	1947		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus pentosus KCA1	CM001538	PATRIC	gene	87091410	VBILacPen232155_0005	4563	6509	+	1947		
Lactobacillus pentosus KCA1	CM001538	PATRIC	gene	87091412	VBILacPen232155_0006	6682	9291	+	2610		
Lactobacillus pentosus KCA1	CM001538	PATRIC	CDS	87091413	VBILacPen232155_0006	6682	9291	+	2610		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus pentosus KCA1	CM001538	PATRIC	gene	87091414	VBILacPen232155_0197	10508	10807	+	300		
Lactobacillus pentosus KCA1	CM001538	PATRIC	CDS	87091415	VBILacPen232155_0197	10508	10807	+	300		SSU ribosomal protein S6p
Lactobacillus pentosus KCA1	CM001538	PATRIC	gene	87091416	VBILacPen232155_0198	10844	11437	+	594		
Lactobacillus pentosus KCA1	CM001538	PATRIC	CDS	87091417	VBILacPen232155_0198	10844	11437	+	594		Single-stranded DNA-binding protein
Lactobacillus pentosus KCA1	CM001538	PATRIC	gene	87091418	VBILacPen232155_0199	11476	11712	+	237		
Lactobacillus pentosus KCA1	CM001538	PATRIC	CDS	87091419	VBILacPen232155_0199	11476	11712	+	237		SSU ribosomal protein S18p
Lactobacillus pentosus KCA1	CM001538	PATRIC	CDS	87091421	VBILacPen232155_0200	11889	13901	+	2013		Phosphoesterase, DHH family protein
Lactobacillus pentosus KCA1	CM001538	PATRIC	gene	87091420	VBILacPen232155_0200	11889	13901	+	2013		
Lactobacillus pentosus KCA1	CM001538	PATRIC	CDS	87091423	VBILacPen232155_0201	13915	14367	+	453		LSU ribosomal protein L9p
Lactobacillus pentosus KCA1	CM001538	PATRIC	gene	87091422	VBILacPen232155_0201	13915	14367	+	453		
Lactobacillus pentosus KCA1	CM001538	PATRIC	CDS	87091425	VBILacPen232155_0202	14383	15810	+	1428		Replicative DNA helicase (EC 3.6.1.-)
Lactobacillus pentosus KCA1	CM001538	PATRIC	gene	87091424	VBILacPen232155_0202	14383	15810	+	1428		
Lactobacillus pentosus KCA1	CM001538	PATRIC	gene	87091426	VBILacPen232155_0203	16019	17242	+	1224		
Lactobacillus pentosus KCA1	CM001538	PATRIC	CDS	87091427	VBILacPen232155_0203	16019	17242	+	1224		permease of the major facilitator superfamily
Lactobacillus pentosus KCA1	CM001538	PATRIC	CDS	87091429	VBILacPen232155_0204	17263	18060	+	798		Glutamate 5-kinase (EC 2.7.2.11)
Lactobacillus pentosus KCA1	CM001538	PATRIC	gene	87091428	VBILacPen232155_0204	17263	18060	+	798		
Lactobacillus pentosus KCA1	CM001538	PATRIC	CDS	87091431	VBILacPen232155_0205	18084	19322	+	1239		Gamma-glutamyl phosphate reductase (EC 1.2.1.41)
