GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus iners SPIN 1401G	NZ_AEXP01000001	PATRIC	source	54961509		1	8601	+	8601		
Lactobacillus iners SPIN 1401G	NZ_AEXP01000002	PATRIC	source	54961510		1	71305	+	71305		
Lactobacillus iners SPIN 1401G	NZ_AEXP01000002	PATRIC	CDS	54961512	VBILacIne170485_0001	601	810	+	210		Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)
Lactobacillus iners SPIN 1401G	NZ_AEXP01000002	PATRIC	gene	54961511	VBILacIne170485_0001	601	810	+	210		
Lactobacillus iners SPIN 1401G	NZ_AEXP01000002	PATRIC	gene	54961513	VBILacIne170485_0002	1080	2741	-	1662		
Lactobacillus iners SPIN 1401G	NZ_AEXP01000002	PATRIC	CDS	54961514	VBILacIne170485_0002	1080	2741	-	1662		Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)
Lactobacillus iners SPIN 1401G	NZ_AEXP01000002	PATRIC	CDS	54961516	VBILacIne170485_0003	3207	4199	-	993		GMP reductase (EC 1.7.1.7)
Lactobacillus iners SPIN 1401G	NZ_AEXP01000002	PATRIC	gene	54961515	VBILacIne170485_0003	3207	4199	-	993		
Lactobacillus iners SPIN 1401G	NZ_AEXP01000002	PATRIC	CDS	54961518	VBILacIne170485_0004	4391	5680	+	1290		Adenylosuccinate synthetase (EC 6.3.4.4)
Lactobacillus iners SPIN 1401G	NZ_AEXP01000002	PATRIC	gene	54961517	VBILacIne170485_0004	4391	5680	+	1290		
Lactobacillus iners SPIN 1401G	NZ_AEXP01000002	PATRIC	gene	54961519	VBILacIne170485_0005	5684	6979	+	1296		
Lactobacillus iners SPIN 1401G	NZ_AEXP01000002	PATRIC	CDS	54961520	VBILacIne170485_0005	5684	6979	+	1296		Adenylosuccinate lyase (EC 4.3.2.2)
Lactobacillus iners SPIN 1401G	NZ_AEXP01000002	PATRIC	gene	54961521	VBILacIne170485_0006	7093	7752	+	660		
Lactobacillus iners SPIN 1401G	NZ_AEXP01000002	PATRIC	CDS	54961522	VBILacIne170485_0006	7093	7752	+	660		ABC-type multidrug transport system, ATPase component
Lactobacillus iners SPIN 1401G	NZ_AEXP01000002	PATRIC	CDS	54961524	VBILacIne170485_0007	7749	8504	+	756		hypothetical protein
Lactobacillus iners SPIN 1401G	NZ_AEXP01000002	PATRIC	gene	54961523	VBILacIne170485_0007	7749	8504	+	756		
Lactobacillus iners SPIN 1401G	NZ_AEXP01000002	PATRIC	CDS	54961526	VBILacIne170485_0008	8622	9905	-	1284		GTP-binding protein HflX
Lactobacillus iners SPIN 1401G	NZ_AEXP01000002	PATRIC	gene	54961525	VBILacIne170485_0008	8622	9905	-	1284		
Lactobacillus iners SPIN 1401G	NZ_AEXP01000002	PATRIC	gene	54961527	VBILacIne170485_0009	9939	10589	-	651		
Lactobacillus iners SPIN 1401G	NZ_AEXP01000002	PATRIC	CDS	54961528	VBILacIne170485_0009	9939	10589	-	651		Hypothetical, related to broad specificity phosphatases COG0406
Lactobacillus iners SPIN 1401G	NZ_AEXP01000002	PATRIC	gene	54961529	VBILacIne170485_0010	10683	11318	-	636		
Lactobacillus iners SPIN 1401G	NZ_AEXP01000002	PATRIC	CDS	54961530	VBILacIne170485_0010	10683	11318	-	636		Orotate phosphoribosyltransferase (EC 2.4.2.10)
Lactobacillus iners SPIN 1401G	NZ_AEXP01000002	PATRIC	gene	54961531	VBILacIne170485_0011	11320	12027	-	708		
