GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	source	54787985		1	194769	+	194769		
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	CDS	54787987	VBILacKef189943_0001	751	2151	+	1401		Initiator RepB protein
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	gene	54787986	VBILacKef189943_0001	751	2151	+	1401		
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	CDS	54787989	VBILacKef189943_0002	2426	3268	-	843		Ribulosamine/erythrulosamine 3-kinase potentially involved in protein deglycation
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	gene	54787988	VBILacKef189943_0002	2426	3268	-	843		
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	CDS	54787991	VBILacKef189943_0003	3631	5412	+	1782		Fumarate reductase flavoprotein subunit (EC 1.3.99.1)
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	gene	54787990	VBILacKef189943_0003	3631	5412	+	1782		
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	CDS	54787993	VBILacKef189943_0004	5456	6103	+	648		transcriptional regulator
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	gene	54787992	VBILacKef189943_0004	5456	6103	+	648		
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	gene	54787994	VBILacKef189943_0005	6105	6743	+	639		
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	CDS	54787995	VBILacKef189943_0005	6105	6743	+	639		Saccharopine dehydrogenase related protein
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	gene	54787996	VBILacKef189943_0006	6940	7140	+	201		
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	CDS	54787997	VBILacKef189943_0006	6940	7140	+	201		hypothetical protein
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	gene	54787998	VBILacKef189943_0007	7141	7761	+	621		
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	CDS	54787999	VBILacKef189943_0007	7141	7761	+	621		hypothetical protein
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	gene	54788000	VBILacKef189943_0008	8337	8474	-	138		
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	CDS	54788001	VBILacKef189943_0008	8337	8474	-	138		hypothetical protein
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	CDS	54788003	VBILacKef189943_0009	8812	10098	-	1287		Tripeptide aminopeptidase (EC 3.4.11.4)
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	gene	54788002	VBILacKef189943_0009	8812	10098	-	1287		
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	CDS	54788006	VBILacKef189943_0010	10117	11562	-	1446		Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	gene	54788005	VBILacKef189943_0010	10117	11562	-	1446		
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	gene	54788004	VBILacKef189943_pg001	10117	11685	-	1569		
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	CDS	54788008	VBILacKef189943_0011	12067	15531	+	3465		hypothetical protein
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	gene	54788007	VBILacKef189943_0011	12067	15531	+	3465		
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	gene	54788009	VBILacKef189943_0012	15544	17571	+	2028		
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	CDS	54788010	VBILacKef189943_0012	15544	17571	+	2028		hypothetical protein
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	CDS	54788012	VBILacKef189943_0013	17677	18972	+	1296		hypothetical protein
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	gene	54788011	VBILacKef189943_0013	17677	18972	+	1296		
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	CDS	54788014	VBILacKef189943_0014	19267	20544	+	1278		Mobile element protein
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	gene	54788013	VBILacKef189943_0014	19267	20544	+	1278		
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	gene	54788015	VBILacKef189943_0015	20615	21526	+	912		
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	CDS	54788016	VBILacKef189943_0015	20615	21526	+	912		hypothetical protein
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	gene	54788017	VBILacKef189943_0016	21564	21881	+	318		
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	CDS	54788018	VBILacKef189943_0016	21564	21881	+	318		hypothetical protein
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	gene	54788019	VBILacKef189943_0017	22651	23271	-	621		
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	CDS	54788020	VBILacKef189943_0017	22651	23271	-	621		hypothetical protein
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	gene	54788021	VBILacKef189943_0018	23259	23966	-	708		
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	CDS	54788022	VBILacKef189943_0018	23259	23966	-	708		Ribonuclease HI-related protein
Lactobacillus kefiranofaciens ZW3	NC_015598	PATRIC	gene	54788023	VBILacKef189943_pg002	24111	25516	-	1406		
