GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	source	22219807		1	1856951	+	1856951		
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	gene	22219808	VBILacDel70259_0001	104	1468	+	1365		
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	CDS	22219809	VBILacDel70259_0001	104	1468	+	1365		Chromosomal replication initiator protein DnaA
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	CDS	22219811	VBILacDel70259_0002	1650	2777	+	1128		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	gene	22219810	VBILacDel70259_0002	1650	2777	+	1128		
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	gene	22219812	VBILacDel70259_0003	3008	3232	+	225		
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	CDS	22219813	VBILacDel70259_0003	3008	3232	+	225		FIG002958: hypothetical protein
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	gene	22219814	VBILacDel70259_0004	3232	4377	+	1146		
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	CDS	22219815	VBILacDel70259_0004	3232	4377	+	1146		DNA recombination and repair protein RecF
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	gene	22219816	VBILacDel70259_0005	4361	6322	+	1962		
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	CDS	22219817	VBILacDel70259_0005	4361	6322	+	1962		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	gene	22219818	VBILacDel70259_0006	6335	8806	+	2472		
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	CDS	22219819	VBILacDel70259_0006	6335	8806	+	2472		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	CDS	22219821	VBILacDel70259_0007	9022	9315	+	294		SSU ribosomal protein S6p
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	gene	22219820	VBILacDel70259_0007	9022	9315	+	294		
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	CDS	22219823	VBILacDel70259_0008	9356	9931	+	576		Single-stranded DNA-binding protein
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	gene	22219822	VBILacDel70259_0008	9356	9931	+	576		
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	gene	22219824	VBILacDel70259_0009	9958	10194	+	237		
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	CDS	22219825	VBILacDel70259_0009	9958	10194	+	237		SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	CDS	22219827	VBILacDel70259_0010	10335	12356	+	2022		Phosphoesterase, DHH family protein
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	gene	22219826	VBILacDel70259_0010	10335	12356	+	2022		
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	CDS	22219829	VBILacDel70259_0011	12379	12834	+	456		LSU ribosomal protein L9p
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	gene	22219828	VBILacDel70259_0011	12379	12834	+	456		
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	gene	22219830	VBILacDel70259_0012	12858	14228	+	1371		
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	CDS	22219831	VBILacDel70259_0012	12858	14228	+	1371		Replicative DNA helicase (EC 3.6.1.-)
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	CDS	22219833	VBILacDel70259_0013	14180	15433	-	1254		Esterase/lipase
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	gene	22219832	VBILacDel70259_0013	14180	15433	-	1254		
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	CDS	22219835	VBILacDel70259_0014	15541	17646	-	2106		FIG00746396: hypothetical protein
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	gene	22219834	VBILacDel70259_0014	15541	17646	-	2106		
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	gene	22219836	VBILacDel70259_0015	18198	18422	+	225		
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	CDS	22219837	VBILacDel70259_0015	18198	18422	+	225		FIG00751001: hypothetical protein
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	gene	22219838	VBILacDel70259_0016	18533	19237	-	705		
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	CDS	22219839	VBILacDel70259_0016	18533	19237	-	705		Peptide transport system permease protein SapB
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	gene	22219840	VBILacDel70259_r001	19366	19438	+	73		
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	tRNA	22219841	VBILacDel70259_r001	19366	19438	+	73		tRNA-Thr-AGT
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	gene	22219842	VBILacDel70259_0017	19634	20371	+	738		
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	CDS	22219843	VBILacDel70259_0017	19634	20371	+	738		contains transcriptional regulator helix-turn-helix domain
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	gene	22219844	VBILacDel70259_0018	20413	21348	+	936		
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	CDS	22219845	VBILacDel70259_0018	20413	21348	+	936		ABC transporter ATPase and permease components
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	gene	22219846	VBILacDel70259_0019	21404	21685	+	282		
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	CDS	22219847	VBILacDel70259_0019	21404	21685	+	282		ABC transporter ATP binding and permease protein
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	NC_008529	PATRIC	gene	22219848	VBILacDel70259_0020	21679	22905	+	1227		
