GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	source	22231964		1	2080931	+	2080931		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22231966	VBILacHel91643_0001	187	1554	+	1368		Chromosomal replication initiator protein DnaA
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22231965	VBILacHel91643_0001	187	1554	+	1368		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22231967	VBILacHel91643_0002	1719	2849	+	1131		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22231968	VBILacHel91643_0002	1719	2849	+	1131		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22231969	VBILacHel91643_0003	3070	3300	+	231		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22231970	VBILacHel91643_0003	3070	3300	+	231		FIG002958: hypothetical protein
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22231972	VBILacHel91643_0004	3300	4427	+	1128		DNA recombination and repair protein RecF
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22231971	VBILacHel91643_0004	3300	4427	+	1128		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22231973	VBILacHel91643_0005	4428	6392	+	1965		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22231974	VBILacHel91643_0005	4428	6392	+	1965		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22231976	VBILacHel91643_0006	6403	8886	+	2484		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22231975	VBILacHel91643_0006	6403	8886	+	2484		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22231978	VBILacHel91643_0007	9105	9401	+	297		SSU ribosomal protein S6p
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22231977	VBILacHel91643_0007	9105	9401	+	297		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22231979	VBILacHel91643_0008	9447	9965	+	519		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22231980	VBILacHel91643_0008	9447	9965	+	519		Single-stranded DNA-binding protein
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22231981	VBILacHel91643_0009	9994	10227	+	234		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22231982	VBILacHel91643_0009	9994	10227	+	234		SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22231983	VBILacHel91643_0010	10424	11677	+	1254		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22231984	VBILacHel91643_0010	10424	11677	+	1254		Mobile element protein
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22231986	VBILacHel91643_0011	12106	12240	+	135		hypothetical protein
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22231985	VBILacHel91643_0011	12106	12240	+	135		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22231987	VBILacHel91643_0012	12347	12805	-	459		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22231988	VBILacHel91643_0012	12347	12805	-	459		ABC transporter ATPase and permease components
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22231990	VBILacHel91643_0013	12802	13956	-	1155		ABC transporter ATPase and permease components
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22231989	VBILacHel91643_0013	12802	13956	-	1155		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22231991	VBILacHel91643_0014	14664	14792	-	129		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22231992	VBILacHel91643_0014	14664	14792	-	129		Mobile element protein
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22231994	VBILacHel91643_0015	14846	14971	-	126		Mobile element protein
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22231993	VBILacHel91643_0015	14846	14971	-	126		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22231995	VBILacHel91643_0016	15594	15788	-	195		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22231996	VBILacHel91643_0016	15594	15788	-	195		hypothetical protein
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22231997	VBILacHel91643_0017	16467	16832	+	366		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22231998	VBILacHel91643_0017	16467	16832	+	366		hypothetical protein
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22231999	VBILacHel91643_0018	16940	18961	+	2022		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22232000	VBILacHel91643_0018	16940	18961	+	2022		Phosphoesterase, DHH family protein
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22232002	VBILacHel91643_0019	18973	19428	+	456		LSU ribosomal protein L9p
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22232001	VBILacHel91643_0019	18973	19428	+	456		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22232003	VBILacHel91643_0020	19459	20853	+	1395		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22232004	VBILacHel91643_0020	19459	20853	+	1395		Replicative DNA helicase (EC 3.6.1.-)
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22232005	VBILacHel91643_0021	21090	22019	+	930		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22232006	VBILacHel91643_0021	21090	22019	+	930		Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1)
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22232007	VBILacHel91643_0022	22136	23413	-	1278		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22232008	VBILacHel91643_0022	22136	23413	-	1278		Mobile element protein
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22232009	VBILacHel91643_0023	23580	24509	+	930		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22232010	VBILacHel91643_0023	23580	24509	+	930		DegV family protein
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22232012	VBILacHel91643_0024	24741	25490	+	750		Fructokinase (EC 2.7.1.4)
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22232011	VBILacHel91643_0024	24741	25490	+	750		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22232014	VBILacHel91643_0025	25642	25812	+	171		FIG00742242: hypothetical protein
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22232013	VBILacHel91643_0025	25642	25812	+	171		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22232015	VBILacHel91643_0026	25863	26123	+	261		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22232016	VBILacHel91643_0026	25863	26123	+	261		FIG00752508: hypothetical protein
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22232017	VBILacHel91643_0027	26184	27413	-	1230		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22232018	VBILacHel91643_0027	26184	27413	-	1230		FIG00743526: hypothetical protein
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	CDS	22232020	VBILacHel91643_0028	27497	28201	-	705		Peptide transport system permease protein SapB
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22232019	VBILacHel91643_0028	27497	28201	-	705		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22232021	VBILacHel91643_r001	28364	28436	+	73		
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	tRNA	22232022	VBILacHel91643_r001	28364	28436	+	73		tRNA-Thr-AGT
Lactobacillus helveticus DPC 4571	NC_010080	PATRIC	gene	22232023	VBILacHel91643_0029	28684	30516	+	1833		
