GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus amylovorus GRL 1112	CP002338	PATRIC	source	43074888		1	2067702	+	2067702		
Lactobacillus amylovorus GRL 1112	CP002338	PATRIC	gene	43074889	VBILacAmy150400_0001	45	1412	+	1368		
Lactobacillus amylovorus GRL 1112	CP002338	PATRIC	CDS	43074890	VBILacAmy150400_0001	45	1412	+	1368		Chromosomal replication initiator protein DnaA
Lactobacillus amylovorus GRL 1112	CP002338	PATRIC	gene	43074891	VBILacAmy150400_0002	1589	2719	+	1131		
Lactobacillus amylovorus GRL 1112	CP002338	PATRIC	CDS	43074892	VBILacAmy150400_0002	1589	2719	+	1131		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus amylovorus GRL 1112	CP002338	PATRIC	CDS	43074894	VBILacAmy150400_0003	2996	3175	+	180		FIG002958: hypothetical protein
Lactobacillus amylovorus GRL 1112	CP002338	PATRIC	gene	43074893	VBILacAmy150400_0003	2996	3175	+	180		
Lactobacillus amylovorus GRL 1112	CP002338	PATRIC	CDS	43074896	VBILacAmy150400_0004	3175	4302	+	1128		DNA recombination and repair protein RecF
Lactobacillus amylovorus GRL 1112	CP002338	PATRIC	gene	43074895	VBILacAmy150400_0004	3175	4302	+	1128		
Lactobacillus amylovorus GRL 1112	CP002338	PATRIC	gene	43074897	VBILacAmy150400_0005	4303	6267	+	1965		
Lactobacillus amylovorus GRL 1112	CP002338	PATRIC	CDS	43074898	VBILacAmy150400_0005	4303	6267	+	1965		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus amylovorus GRL 1112	CP002338	PATRIC	gene	43074899	VBILacAmy150400_0006	6278	8743	+	2466		
Lactobacillus amylovorus GRL 1112	CP002338	PATRIC	CDS	43074900	VBILacAmy150400_0006	6278	8743	+	2466		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus amylovorus GRL 1112	CP002338	PATRIC	gene	43074901	VBILacAmy150400_0007	8962	9258	+	297		
Lactobacillus amylovorus GRL 1112	CP002338	PATRIC	CDS	43074902	VBILacAmy150400_0007	8962	9258	+	297		SSU ribosomal protein S6p
Lactobacillus amylovorus GRL 1112	CP002338	PATRIC	CDS	43074904	VBILacAmy150400_0008	9304	9825	+	522		Single-stranded DNA-binding protein
Lactobacillus amylovorus GRL 1112	CP002338	PATRIC	gene	43074903	VBILacAmy150400_0008	9304	9825	+	522		
Lactobacillus amylovorus GRL 1112	CP002338	PATRIC	CDS	43074906	VBILacAmy150400_0009	9854	10090	+	237		SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
Lactobacillus amylovorus GRL 1112	CP002338	PATRIC	gene	43074905	VBILacAmy150400_0009	9854	10090	+	237		
