GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus animalis KCTC 3501	AEOF01000001	PATRIC	source	52775602		1	65737	+	65737		
Lactobacillus animalis KCTC 3501	AEOF01000001	PATRIC	CDS	52775604	VBILacAni178686_0001	67	459	-	393		General stress protein 13
Lactobacillus animalis KCTC 3501	AEOF01000001	PATRIC	gene	52775603	VBILacAni178686_0001	67	459	-	393		
Lactobacillus animalis KCTC 3501	AEOF01000001	PATRIC	CDS	52775606	VBILacAni178686_0002	472	1044	-	573		Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)
Lactobacillus animalis KCTC 3501	AEOF01000001	PATRIC	gene	52775605	VBILacAni178686_0002	472	1044	-	573		
Lactobacillus animalis KCTC 3501	AEOF01000001	PATRIC	gene	52775607	VBILacAni178686_0003	1190	2197	+	1008		
Lactobacillus animalis KCTC 3501	AEOF01000001	PATRIC	CDS	52775608	VBILacAni178686_0003	1190	2197	+	1008		Thioredoxin reductase (EC 1.8.1.9)
Lactobacillus animalis KCTC 3501	AEOF01000001	PATRIC	gene	52775609	VBILacAni178686_0004	2343	2984	+	642		
Lactobacillus animalis KCTC 3501	AEOF01000001	PATRIC	CDS	52775610	VBILacAni178686_0004	2343	2984	+	642		DedA protein
Lactobacillus animalis KCTC 3501	AEOF01000001	PATRIC	gene	52775611	VBILacAni178686_0005	3011	3538	-	528		
Lactobacillus animalis KCTC 3501	AEOF01000001	PATRIC	CDS	52775612	VBILacAni178686_0005	3011	3538	-	528		COG4478, integral membrane protein
Lactobacillus animalis KCTC 3501	AEOF01000001	PATRIC	gene	52775613	VBILacAni178686_0006	3646	4416	-	771		
Lactobacillus animalis KCTC 3501	AEOF01000001	PATRIC	CDS	52775614	VBILacAni178686_0006	3646	4416	-	771		Hypothetical NagD-like phosphatase
Lactobacillus animalis KCTC 3501	AEOF01000001	PATRIC	CDS	52775616	VBILacAni178686_0007	4433	5014	-	582		Hypothetical DUF1027 domain protein
Lactobacillus animalis KCTC 3501	AEOF01000001	PATRIC	gene	52775615	VBILacAni178686_0007	4433	5014	-	582		
Lactobacillus animalis KCTC 3501	AEOF01000001	PATRIC	gene	52775617	VBILacAni178686_0008	5301	6677	-	1377		
Lactobacillus animalis KCTC 3501	AEOF01000001	PATRIC	CDS	52775618	VBILacAni178686_0008	5301	6677	-	1377		D-serine/D-alanine/glycine transporter
