GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus plantarum WCFS1	NC_004567	PATRIC	source	22246625		1	3308274	+	3308274		
Lactobacillus plantarum WCFS1	NC_004567	PATRIC	CDS	22246627	VBILacPla27411_0001	43	1368	+	1326		Chromosomal replication initiator protein DnaA
Lactobacillus plantarum WCFS1	NC_004567	PATRIC	gene	22246626	VBILacPla27411_0001	43	1368	+	1326		
Lactobacillus plantarum WCFS1	NC_004567	PATRIC	gene	22246628	VBILacPla27411_0002	1546	2685	+	1140		
Lactobacillus plantarum WCFS1	NC_004567	PATRIC	CDS	22246629	VBILacPla27411_0002	1546	2685	+	1140		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus plantarum WCFS1	NC_004567	PATRIC	CDS	22246631	VBILacPla27411_0003	3243	3443	+	201		FIG002958: hypothetical protein
Lactobacillus plantarum WCFS1	NC_004567	PATRIC	gene	22246630	VBILacPla27411_0003	3243	3443	+	201		
Lactobacillus plantarum WCFS1	NC_004567	PATRIC	gene	22246632	VBILacPla27411_0004	3444	4568	+	1125		
Lactobacillus plantarum WCFS1	NC_004567	PATRIC	CDS	22246633	VBILacPla27411_0004	3444	4568	+	1125		DNA recombination and repair protein RecF
Lactobacillus plantarum WCFS1	NC_004567	PATRIC	gene	22246634	VBILacPla27411_0005	4565	6511	+	1947		
Lactobacillus plantarum WCFS1	NC_004567	PATRIC	CDS	22246635	VBILacPla27411_0005	4565	6511	+	1947		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus plantarum WCFS1	NC_004567	PATRIC	CDS	22246637	VBILacPla27411_0006	6676	9237	+	2562		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus plantarum WCFS1	NC_004567	PATRIC	gene	22246636	VBILacPla27411_0006	6676	9237	+	2562		
Lactobacillus plantarum WCFS1	NC_004567	PATRIC	gene	22246638	VBILacPla27411_0007	9860	10159	+	300		
Lactobacillus plantarum WCFS1	NC_004567	PATRIC	CDS	22246639	VBILacPla27411_0007	9860	10159	+	300		SSU ribosomal protein S6p
Lactobacillus plantarum WCFS1	NC_004567	PATRIC	gene	22246640	VBILacPla27411_0008	10196	10798	+	603		
Lactobacillus plantarum WCFS1	NC_004567	PATRIC	CDS	22246641	VBILacPla27411_0008	10196	10798	+	603		Single-stranded DNA-binding protein
Lactobacillus plantarum WCFS1	NC_004567	PATRIC	CDS	22246643	VBILacPla27411_0009	10837	11073	+	237		SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
Lactobacillus plantarum WCFS1	NC_004567	PATRIC	gene	22246642	VBILacPla27411_0009	10837	11073	+	237		
Lactobacillus plantarum WCFS1	NC_004567	PATRIC	gene	22246644	VBILacPla27411_0010	11254	13266	+	2013		
Lactobacillus plantarum WCFS1	NC_004567	PATRIC	CDS	22246645	VBILacPla27411_0010	11254	13266	+	2013		Phosphoesterase, DHH family protein
