GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus ruminis SPM0211	NZ_AFOJ01000001	PATRIC	source	55227409		1	104511	+	104511		
Lactobacillus ruminis SPM0211	NZ_AFOJ01000001	PATRIC	gene	55227410	VBILacRum200985_r001	9	81	+	73		
Lactobacillus ruminis SPM0211	NZ_AFOJ01000001	PATRIC	tRNA	55227411	VBILacRum200985_r001	9	81	+	73		tRNA-Asn-GTT
Lactobacillus ruminis SPM0211	NZ_AFOJ01000001	PATRIC	tRNA	55227413	VBILacRum200985_r002	91	181	+	91		tRNA-Pseudo-GGA
Lactobacillus ruminis SPM0211	NZ_AFOJ01000001	PATRIC	gene	55227412	VBILacRum200985_r002	91	181	+	91		
Lactobacillus ruminis SPM0211	NZ_AFOJ01000001	PATRIC	gene	55227414	VBILacRum200985_r003	196	267	+	72		
Lactobacillus ruminis SPM0211	NZ_AFOJ01000001	PATRIC	tRNA	55227415	VBILacRum200985_r003	196	267	+	72		tRNA-Glu-TTC
Lactobacillus ruminis SPM0211	NZ_AFOJ01000001	PATRIC	gene	55227416	VBILacRum200985_r004	273	345	+	73		
Lactobacillus ruminis SPM0211	NZ_AFOJ01000001	PATRIC	tRNA	55227417	VBILacRum200985_r004	273	345	+	73		tRNA-Val-TAC
Lactobacillus ruminis SPM0211	NZ_AFOJ01000001	PATRIC	tRNA	55227419	VBILacRum200985_r005	358	430	+	73		tRNA-Asp-GTC
Lactobacillus ruminis SPM0211	NZ_AFOJ01000001	PATRIC	gene	55227418	VBILacRum200985_r005	358	430	+	73		
Lactobacillus ruminis SPM0211	NZ_AFOJ01000001	PATRIC	gene	55227420	VBILacRum200985_r006	476	548	+	73		
Lactobacillus ruminis SPM0211	NZ_AFOJ01000001	PATRIC	tRNA	55227421	VBILacRum200985_r006	476	548	+	73		tRNA-Phe-GAA
