GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Pediococcus pentosaceus IE-3	CAHU01000001	PATRIC	source	93814891		1	183723	+	183723		
Pediococcus pentosaceus IE-3	CAHU01000001	PATRIC	gene	93814892	VBIPedPen231640_r001	100	173	+	74		
Pediococcus pentosaceus IE-3	CAHU01000001	PATRIC	tRNA	93814893	VBIPedPen231640_r001	100	173	+	74		tRNA-Thr-GGT
Pediococcus pentosaceus IE-3	CAHU01000001	PATRIC	gene	93814894	VBIPedPen231640_0001	338	1702	+	1365		
Pediococcus pentosaceus IE-3	CAHU01000001	PATRIC	CDS	93814895	VBIPedPen231640_0001	338	1702	+	1365		Cytosine/purine/uracil/thiamine/allantoin permease family protein
Pediococcus pentosaceus IE-3	CAHU01000001	PATRIC	CDS	93814897	VBIPedPen231640_0002	1692	2924	+	1233		Cytosine deaminase (EC 3.5.4.1)
Pediococcus pentosaceus IE-3	CAHU01000001	PATRIC	gene	93814896	VBIPedPen231640_0002	1692	2924	+	1233		
Pediococcus pentosaceus IE-3	CAHU01000001	PATRIC	CDS	93814899	VBIPedPen231640_0003	3019	4548	+	1530		L-proline glycine betaine binding ABC transporter protein ProX (TC 3.A.1.12.1) / Osmotic adaptation
Pediococcus pentosaceus IE-3	CAHU01000001	PATRIC	gene	93814898	VBIPedPen231640_0003	3019	4548	+	1530		
Pediococcus pentosaceus IE-3	CAHU01000001	PATRIC	gene	93814900	VBIPedPen231640_0004	4548	5513	+	966		
Pediococcus pentosaceus IE-3	CAHU01000001	PATRIC	CDS	93814901	VBIPedPen231640_0004	4548	5513	+	966		L-proline glycine betaine ABC transport system permease protein ProV (TC 3.A.1.12.1)
Pediococcus pentosaceus IE-3	CAHU01000001	PATRIC	gene	93814902	VBIPedPen231640_0005	5528	6862	+	1335		
Pediococcus pentosaceus IE-3	CAHU01000001	PATRIC	CDS	93814903	VBIPedPen231640_0005	5528	6862	+	1335		similar to glutathione reductase
Pediococcus pentosaceus IE-3	CAHU01000001	PATRIC	CDS	93814906	VBIPedPen231640_0006	6919	8079	+	1161		Na(+)/H(+) antiporter
Pediococcus pentosaceus IE-3	CAHU01000001	PATRIC	gene	93814904	VBIPedPen231640_pg001	6919	8130	+	1212		
Pediococcus pentosaceus IE-3	CAHU01000001	PATRIC	gene	93814905	VBIPedPen231640_0006	6919	8079	+	1161		
Pediococcus pentosaceus IE-3	CAHU01000001	PATRIC	gene	93814907	VBIPedPen231640_0007	8219	11644	+	3426		
Pediococcus pentosaceus IE-3	CAHU01000001	PATRIC	CDS	93814908	VBIPedPen231640_0007	8219	11644	+	3426		Pyruvate carboxyl transferase (EC 6.4.1.1)
