GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus iners LEAF 2052A-d	NZ_AEKI01000001	PATRIC	source	44983916		1	7907	+	7907		
Lactobacillus iners LEAF 2052A-d	NZ_AEKI01000001	PATRIC	CDS	44983918	VBILacIne170635_0001	144	2213	-	2070		Lipoteichoic acid synthase LtaS Type IIa
Lactobacillus iners LEAF 2052A-d	NZ_AEKI01000001	PATRIC	gene	44983917	VBILacIne170635_0001	144	2213	-	2070		
Lactobacillus iners LEAF 2052A-d	NZ_AEKI01000001	PATRIC	gene	44983919	VBILacIne170635_0002	2272	3282	-	1011		
Lactobacillus iners LEAF 2052A-d	NZ_AEKI01000001	PATRIC	CDS	44983920	VBILacIne170635_0002	2272	3282	-	1011		Integral membrane protein LafC, accessory function in glycolipid and LTA synthesis
Lactobacillus iners LEAF 2052A-d	NZ_AEKI01000001	PATRIC	CDS	44983922	VBILacIne170635_0003	3282	4325	-	1044		Glycosyltransferase LafB, responsible for the formation of Gal-Glc-DAG
Lactobacillus iners LEAF 2052A-d	NZ_AEKI01000001	PATRIC	gene	44983921	VBILacIne170635_0003	3282	4325	-	1044		
Lactobacillus iners LEAF 2052A-d	NZ_AEKI01000001	PATRIC	gene	44983923	VBILacIne170635_pg001	4312	5481	-	1170		
Lactobacillus iners LEAF 2052A-d	NZ_AEKI01000001	PATRIC	CDS	44983925	VBILacIne170635_0004	4327	5481	-	1155		Glycosyltransferase LafA, responsible for the formation of Glc-DAG
Lactobacillus iners LEAF 2052A-d	NZ_AEKI01000001	PATRIC	gene	44983924	VBILacIne170635_0004	4327	5481	-	1155		
Lactobacillus iners LEAF 2052A-d	NZ_AEKI01000001	PATRIC	gene	44983926	VBILacIne170635_r001	5594	5677	-	84		
Lactobacillus iners LEAF 2052A-d	NZ_AEKI01000001	PATRIC	tRNA	44983927	VBILacIne170635_r001	5594	5677	-	84		tRNA-Leu-CAA
Lactobacillus iners LEAF 2052A-d	NZ_AEKI01000001	PATRIC	tRNA	44983929	VBILacIne170635_r002	5711	5781	-	71		tRNA-Cys-GCA
Lactobacillus iners LEAF 2052A-d	NZ_AEKI01000001	PATRIC	gene	44983928	VBILacIne170635_r002	5711	5781	-	71		
Lactobacillus iners LEAF 2052A-d	NZ_AEKI01000001	PATRIC	tRNA	44983931	VBILacIne170635_r003	5805	5876	-	72		tRNA-Gln-TTG
Lactobacillus iners LEAF 2052A-d	NZ_AEKI01000001	PATRIC	gene	44983930	VBILacIne170635_r003	5805	5876	-	72		
Lactobacillus iners LEAF 2052A-d	NZ_AEKI01000001	PATRIC	gene	44983932	VBILacIne170635_r004	5884	5956	-	73		
Lactobacillus iners LEAF 2052A-d	NZ_AEKI01000001	PATRIC	tRNA	44983933	VBILacIne170635_r004	5884	5956	-	73		tRNA-His-GTG
Lactobacillus iners LEAF 2052A-d	NZ_AEKI01000001	PATRIC	gene	44983934	VBILacIne170635_r005	5971	6041	-	71		
Lactobacillus iners LEAF 2052A-d	NZ_AEKI01000001	PATRIC	tRNA	44983935	VBILacIne170635_r005	5971	6041	-	71		tRNA-Trp-CCA
Lactobacillus iners LEAF 2052A-d	NZ_AEKI01000001	PATRIC	tRNA	44983937	VBILacIne170635_r006	6046	6127	-	82		tRNA-Tyr-GTA
