GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus iners LactinV 01V1-a	NZ_AEHQ01000001	PATRIC	source	42121956		1	15866	+	15866		
Lactobacillus iners LactinV 01V1-a	NZ_AEHQ01000001	PATRIC	CDS	42121958	VBILacIne172976_0001	48	332	+	285		ABC transporter, ATP-binding protein
Lactobacillus iners LactinV 01V1-a	NZ_AEHQ01000001	PATRIC	gene	42121957	VBILacIne172976_0001	48	332	+	285		
Lactobacillus iners LactinV 01V1-a	NZ_AEHQ01000001	PATRIC	gene	42121959	VBILacIne172976_0002	352	537	+	186		
Lactobacillus iners LactinV 01V1-a	NZ_AEHQ01000001	PATRIC	CDS	42121960	VBILacIne172976_0002	352	537	+	186		hypothetical protein
Lactobacillus iners LactinV 01V1-a	NZ_AEHQ01000001	PATRIC	CDS	42121962	VBILacIne172976_0003	500	613	+	114		hypothetical protein
Lactobacillus iners LactinV 01V1-a	NZ_AEHQ01000001	PATRIC	gene	42121961	VBILacIne172976_0003	500	613	+	114		
Lactobacillus iners LactinV 01V1-a	NZ_AEHQ01000001	PATRIC	gene	42121963	VBILacIne172976_0004	619	1362	+	744		
Lactobacillus iners LactinV 01V1-a	NZ_AEHQ01000001	PATRIC	CDS	42121964	VBILacIne172976_0004	619	1362	+	744		ABC transporter, permease protein
Lactobacillus iners LactinV 01V1-a	NZ_AEHQ01000001	PATRIC	CDS	42121966	VBILacIne172976_0005	1359	2132	+	774		ABC-type uncharacterized transport system, permease component
Lactobacillus iners LactinV 01V1-a	NZ_AEHQ01000001	PATRIC	gene	42121965	VBILacIne172976_0005	1359	2132	+	774		
Lactobacillus iners LactinV 01V1-a	NZ_AEHQ01000001	PATRIC	gene	42121967	VBILacIne172976_0006	2234	2965	+	732		
Lactobacillus iners LactinV 01V1-a	NZ_AEHQ01000001	PATRIC	CDS	42121968	VBILacIne172976_0006	2234	2965	+	732		hypothetical protein
Lactobacillus iners LactinV 01V1-a	NZ_AEHQ01000001	PATRIC	gene	42121969	VBILacIne172976_0007	3183	3431	+	249		
Lactobacillus iners LactinV 01V1-a	NZ_AEHQ01000001	PATRIC	CDS	42121970	VBILacIne172976_0007	3183	3431	+	249		hypothetical protein
Lactobacillus iners LactinV 01V1-a	NZ_AEHQ01000001	PATRIC	CDS	42121972	VBILacIne172976_0008	3847	4005	-	159		hypothetical protein
Lactobacillus iners LactinV 01V1-a	NZ_AEHQ01000001	PATRIC	gene	42121971	VBILacIne172976_0008	3847	4005	-	159		
Lactobacillus iners LactinV 01V1-a	NZ_AEHQ01000001	PATRIC	gene	42121973	VBILacIne172976_0009	4219	5694	-	1476		
Lactobacillus iners LactinV 01V1-a	NZ_AEHQ01000001	PATRIC	CDS	42121974	VBILacIne172976_0009	4219	5694	-	1476		ABC-type multidrug transport system, ATPase and permease component
Lactobacillus iners LactinV 01V1-a	NZ_AEHQ01000001	PATRIC	gene	42121975	VBILacIne172976_0010	6104	6502	-	399		
Lactobacillus iners LactinV 01V1-a	NZ_AEHQ01000001	PATRIC	CDS	42121976	VBILacIne172976_0010	6104	6502	-	399		Phosphotransferase system, mannose/fructose-specific component IIA
