GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus gasseri SJ-9E-US	ADDU01000001	PATRIC	source	51852005		1	183581	+	183581		
Lactobacillus gasseri SJ-9E-US	ADDU01000001	PATRIC	rRNA	51852007	VBILacGas9643_r001	65	181	+	117		5S RNA
Lactobacillus gasseri SJ-9E-US	ADDU01000001	PATRIC	gene	51852006	VBILacGas9643_r001	65	181	+	117		
Lactobacillus gasseri SJ-9E-US	ADDU01000001	PATRIC	gene	51852008	VBILacGas9643_r002	195	267	+	73		
Lactobacillus gasseri SJ-9E-US	ADDU01000001	PATRIC	tRNA	51852009	VBILacGas9643_r002	195	267	+	73		tRNA-Asn-GTT
Lactobacillus gasseri SJ-9E-US	ADDU01000001	PATRIC	tRNA	51852011	VBILacGas9643_r003	290	379	+	90		tRNA-Pseudo-GGA
Lactobacillus gasseri SJ-9E-US	ADDU01000001	PATRIC	gene	51852010	VBILacGas9643_r003	290	379	+	90		
Lactobacillus gasseri SJ-9E-US	ADDU01000001	PATRIC	tRNA	51852013	VBILacGas9643_r004	496	567	+	72		tRNA-Glu-TTC
Lactobacillus gasseri SJ-9E-US	ADDU01000001	PATRIC	gene	51852012	VBILacGas9643_r004	496	567	+	72		
Lactobacillus gasseri SJ-9E-US	ADDU01000001	PATRIC	gene	51852014	VBILacGas9643_r005	591	663	+	73		
Lactobacillus gasseri SJ-9E-US	ADDU01000001	PATRIC	tRNA	51852015	VBILacGas9643_r005	591	663	+	73		tRNA-Val-TAC
Lactobacillus gasseri SJ-9E-US	ADDU01000001	PATRIC	gene	51852016	VBILacGas9643_0001	810	2018	+	1209		
Lactobacillus gasseri SJ-9E-US	ADDU01000001	PATRIC	CDS	51852017	VBILacGas9643_0001	810	2018	+	1209		S-adenosylmethionine synthetase (EC 2.5.1.6)
Lactobacillus gasseri SJ-9E-US	ADDU01000001	PATRIC	gene	51852018	VBILacGas9643_0002	2008	3465	+	1458		
Lactobacillus gasseri SJ-9E-US	ADDU01000001	PATRIC	CDS	51852019	VBILacGas9643_0002	2008	3465	+	1458		Permeases of the major facilitator superfamily
Lactobacillus gasseri SJ-9E-US	ADDU01000001	PATRIC	gene	51852020	VBILacGas9643_0003	3513	4163	-	651		
Lactobacillus gasseri SJ-9E-US	ADDU01000001	PATRIC	CDS	51852021	VBILacGas9643_0003	3513	4163	-	651		FIG00742301: hypothetical protein
Lactobacillus gasseri SJ-9E-US	ADDU01000001	PATRIC	CDS	51852023	VBILacGas9643_0004	4465	6879	+	2415		Leucyl-tRNA synthetase (EC 6.1.1.4)
Lactobacillus gasseri SJ-9E-US	ADDU01000001	PATRIC	gene	51852022	VBILacGas9643_0004	4465	6879	+	2415		
Lactobacillus gasseri SJ-9E-US	ADDU01000001	PATRIC	CDS	51852025	VBILacGas9643_0005	6981	8639	+	1659		Membrane protein involved in the export of O-antigen, teichoic acid lipoteichoic acids
Lactobacillus gasseri SJ-9E-US	ADDU01000001	PATRIC	gene	51852024	VBILacGas9643_0005	6981	8639	+	1659		
Lactobacillus gasseri SJ-9E-US	ADDU01000001	PATRIC	CDS	51852027	VBILacGas9643_0006	8745	9878	+	1134		FIG00747528: hypothetical protein
Lactobacillus gasseri SJ-9E-US	ADDU01000001	PATRIC	gene	51852026	VBILacGas9643_0006	8745	9878	+	1134		
