GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	source	59568766		1	25840	+	25840		
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	gene	59568767	VBILacJoh196295_0001	396	569	-	174		
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	CDS	59568768	VBILacJoh196295_0001	396	569	-	174		hypothetical protein
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	CDS	59568770	VBILacJoh196295_0002	842	1147	-	306		hypothetical protein
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	gene	59568769	VBILacJoh196295_0002	842	1147	-	306		
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	gene	59568771	VBILacJoh196295_0003	1140	1946	-	807		
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	CDS	59568772	VBILacJoh196295_0003	1140	1946	-	807		Chromosome (plasmid) partitioning protein ParA / Sporulation initiation inhibitor protein Soj
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	gene	59568773	VBILacJoh196295_0004	2461	2679	+	219		
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	CDS	59568774	VBILacJoh196295_0004	2461	2679	+	219		FIG00754684: hypothetical protein
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	gene	59568775	VBILacJoh196295_0005	2700	2921	+	222		
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	CDS	59568776	VBILacJoh196295_0005	2700	2921	+	222		FIG00751784: hypothetical protein
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	gene	59568777	VBILacJoh196295_0006	2986	3129	+	144		
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	CDS	59568778	VBILacJoh196295_0006	2986	3129	+	144		hypothetical protein
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	CDS	59568780	VBILacJoh196295_0007	3186	3515	+	330		Single-stranded DNA-binding protein
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	gene	59568779	VBILacJoh196295_0007	3186	3515	+	330		
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	CDS	59568782	VBILacJoh196295_0008	3709	3867	+	159		hypothetical protein
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	gene	59568781	VBILacJoh196295_0008	3709	3867	+	159		
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	CDS	59568784	VBILacJoh196295_0009	3978	4550	+	573		hypothetical protein
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	gene	59568783	VBILacJoh196295_0009	3978	4550	+	573		
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	CDS	59568786	VBILacJoh196295_0010	4557	4676	+	120		hypothetical protein
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	gene	59568785	VBILacJoh196295_0010	4557	4676	+	120		
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	gene	59568787	VBILacJoh196295_0011	4911	5711	+	801		
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	CDS	59568788	VBILacJoh196295_0011	4911	5711	+	801		hypothetical protein
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	gene	59568789	VBILacJoh196295_0012	5811	6656	-	846		
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	CDS	59568790	VBILacJoh196295_0012	5811	6656	-	846		Abortive infection protein AbiGII
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	gene	59568791	VBILacJoh196295_0013	6659	7249	-	591		
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	CDS	59568792	VBILacJoh196295_0013	6659	7249	-	591		hypothetical protein
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	gene	59568793	VBILacJoh196295_0014	7599	8090	-	492		
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	CDS	59568794	VBILacJoh196295_0014	7599	8090	-	492		hypothetical protein
Lactobacillus johnsonii pf01	AFQJ01000001	PATRIC	gene	59568795	VBILacJoh196295_0015	8465	9262	+	798		
