GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	source	54460856		1	52697	+	52697		
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	CDS	54460858	VBILacBuc105504_0001	108	1283	-	1176		ISEf1, transposase
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	gene	54460857	VBILacBuc105504_0001	108	1283	-	1176		
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	CDS	54460861	VBILacBuc105504_0002	1476	1889	-	414		putative resolvase
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	gene	54460859	VBILacBuc105504_pg001	1476	2061	-	586		
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	gene	54460860	VBILacBuc105504_0002	1476	1889	-	414		
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	gene	54460862	VBILacBuc105504_0003	1903	2061	-	159		
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	CDS	54460863	VBILacBuc105504_0003	1903	2061	-	159		hypothetical protein
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	gene	54460864	VBILacBuc105504_0004	2635	3102	-	468		
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	CDS	54460865	VBILacBuc105504_0004	2635	3102	-	468		transposase Tn3 family protein
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	CDS	54460867	VBILacBuc105504_0005	3281	3877	+	597		putative resolvase
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	gene	54460866	VBILacBuc105504_0005	3281	3877	+	597		
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	CDS	54460869	VBILacBuc105504_0006	4000	4323	+	324		Arsenical resistance operon repressor
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	gene	54460868	VBILacBuc105504_0006	4000	4323	+	324		
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	gene	54460870	VBILacBuc105504_0007	4375	6105	+	1731		
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	CDS	54460871	VBILacBuc105504_0007	4375	6105	+	1731		Arsenical pump-driving ATPase (EC 3.6.3.16)
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	CDS	54460873	VBILacBuc105504_0008	6148	7443	+	1296		Arsenic efflux pump protein
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	gene	54460872	VBILacBuc105504_0008	6148	7443	+	1296		
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	gene	54460874	VBILacBuc105504_0009	7480	7815	+	336		
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	CDS	54460875	VBILacBuc105504_0009	7480	7815	+	336		Arsenical resistance operon trans-acting repressor ArsD
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	gene	54460876	VBILacBuc105504_0010	7835	8254	+	420		
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	CDS	54460877	VBILacBuc105504_0010	7835	8254	+	420		Arsenate reductase (EC 1.20.4.1)
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	gene	54460878	VBILacBuc105504_pg002	9377	10120	-	744		
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	CDS	54460880	VBILacBuc105504_0011	9509	10351	-	843		LtrC-like protein
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	gene	54460879	VBILacBuc105504_0011	9509	10351	-	843		
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	CDS	54460882	VBILacBuc105504_0012	10534	10719	-	186		FIG00743137: hypothetical protein
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	gene	54460881	VBILacBuc105504_0012	10534	10719	-	186		
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	CDS	54460884	VBILacBuc105504_0013	10841	12976	-	2136		DNA topoisomerase III (EC 5.99.1.2)
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	gene	54460883	VBILacBuc105504_0013	10841	12976	-	2136		
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	gene	54460885	VBILacBuc105504_0014	13062	15122	-	2061		
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	CDS	54460886	VBILacBuc105504_0014	13062	15122	-	2061		FIG00749639: hypothetical protein
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	gene	54460887	VBILacBuc105504_0015	15393	15602	+	210		
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	CDS	54460888	VBILacBuc105504_0015	15393	15602	+	210		FIG00746404: hypothetical protein
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	CDS	54460890	VBILacBuc105504_0016	15622	15900	+	279		FIG00746003: hypothetical protein
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	gene	54460889	VBILacBuc105504_0016	15622	15900	+	279		
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	CDS	54460892	VBILacBuc105504_0017	15890	16177	-	288		FIG00753329: hypothetical protein
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	gene	54460891	VBILacBuc105504_0017	15890	16177	-	288		
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	gene	54460893	VBILacBuc105504_0018	17333	18331	-	999		
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	CDS	54460894	VBILacBuc105504_0018	17333	18331	-	999		hypothetical protein
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	gene	54460895	VBILacBuc105504_0019	19044	19868	+	825		
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	CDS	54460896	VBILacBuc105504_0019	19044	19868	+	825		Chromosome (plasmid) partitioning protein ParA / Sporulation initiation inhibitor protein Soj
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	CDS	54460898	VBILacBuc105504_0020	20303	21223	-	921		Mobile element protein
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	gene	54460897	VBILacBuc105504_0020	20303	21223	-	921		
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	CDS	54460900	VBILacBuc105504_0021	21668	21820	-	153		Transposase
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	gene	54460899	VBILacBuc105504_0021	21668	21820	-	153		
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	gene	54460901	VBILacBuc105504_0022	22044	23033	-	990		
Lactobacillus buchneri NRRL B-30929	NC_015420	PATRIC	CDS	54460902	VBILacBuc105504_0022	22044	23033	-	990		Integrase catalytic region
