GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus rhamnosus CASL	AFYD01000001	PATRIC	source	68684139		1	249	+	249		
Lactobacillus rhamnosus CASL	AFYD01000002	PATRIC	source	68684140		1	15680	+	15680		
Lactobacillus rhamnosus CASL	AFYD01000002	PATRIC	CDS	68684142	VBILacRha206532_0001	448	1851	+	1404		Aspartokinase (EC 2.7.2.4)
Lactobacillus rhamnosus CASL	AFYD01000002	PATRIC	gene	68684141	VBILacRha206532_0001	448	1851	+	1404		
Lactobacillus rhamnosus CASL	AFYD01000002	PATRIC	CDS	68684144	VBILacRha206532_0002	1854	2861	+	1008		Diaminopimelate epimerase (EC 5.1.1.7)
Lactobacillus rhamnosus CASL	AFYD01000002	PATRIC	gene	68684143	VBILacRha206532_0002	1854	2861	+	1008		
Lactobacillus rhamnosus CASL	AFYD01000002	PATRIC	gene	68684145	VBILacRha206532_0003	2869	3927	+	1059		
Lactobacillus rhamnosus CASL	AFYD01000002	PATRIC	CDS	68684146	VBILacRha206532_0003	2869	3927	+	1059		Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)
Lactobacillus rhamnosus CASL	AFYD01000002	PATRIC	CDS	68684148	VBILacRha206532_0004	4143	4520	+	378		FIG00742814: hypothetical protein
Lactobacillus rhamnosus CASL	AFYD01000002	PATRIC	gene	68684147	VBILacRha206532_0004	4143	4520	+	378		
Lactobacillus rhamnosus CASL	AFYD01000002	PATRIC	CDS	68684150	VBILacRha206532_0005	4782	5102	+	321		FIG00752706: hypothetical protein
Lactobacillus rhamnosus CASL	AFYD01000002	PATRIC	gene	68684149	VBILacRha206532_0005	4782	5102	+	321		
Lactobacillus rhamnosus CASL	AFYD01000002	PATRIC	gene	68684151	VBILacRha206532_0006	5095	5973	+	879		
