GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	source	51855567		1	31392	+	31392		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855568	VBILacGas118098_r001	75	191	+	117		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	rRNA	51855569	VBILacGas118098_r001	75	191	+	117		5S RNA
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855570	VBILacGas118098_r002	205	277	+	73		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	tRNA	51855571	VBILacGas118098_r002	205	277	+	73		tRNA-Asn-GTT
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855572	VBILacGas118098_r003	300	389	+	90		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	tRNA	51855573	VBILacGas118098_r003	300	389	+	90		tRNA-Pseudo-GGA
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855574	VBILacGas118098_r004	506	577	+	72		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	tRNA	51855575	VBILacGas118098_r004	506	577	+	72		tRNA-Glu-TTC
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	tRNA	51855577	VBILacGas118098_r005	601	673	+	73		tRNA-Val-TAC
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855576	VBILacGas118098_r005	601	673	+	73		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855579	VBILacGas118098_0001	820	2028	+	1209		S-adenosylmethionine synthetase (EC 2.5.1.6)
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855578	VBILacGas118098_0001	820	2028	+	1209		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855581	VBILacGas118098_0002	2075	3475	+	1401		Permeases of the major facilitator superfamily
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855580	VBILacGas118098_0002	2075	3475	+	1401		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855583	VBILacGas118098_0003	3523	4173	-	651		FIG00742301: hypothetical protein
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855582	VBILacGas118098_0003	3523	4173	-	651		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855585	VBILacGas118098_0004	4475	6889	+	2415		Leucyl-tRNA synthetase (EC 6.1.1.4)
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855584	VBILacGas118098_0004	4475	6889	+	2415		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855586	VBILacGas118098_0005	6991	8649	+	1659		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855587	VBILacGas118098_0005	6991	8649	+	1659		Membrane protein involved in the export of O-antigen, teichoic acid lipoteichoic acids
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855589	VBILacGas118098_0006	8755	9888	+	1134		FIG00747528: hypothetical protein
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855588	VBILacGas118098_0006	8755	9888	+	1134		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855590	VBILacGas118098_0007	9961	10707	+	747		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855591	VBILacGas118098_0007	9961	10707	+	747		FIG00745040: hypothetical protein
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855593	VBILacGas118098_0008	10738	11598	+	861		NAD(P)HX dehydratase
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855592	VBILacGas118098_0008	10738	11598	+	861		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855594	VBILacGas118098_0009	11604	12281	+	678		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855595	VBILacGas118098_0009	11604	12281	+	678		D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855596	VBILacGas118098_0010	12314	13240	+	927		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855597	VBILacGas118098_0010	12314	13240	+	927		D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855599	VBILacGas118098_0011	13522	15198	+	1677		Arginyl-tRNA synthetase (EC 6.1.1.19)
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855598	VBILacGas118098_0011	13522	15198	+	1677		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855601	VBILacGas118098_0012	15310	16227	+	918		Fructose-bisphosphate aldolase class II (EC 4.1.2.13)
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855600	VBILacGas118098_0012	15310	16227	+	918		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855603	VBILacGas118098_0013	16297	16614	+	318		FIG00748131: hypothetical protein
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855602	VBILacGas118098_0013	16297	16614	+	318		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855605	VBILacGas118098_0014	16663	17088	+	426		Histone acetyltransferase HPA2 and related acetyltransferases
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855604	VBILacGas118098_0014	16663	17088	+	426		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855607	VBILacGas118098_0015	17112	17444	+	333		FIG00746317: hypothetical protein
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855606	VBILacGas118098_0015	17112	17444	+	333		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855608	VBILacGas118098_0016	17881	18417	+	537		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855609	VBILacGas118098_0016	17881	18417	+	537		Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855611	VBILacGas118098_0017	18429	19097	+	669		contains glutamine amidotransferase class-I domain
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855610	VBILacGas118098_0017	18429	19097	+	669		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855612	VBILacGas118098_0018	19173	19805	+	633		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855613	VBILacGas118098_0018	19173	19805	+	633		contains predicted nucleoside-diphosphate-sugar epimerase domain
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855615	VBILacGas118098_0019	19862	20320	-	459		Free methionine-(R)-sulfoxide reductase, contains GAF domain
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855614	VBILacGas118098_0019	19862	20320	-	459		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855616	VBILacGas118098_0020	20529	21524	+	996		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855617	VBILacGas118098_0020	20529	21524	+	996		FIG00743879: hypothetical protein
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855618	VBILacGas118098_0021	21578	22153	+	576		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855619	VBILacGas118098_0021	21578	22153	+	576		DNA-3-methyladenine glycosylase (EC 3.2.2.20)
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855620	VBILacGas118098_0022	22153	23091	+	939		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855621	VBILacGas118098_0022	22153	23091	+	939		Malate permease
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855623	VBILacGas118098_0023	23118	23900	+	783		Predicted metal-dependent membrane protease
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855622	VBILacGas118098_0023	23118	23900	+	783		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855625	VBILacGas118098_0024	23940	24695	-	756		Glycerol uptake facilitator protein
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855624	VBILacGas118098_0024	23940	24695	-	756		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855627	VBILacGas118098_0025	24896	26374	+	1479		Multidrug transporter
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855626	VBILacGas118098_0025	24896	26374	+	1479		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855629	VBILacGas118098_0026	26480	27925	+	1446		Multidrug transporter
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855628	VBILacGas118098_0026	26480	27925	+	1446		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855630	VBILacGas118098_pg001	26534	27952	+	1419		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855632	VBILacGas118098_0027	27988	28383	-	396		Transcriptional regulator, TetR family
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855631	VBILacGas118098_0027	27988	28383	-	396		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855634	VBILacGas118098_0028	28617	30389	+	1773		myosin-crossreactive antigen
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855633	VBILacGas118098_0028	28617	30389	+	1773		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855636	VBILacGas118098_0029	30631	31065	+	435		FIG00742699: hypothetical protein
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	gene	51855635	VBILacGas118098_0029	30631	31065	+	435		
Lactobacillus gasseri SV-16A-US	ADDY01000001	PATRIC	CDS	51855638	VBILacGas118098_0030	31157	31339	-	183		transposase IS1201
