GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	source	37005995		1	1055822	+	1055822		
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	CDS	37005997	VBILacPar51859_0001	151	693	+	543		FIG00743311: hypothetical protein
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	gene	37005996	VBILacPar51859_0001	151	693	+	543		
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	CDS	37005999	VBILacPar51859_0002	846	1358	-	513		FIG00742223: hypothetical protein
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	gene	37005998	VBILacPar51859_0002	846	1358	-	513		
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	gene	37006000	VBILacPar51859_0003	1397	2035	-	639		
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	CDS	37006001	VBILacPar51859_0003	1397	2035	-	639		Rrf2-linked NADH-flavin reductase
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	gene	37006002	VBILacPar51859_r001	2210	2281	+	72		
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	tRNA	37006003	VBILacPar51859_r001	2210	2281	+	72		tRNA-Glu-TTC
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	gene	37006004	VBILacPar51859_0473	2790	3959	-	1170		
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	CDS	37006005	VBILacPar51859_0473	2790	3959	-	1170		Phage integrase
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	CDS	37006007	VBILacPar51859_0474	4130	4720	-	591		hypothetical protein
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	gene	37006006	VBILacPar51859_0474	4130	4720	-	591		
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	CDS	37006009	VBILacPar51859_0475	4786	5556	-	771		putative repressor protein
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	gene	37006008	VBILacPar51859_0475	4786	5556	-	771		
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	CDS	37006011	VBILacPar51859_0476	6031	6774	+	744		Phage anti-repressor protein
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	gene	37006010	VBILacPar51859_0476	6031	6774	+	744		
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	gene	37006012	VBILacPar51859_0477	6788	7060	+	273		
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	CDS	37006013	VBILacPar51859_0477	6788	7060	+	273		FIG00752938: hypothetical protein
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	CDS	37006015	VBILacPar51859_0478	7057	7584	+	528		prophage ps2 protein 16
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	gene	37006014	VBILacPar51859_0478	7057	7584	+	528		
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	CDS	37006017	VBILacPar51859_0479	8060	8212	+	153		unknown
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	gene	37006016	VBILacPar51859_0479	8060	8212	+	153		
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	CDS	37006019	VBILacPar51859_0480	8217	8420	+	204		Hypothetical protein
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	gene	37006018	VBILacPar51859_0480	8217	8420	+	204		
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	CDS	37006021	VBILacPar51859_0481	8438	8929	+	492		hypothetical protein
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	gene	37006020	VBILacPar51859_0481	8438	8929	+	492		
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	gene	37006022	VBILacPar51859_0482	8939	9661	+	723		
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	CDS	37006023	VBILacPar51859_0482	8939	9661	+	723		Phage DNA-binding protein
Lactobacillus paracasei subsp. paracasei ATCC 25302	NZ_GG670152	PATRIC	gene	37006024	VBILacPar51859_0483	9624	11000	+	1377		
