GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	source	27436959		1	536643	+	536643		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	CDS	27436961	VBILacJen42595_0001	87	563	-	477		Translation initiation factor 3
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27436960	VBILacJen42595_0001	87	563	-	477		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27436962	VBILacJen42595_0002	825	2756	-	1932		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	CDS	27436963	VBILacJen42595_0002	825	2756	-	1932		Threonyl-tRNA synthetase (EC 6.1.1.3)
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27436964	VBILacJen42595_0003	3048	5003	-	1956		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	CDS	27436965	VBILacJen42595_0003	3048	5003	-	1956		endopeptidase O
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	CDS	27436967	VBILacJen42595_0004	5026	5940	-	915		Helicase loader DnaI
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27436966	VBILacJen42595_0004	5026	5940	-	915		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	CDS	27436969	VBILacJen42595_0005	5944	7287	-	1344		Helicase loader DnaB
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27436968	VBILacJen42595_0005	5944	7287	-	1344		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	CDS	27436971	VBILacJen42595_0006	7304	7771	-	468		Ribonucleotide reductase transcriptional regulator NrdR
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27436970	VBILacJen42595_0006	7304	7771	-	468		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	CDS	27436973	VBILacJen42595_0007	7749	8363	-	615		Dephospho-CoA kinase (EC 2.7.1.24)
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27436972	VBILacJen42595_0007	7749	8363	-	615		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	CDS	27436975	VBILacJen42595_0008	8363	9190	-	828		Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27436974	VBILacJen42595_0008	8363	9190	-	828		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27436976	VBILacJen42595_0009	9203	11860	-	2658		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	CDS	27436977	VBILacJen42595_0009	9203	11860	-	2658		DNA polymerase I (EC 2.7.7.7)
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27436978	VBILacJen42595_0010	11964	13271	-	1308		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	CDS	27436979	VBILacJen42595_0010	11964	13271	-	1308		UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27436980	VBILacJen42595_0011	13368	15443	-	2076		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	CDS	27436981	VBILacJen42595_0011	13368	15443	-	2076		Lipoteichoic acid synthase LtaS Type IIa
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	CDS	27436983	VBILacJen42595_0012	15537	16544	-	1008		Integral membrane protein LafC, accessory function in glycolipid and LTA synthesis
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27436982	VBILacJen42595_0012	15537	16544	-	1008		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	CDS	27436985	VBILacJen42595_0013	16541	17587	-	1047		Glycosyltransferase LafB, responsible for the formation of Gal-Glc-DAG
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27436984	VBILacJen42595_0013	16541	17587	-	1047		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	CDS	27436987	VBILacJen42595_0014	17580	18746	-	1167		Glycosyltransferase LafA, responsible for the formation of Glc-DAG
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27436986	VBILacJen42595_0014	17580	18746	-	1167		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27436988	VBILacJen42595_r001	18848	18931	-	84		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	tRNA	27436989	VBILacJen42595_r001	18848	18931	-	84		tRNA-Leu-CAA
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27436990	VBILacJen42595_r002	18959	19029	-	71		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	tRNA	27436991	VBILacJen42595_r002	18959	19029	-	71		tRNA-Cys-GCA
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	tRNA	27436993	VBILacJen42595_r003	19079	19154	-	76		tRNA-His-GTG
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27436992	VBILacJen42595_r003	19079	19154	-	76		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	tRNA	27436995	VBILacJen42595_r004	19168	19238	-	71		tRNA-Trp-CCA
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27436994	VBILacJen42595_r004	19168	19238	-	71		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27436996	VBILacJen42595_r005	19243	19324	-	82		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	tRNA	27436997	VBILacJen42595_r005	19243	19324	-	82		tRNA-Tyr-GTA
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27436998	VBILacJen42595_r006	19334	19406	-	73		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	tRNA	27436999	VBILacJen42595_r006	19334	19406	-	73		tRNA-Phe-GAA
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27437000	VBILacJen42595_r007	19412	19485	-	74		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	tRNA	27437001	VBILacJen42595_r007	19412	19485	-	74		tRNA-Asp-GTC
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	tRNA	27437003	VBILacJen42595_r008	19489	19564	-	76		tRNA-Met-CAT
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27437002	VBILacJen42595_r008	19489	19564	-	76		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	tRNA	27437005	VBILacJen42595_r009	19575	19665	-	91		tRNA-Ser-TGA
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27437004	VBILacJen42595_r009	19575	19665	-	91		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	tRNA	27437007	VBILacJen42595_r010	19703	19773	-	71		tRNA-Undet-???
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27437006	VBILacJen42595_r010	19703	19773	-	71		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27437008	VBILacJen42595_0202	20344	23082	-	2739		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	CDS	27437009	VBILacJen42595_0202	20344	23082	-	2739		FIG00749726: hypothetical protein
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	CDS	27437011	VBILacJen42595_0203	23279	24217	+	939		Transcription regulator [contains diacylglycerol kinase catalytic domain]
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27437010	VBILacJen42595_0203	23279	24217	+	939		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27437012	VBILacJen42595_0204	24387	24734	+	348		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	CDS	27437013	VBILacJen42595_0204	24387	24734	+	348		FIG00746844: hypothetical protein
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	CDS	27437015	VBILacJen42595_0205	24745	25650	+	906		Mobile element protein
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27437014	VBILacJen42595_0205	24745	25650	+	906		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27437016	VBILacJen42595_r014	25763	25852	-	90		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	tRNA	27437017	VBILacJen42595_r014	25763	25852	-	90		tRNA-Ser-GCT
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27437018	VBILacJen42595_r015	25856	25929	-	74		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	tRNA	27437019	VBILacJen42595_r015	25856	25929	-	74		tRNA-Ile-GAT
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27437020	VBILacJen42595_r016	25935	26005	-	71		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	tRNA	27437021	VBILacJen42595_r016	25935	26005	-	71		tRNA-Gly-TCC
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	tRNA	27437023	VBILacJen42595_r017	26026	26098	-	73		tRNA-Phe-GAA
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27437022	VBILacJen42595_r017	26026	26098	-	73		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	tRNA	27437025	VBILacJen42595_r018	26106	26179	-	74		tRNA-Asp-GTC
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27437024	VBILacJen42595_r018	26106	26179	-	74		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27437026	VBILacJen42595_r019	26183	26257	-	75		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	tRNA	27437027	VBILacJen42595_r019	26183	26257	-	75		tRNA-Met-CAT
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27437028	VBILacJen42595_r020	26294	26367	-	74		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	tRNA	27437029	VBILacJen42595_r020	26294	26367	-	74		tRNA-Met-CAT
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27437030	VBILacJen42595_r021	26378	26451	-	74		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	tRNA	27437031	VBILacJen42595_r021	26378	26451	-	74		tRNA-Met-CAT
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27437032	VBILacJen42595_r022	26484	26557	-	74		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	tRNA	27437033	VBILacJen42595_r022	26484	26557	-	74		tRNA-Pro-TGG
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	tRNA	27437035	VBILacJen42595_r023	26562	26635	-	74		tRNA-Arg-ACG
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	gene	27437034	VBILacJen42595_r023	26562	26635	-	74		
Lactobacillus jensenii 1153	NZ_DS995843	PATRIC	tRNA	27437037	VBILacJen42595_r024	26645	26730	-	86		tRNA-Leu-TAA
