GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus buchneri CD034	CP003043	PATRIC	source	102032146		1	2500564	+	2500564		
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032147	VBILacBuc228279_0001	263	1612	+	1350		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032148	VBILacBuc228279_0001	263	1612	+	1350		Chromosomal replication initiator protein DnaA
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032149	VBILacBuc228279_0002	1802	2941	+	1140		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032150	VBILacBuc228279_0002	1802	2941	+	1140		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032152	VBILacBuc228279_0003	3233	3475	+	243		FIG002958: hypothetical protein
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032151	VBILacBuc228279_0003	3233	3475	+	243		
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032153	VBILacBuc228279_0004	3472	4590	+	1119		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032154	VBILacBuc228279_0004	3472	4590	+	1119		DNA recombination and repair protein RecF
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032155	VBILacBuc228279_0005	4606	6549	+	1944		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032156	VBILacBuc228279_0005	4606	6549	+	1944		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032158	VBILacBuc228279_0006	6624	9176	+	2553		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032157	VBILacBuc228279_0006	6624	9176	+	2553		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032160	VBILacBuc228279_0007	9363	10472	+	1110		Lactate 2-monooxygenase (EC 1.13.12.4)
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032159	VBILacBuc228279_0007	9363	10472	+	1110		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032162	VBILacBuc228279_0008	10678	10869	-	192		hypothetical protein
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032161	VBILacBuc228279_0008	10678	10869	-	192		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032164	VBILacBuc228279_0009	11271	11567	+	297		SSU ribosomal protein S6p
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032163	VBILacBuc228279_0009	11271	11567	+	297		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032166	VBILacBuc228279_0010	11602	12168	+	567		Single-stranded DNA-binding protein
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032165	VBILacBuc228279_0010	11602	12168	+	567		
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032167	VBILacBuc228279_0011	12205	12444	+	240		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032168	VBILacBuc228279_0011	12205	12444	+	240		SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032169	VBILacBuc228279_0012	12546	13946	-	1401		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032170	VBILacBuc228279_0012	12546	13946	-	1401		Predicted tyrosine transporter, NhaC family
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032172	VBILacBuc228279_0013	14592	15983	+	1392		D-serine/D-alanine/glycine transporter
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032171	VBILacBuc228279_0013	14592	15983	+	1392		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032174	VBILacBuc228279_0014	16179	18191	+	2013		Phosphoesterase, DHH family protein
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032173	VBILacBuc228279_0014	16179	18191	+	2013		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032176	VBILacBuc228279_0015	18231	18683	+	453		LSU ribosomal protein L9p
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032175	VBILacBuc228279_0015	18231	18683	+	453		
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032177	VBILacBuc228279_0016	18843	20225	+	1383		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032178	VBILacBuc228279_0016	18843	20225	+	1383		Replicative DNA helicase (EC 3.6.1.-) [SA14-24]
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032179	VBILacBuc228279_0017	20421	21725	-	1305		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032180	VBILacBuc228279_0017	20421	21725	-	1305		Predicted membrane protein
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032182	VBILacBuc228279_0018	21871	22533	+	663		Transcriptional regulator, TetR family
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032181	VBILacBuc228279_0018	21871	22533	+	663		
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032183	VBILacBuc228279_r001	22643	22715	-	73		
Lactobacillus buchneri CD034	CP003043	PATRIC	tRNA	102032184	VBILacBuc228279_r001	22643	22715	-	73		tRNA-Lys-CTT
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032185	VBILacBuc228279_0019	22879	23595	+	717		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032186	VBILacBuc228279_0019	22879	23595	+	717		Two-component response regulator SA14-24
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032188	VBILacBuc228279_0020	23634	25487	+	1854		Two-component sensor kinase SA14-24
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032187	VBILacBuc228279_0020	23634	25487	+	1854		
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032189	VBILacBuc228279_0021	25477	26775	+	1299		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032190	VBILacBuc228279_0021	25477	26775	+	1299		FIG011501: YycH protein
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032191	VBILacBuc228279_0022	26792	27622	+	831		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032192	VBILacBuc228279_0022	26792	27622	+	831		hypothetical protein SA_21
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032194	VBILacBuc228279_0023	27643	28446	+	804		Zn-dependent hydrolase (beta-lactamase superfamily)
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032193	VBILacBuc228279_0023	27643	28446	+	804		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032196	VBILacBuc228279_0024	28539	29798	+	1260		Serine protease, DegP/HtrA, do-like (EC 3.4.21.-)
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032195	VBILacBuc228279_0024	28539	29798	+	1260		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032198	VBILacBuc228279_0025	29985	32162	+	2178		hypothetical protein
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032197	VBILacBuc228279_0025	29985	32162	+	2178		
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032199	VBILacBuc228279_0026	32318	32473	-	156		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032200	VBILacBuc228279_0026	32318	32473	-	156		hypothetical protein
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032202	VBILacBuc228279_0027	32968	33447	+	480		LSU m3Psi1915 methyltransferase RlmH
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032201	VBILacBuc228279_0027	32968	33447	+	480		
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032203	VBILacBuc228279_0028	33537	34544	-	1008		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032204	VBILacBuc228279_0028	33537	34544	-	1008		2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45)
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032205	VBILacBuc228279_0029	34560	34862	-	303		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032206	VBILacBuc228279_0029	34560	34862	-	303		hypothetical protein
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032207	VBILacBuc228279_0030	34867	35283	-	417		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032208	VBILacBuc228279_0030	34867	35283	-	417		Transcriptional regulator, MarR family
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032209	VBILacBuc228279_0031	35404	36369	-	966		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032210	VBILacBuc228279_0031	35404	36369	-	966		Glyoxylate reductase (EC 1.1.1.79) / Glyoxylate reductase (EC 1.1.1.26) / Hydroxypyruvate reductase (EC 1.1.1.81)
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032211	VBILacBuc228279_0032	36470	36871	+	402		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032212	VBILacBuc228279_0032	36470	36871	+	402		Transcriptional regulator, HxlR family
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032213	VBILacBuc228279_0033	36989	37576	+	588		
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032214	VBILacBuc228279_0033	36989	37576	+	588		hypothetical protein
Lactobacillus buchneri CD034	CP003043	PATRIC	CDS	102032216	VBILacBuc228279_0034	37662	38429	+	768		3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032215	VBILacBuc228279_0034	37662	38429	+	768		
Lactobacillus buchneri CD034	CP003043	PATRIC	gene	102032217	VBILacBuc228279_0035	38536	39000	+	465		
