GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus helveticus R0052	AEIR01000001	PATRIC	source	77120488		1	42573	+	42573		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120490	VBILacHel172560_0001	16	213	+	198		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120489	VBILacHel172560_0001	16	213	+	198		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120491	VBILacHel172560_0002	505	813	-	309		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120492	VBILacHel172560_0002	505	813	-	309		FIG00750460: hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120496	VBILacHel172560_0003	942	1739	-	798		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120494	VBILacHel172560_pg001	942	1918	-	977		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120495	VBILacHel172560_0003	942	1739	-	798		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120493	VBILacHel172560_pg002	942	2110	-	1169		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120497	VBILacHel172560_0004	1721	2110	-	390		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120498	VBILacHel172560_0004	1721	2110	-	390		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120500	VBILacHel172560_0005	2264	4120	-	1857		Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120499	VBILacHel172560_0005	2264	4120	-	1857		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120501	VBILacHel172560_0006	4252	4722	-	471		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120502	VBILacHel172560_0006	4252	4722	-	471		CBS domain protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120503	VBILacHel172560_0007	5296	6432	+	1137		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120504	VBILacHel172560_0007	5296	6432	+	1137		FIG00742425: hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120505	VBILacHel172560_0008	6513	6653	+	141		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120506	VBILacHel172560_0008	6513	6653	+	141		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120507	VBILacHel172560_0009	7295	7423	+	129		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120508	VBILacHel172560_0009	7295	7423	+	129		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120510	VBILacHel172560_0010	7413	7589	+	177		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120509	VBILacHel172560_0010	7413	7589	+	177		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120512	VBILacHel172560_0011	7640	8617	+	978		D-alanine--poly(phosphoribitol) ligase subunit 1 (EC 6.1.1.13)
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120511	VBILacHel172560_0011	7640	8617	+	978		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120514	VBILacHel172560_0012	8617	9855	+	1239		D-alanyl transfer protein DltB
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120513	VBILacHel172560_0012	8617	9855	+	1239		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120515	VBILacHel172560_0013	9914	10153	+	240		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120516	VBILacHel172560_0013	9914	10153	+	240		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120518	VBILacHel172560_0014	10146	11432	+	1287		Poly(glycerophosphate chain) D-alanine transfer protein DltD
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120517	VBILacHel172560_0014	10146	11432	+	1287		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120520	VBILacHel172560_0015	11432	12376	+	945		Penicillin-binding protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120519	VBILacHel172560_0015	11432	12376	+	945		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120521	VBILacHel172560_0016	12588	12923	+	336		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120522	VBILacHel172560_0016	12588	12923	+	336		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120524	VBILacHel172560_0017	13224	13361	+	138		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120523	VBILacHel172560_0017	13224	13361	+	138		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120525	VBILacHel172560_0018	13426	13542	+	117		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120526	VBILacHel172560_0018	13426	13542	+	117		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120528	VBILacHel172560_0019	13740	13946	+	207		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120527	VBILacHel172560_0019	13740	13946	+	207		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120530	VBILacHel172560_0020	13951	14358	+	408		FIG00753712: hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120529	VBILacHel172560_0020	13951	14358	+	408		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120532	VBILacHel172560_0021	15077	15751	+	675		FIG00747855: hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120531	VBILacHel172560_0021	15077	15751	+	675		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120534	VBILacHel172560_0022	15846	16808	-	963		Lysin
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120533	VBILacHel172560_0022	15846	16808	-	963		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120535	VBILacHel172560_0023	17367	18698	+	1332		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120536	VBILacHel172560_0023	17367	18698	+	1332		Membrane protein involved in the export of O-antigen, teichoic acid lipoteichoic acids
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120538	VBILacHel172560_0024	18737	18973	-	237		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120537	VBILacHel172560_0024	18737	18973	-	237		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120541	VBILacHel172560_0025	19020	19214	-	195		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120539	VBILacHel172560_pg003	19020	21544	-	2525		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120540	VBILacHel172560_0025	19020	19214	-	195		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120542	VBILacHel172560_0026	19168	20067	-	900		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120543	VBILacHel172560_0026	19168	20067	-	900		ABC transporter permease protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120544	VBILacHel172560_0027	20638	20826	-	189		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120545	VBILacHel172560_0027	20638	20826	-	189		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120547	VBILacHel172560_0028	21125	21544	-	420		ABC transporter permease protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120546	VBILacHel172560_0028	21125	21544	-	420		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120550	VBILacHel172560_0029	21570	21791	-	222		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120549	VBILacHel172560_0029	21570	21791	-	222		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120548	VBILacHel172560_pg004	21570	22274	-	705		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120551	VBILacHel172560_0030	21784	21924	-	141		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120552	VBILacHel172560_0030	21784	21924	-	141		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120554	VBILacHel172560_0031	22050	22274	-	225		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120553	VBILacHel172560_0031	22050	22274	-	225		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120556	VBILacHel172560_0032	22441	23688	+	1248		PTS system, cellobiose-specific IIC component
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120555	VBILacHel172560_0032	22441	23688	+	1248		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120557	VBILacHel172560_0033	23657	24580	+	924		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120558	VBILacHel172560_0033	23657	24580	+	924		cell surface hydrolase (putative)
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120559	VBILacHel172560_0034	24844	26988	+	2145		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120560	VBILacHel172560_0034	24844	26988	+	2145		ATP-dependent Clp protease ATP-binding subunit ClpA
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120562	VBILacHel172560_0035	27096	27737	+	642		Signal peptidase I (EC 3.4.21.89)
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120561	VBILacHel172560_0035	27096	27737	+	642		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120564	VBILacHel172560_0036	27831	28583	+	753		FIG00742935: hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120563	VBILacHel172560_0036	27831	28583	+	753		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120565	VBILacHel172560_0037	28687	30039	+	1353		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120566	VBILacHel172560_0037	28687	30039	+	1353		D-serine/D-alanine/glycine transporter
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120567	VBILacHel172560_0038	30085	31458	+	1374		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120568	VBILacHel172560_0038	30085	31458	+	1374		amino acid permease
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120569	VBILacHel172560_0039	31770	32498	+	729		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120570	VBILacHel172560_0039	31770	32498	+	729		Glutamine amidotransferase, class I
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120571	VBILacHel172560_0040	32510	33901	+	1392		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120572	VBILacHel172560_0040	32510	33901	+	1392		contains amino acid permease domain
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120573	VBILacHel172560_pg005	34663	35268	-	606		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120575	VBILacHel172560_0041	34717	35895	-	1179		Mobile element protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120574	VBILacHel172560_0041	34717	35895	-	1179		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120577	VBILacHel172560_0042	36034	36306	+	273		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120576	VBILacHel172560_0042	36034	36306	+	273		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120579	VBILacHel172560_0043	36361	37092	+	732		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120578	VBILacHel172560_0043	36361	37092	+	732		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120581	VBILacHel172560_0044	37089	37805	+	717		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120580	VBILacHel172560_0044	37089	37805	+	717		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120583	VBILacHel172560_0045	38264	38395	+	132		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120582	VBILacHel172560_0045	38264	38395	+	132		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120585	VBILacHel172560_0046	38472	39095	+	624		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120586	VBILacHel172560_0046	38472	39095	+	624		Mobile element protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120584	VBILacHel172560_pg006	38472	39298	+	827		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120587	VBILacHel172560_0047	39101	39298	+	198		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120588	VBILacHel172560_0047	39101	39298	+	198		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120590	VBILacHel172560_0048	39442	39600	+	159		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120589	VBILacHel172560_0048	39442	39600	+	159		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120592	VBILacHel172560_0049	39601	40407	+	807		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120591	VBILacHel172560_0049	39601	40407	+	807		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120593	VBILacHel172560_0050	40409	41404	+	996		
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120594	VBILacHel172560_0050	40409	41404	+	996		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	CDS	77120596	VBILacHel172560_0051	41738	42295	+	558		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000001	PATRIC	gene	77120595	VBILacHel172560_0051	41738	42295	+	558		
Lactobacillus helveticus R0052	AEIR01000002	PATRIC	source	77120597		1	642	+	642		
Lactobacillus helveticus R0052	AEIR01000002	PATRIC	gene	77120598	VBILacHel172560_0052	98	325	+	228		
Lactobacillus helveticus R0052	AEIR01000002	PATRIC	CDS	77120599	VBILacHel172560_0052	98	325	+	228		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000003	PATRIC	source	77120600		1	1326293	+	1326293		
Lactobacillus helveticus R0052	AEIR01000003	PATRIC	gene	77120601	VBILacHel172560_0053	63	176	+	114		
Lactobacillus helveticus R0052	AEIR01000003	PATRIC	CDS	77120602	VBILacHel172560_0053	63	176	+	114		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000003	PATRIC	gene	77120603	VBILacHel172560_0054	537	1508	+	972		
Lactobacillus helveticus R0052	AEIR01000003	PATRIC	CDS	77120604	VBILacHel172560_0054	537	1508	+	972		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000003	PATRIC	CDS	77120606	VBILacHel172560_0055	1631	1765	+	135		hypothetical protein
Lactobacillus helveticus R0052	AEIR01000003	PATRIC	gene	77120605	VBILacHel172560_0055	1631	1765	+	135		
Lactobacillus helveticus R0052	AEIR01000003	PATRIC	gene	77120607	VBILacHel172560_0056	2229	3242	-	1014		
Lactobacillus helveticus R0052	AEIR01000003	PATRIC	CDS	77120608	VBILacHel172560_0056	2229	3242	-	1014		Aspartate--ammonia ligase (EC 6.3.1.1)
Lactobacillus helveticus R0052	AEIR01000003	PATRIC	gene	77120609	VBILacHel172560_0057	3677	4732	+	1056		
Lactobacillus helveticus R0052	AEIR01000003	PATRIC	CDS	77120610	VBILacHel172560_0057	3677	4732	+	1056		Outer surface protein of unknown function, cellobiose operon
Lactobacillus helveticus R0052	AEIR01000003	PATRIC	tRNA	77120612	VBILacHel172560_r001	4814	4887	-	74		tRNA-Pro-TGG
Lactobacillus helveticus R0052	AEIR01000003	PATRIC	gene	77120611	VBILacHel172560_r001	4814	4887	-	74		
Lactobacillus helveticus R0052	AEIR01000003	PATRIC	gene	77120613	VBILacHel172560_r002	4896	4969	-	74		
Lactobacillus helveticus R0052	AEIR01000003	PATRIC	tRNA	77120614	VBILacHel172560_r002	4896	4969	-	74		tRNA-Arg-ACG
Lactobacillus helveticus R0052	AEIR01000003	PATRIC	gene	77120615	VBILacHel172560_0058	5169	6161	-	993		
