GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus kisonensis F0435	AGRJ01000001	PATRIC	source	72125039		1	2141	+	2141		
Lactobacillus kisonensis F0435	AGRJ01000001	PATRIC	gene	72125040	VBILacKis163084_0001	309	614	-	306		
Lactobacillus kisonensis F0435	AGRJ01000001	PATRIC	CDS	72125041	VBILacKis163084_0001	309	614	-	306		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000001	PATRIC	gene	72125042	VBILacKis163084_0002	580	726	-	147		
Lactobacillus kisonensis F0435	AGRJ01000001	PATRIC	CDS	72125043	VBILacKis163084_0002	580	726	-	147		replication protein
Lactobacillus kisonensis F0435	AGRJ01000001	PATRIC	gene	72125044	VBILacKis163084_0003	807	1007	-	201		
Lactobacillus kisonensis F0435	AGRJ01000001	PATRIC	CDS	72125045	VBILacKis163084_0003	807	1007	-	201		Protein rep (Replication protein)
Lactobacillus kisonensis F0435	AGRJ01000001	PATRIC	CDS	72125047	VBILacKis163084_0004	1026	1238	-	213		replication protein
Lactobacillus kisonensis F0435	AGRJ01000001	PATRIC	gene	72125046	VBILacKis163084_0004	1026	1238	-	213		
Lactobacillus kisonensis F0435	AGRJ01000001	PATRIC	CDS	72125049	VBILacKis163084_0005	1371	1487	-	117		replication protein
Lactobacillus kisonensis F0435	AGRJ01000001	PATRIC	gene	72125048	VBILacKis163084_0005	1371	1487	-	117		
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	source	72125050		1	12228	+	12228		
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	CDS	72125052	VBILacKis163084_0006	119	1078	+	960		Protein of unknown function DUF23
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	gene	72125051	VBILacKis163084_0006	119	1078	+	960		
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	CDS	72125054	VBILacKis163084_0007	1090	2415	+	1326		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	gene	72125053	VBILacKis163084_0007	1090	2415	+	1326		
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	gene	72125055	VBILacKis163084_0008	2391	3854	+	1464		
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	CDS	72125056	VBILacKis163084_0008	2391	3854	+	1464		polysaccharide biosynthesis protein
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	CDS	72125058	VBILacKis163084_0009	3857	5053	+	1197		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	gene	72125057	VBILacKis163084_0009	3857	5053	+	1197		
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	gene	72125059	VBILacKis163084_0010	5286	6155	+	870		
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	CDS	72125060	VBILacKis163084_0010	5286	6155	+	870		Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	CDS	72125062	VBILacKis163084_0011	6158	7780	+	1623		dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	gene	72125061	VBILacKis163084_0011	6158	7780	+	1623		
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	gene	72125064	VBILacKis163084_0012	7862	8257	+	396		
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	gene	72125063	VBILacKis163084_pg001	7862	8703	+	842		
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	CDS	72125065	VBILacKis163084_0012	7862	8257	+	396		dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	gene	72125066	VBILacKis163084_0013	8281	8703	+	423		
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	CDS	72125067	VBILacKis163084_0013	8281	8703	+	423		dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	CDS	72125069	VBILacKis163084_0014	9156	9716	+	561		Site-specific recombinase, DNA invertase Pin related protein
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	gene	72125068	VBILacKis163084_0014	9156	9716	+	561		
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	CDS	72125071	VBILacKis163084_0015	9857	10006	+	150		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	gene	72125070	VBILacKis163084_0015	9857	10006	+	150		
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	gene	72125072	VBILacKis163084_0016	10036	10545	+	510		
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	CDS	72125073	VBILacKis163084_0016	10036	10545	+	510		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	gene	72125074	VBILacKis163084_0017	10706	10834	-	129		
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	CDS	72125075	VBILacKis163084_0017	10706	10834	-	129		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	CDS	72125077	VBILacKis163084_0018	11253	11465	+	213		Pyridoxine 5'-phosphate oxidase V related favin-nucleotide-binding protein
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	gene	72125076	VBILacKis163084_0018	11253	11465	+	213		
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	gene	72125078	VBILacKis163084_0019	11836	12171	-	336		
Lactobacillus kisonensis F0435	AGRJ01000002	PATRIC	CDS	72125079	VBILacKis163084_0019	11836	12171	-	336		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000003	PATRIC	source	72125080		1	588	+	588		
Lactobacillus kisonensis F0435	AGRJ01000004	PATRIC	source	72125081		1	7281	+	7281		
Lactobacillus kisonensis F0435	AGRJ01000004	PATRIC	CDS	72125083	VBILacKis163084_0020	208	1035	-	828		NAD synthetase (EC 6.3.1.5)
Lactobacillus kisonensis F0435	AGRJ01000004	PATRIC	gene	72125082	VBILacKis163084_0020	208	1035	-	828		
Lactobacillus kisonensis F0435	AGRJ01000004	PATRIC	gene	72125084	VBILacKis163084_0021	1048	2505	-	1458		
Lactobacillus kisonensis F0435	AGRJ01000004	PATRIC	CDS	72125085	VBILacKis163084_0021	1048	2505	-	1458		Nicotinate phosphoribosyltransferase (EC 2.4.2.11)
Lactobacillus kisonensis F0435	AGRJ01000004	PATRIC	CDS	72125087	VBILacKis163084_0022	2629	3381	+	753		N-acetylmannosaminyltransferase (EC 2.4.1.187)
Lactobacillus kisonensis F0435	AGRJ01000004	PATRIC	gene	72125086	VBILacKis163084_0022	2629	3381	+	753		
Lactobacillus kisonensis F0435	AGRJ01000004	PATRIC	CDS	72125089	VBILacKis163084_0023	4117	4824	-	708		Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family
Lactobacillus kisonensis F0435	AGRJ01000004	PATRIC	gene	72125088	VBILacKis163084_0023	4117	4824	-	708		
Lactobacillus kisonensis F0435	AGRJ01000004	PATRIC	CDS	72125091	VBILacKis163084_0024	5200	5994	-	795		Pyrroline-5-carboxylate reductase (EC 1.5.1.2)
Lactobacillus kisonensis F0435	AGRJ01000004	PATRIC	gene	72125090	VBILacKis163084_0024	5200	5994	-	795		
Lactobacillus kisonensis F0435	AGRJ01000004	PATRIC	CDS	72125093	VBILacKis163084_0025	6435	6554	-	120		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000004	PATRIC	gene	72125092	VBILacKis163084_0025	6435	6554	-	120		
Lactobacillus kisonensis F0435	AGRJ01000004	PATRIC	gene	72125094	VBILacKis163084_0026	6624	7196	+	573		
Lactobacillus kisonensis F0435	AGRJ01000004	PATRIC	CDS	72125095	VBILacKis163084_0026	6624	7196	+	573		ABC-type cobalt transport system, permease component
Lactobacillus kisonensis F0435	AGRJ01000005	PATRIC	source	72125096		1	1624	+	1624		
Lactobacillus kisonensis F0435	AGRJ01000005	PATRIC	CDS	72125098	VBILacKis163084_0027	312	1220	-	909		Magnesium and cobalt transport protein CorA
Lactobacillus kisonensis F0435	AGRJ01000005	PATRIC	gene	72125097	VBILacKis163084_0027	312	1220	-	909		
Lactobacillus kisonensis F0435	AGRJ01000005	PATRIC	CDS	72125100	VBILacKis163084_0028	1377	1559	-	183		Manganese transport protein MntH
Lactobacillus kisonensis F0435	AGRJ01000005	PATRIC	gene	72125099	VBILacKis163084_0028	1377	1559	-	183		
Lactobacillus kisonensis F0435	AGRJ01000006	PATRIC	source	72125101		1	2135	+	2135		
Lactobacillus kisonensis F0435	AGRJ01000006	PATRIC	CDS	72125103	VBILacKis163084_0029	344	2089	+	1746		Phosphoglucomutase (EC 5.4.2.2)
Lactobacillus kisonensis F0435	AGRJ01000006	PATRIC	gene	72125102	VBILacKis163084_0029	344	2089	+	1746		
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	source	72125104		1	32437	+	32437		
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	gene	72125105	VBILacKis163084_0030	56	1081	+	1026		
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	CDS	72125106	VBILacKis163084_0030	56	1081	+	1026		Galactose operon repressor, GalR-LacI family of transcriptional regulators
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	CDS	72125108	VBILacKis163084_0031	1053	1892	-	840		Hypothetical protein DUF194, DegV family
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	gene	72125107	VBILacKis163084_0031	1053	1892	-	840		
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	gene	72125109	VBILacKis163084_0032	2037	2345	+	309		
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	CDS	72125110	VBILacKis163084_0032	2037	2345	+	309		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	gene	72125111	VBILacKis163084_0033	2465	4390	+	1926		
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	CDS	72125112	VBILacKis163084_0033	2465	4390	+	1926		FIG00743199: hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	gene	72125113	VBILacKis163084_0034	4846	5067	-	222		
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	CDS	72125114	VBILacKis163084_0034	4846	5067	-	222		FIG00743269: hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	gene	72125115	VBILacKis163084_0035	5154	5534	-	381		
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	CDS	72125116	VBILacKis163084_0035	5154	5534	-	381		Glycine cleavage system H protein
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	CDS	72125118	VBILacKis163084_0036	5615	6628	+	1014		Lipoate-protein ligase A
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	gene	72125117	VBILacKis163084_0036	5615	6628	+	1014		
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	gene	72125119	VBILacKis163084_0037	6872	11332	+	4461		
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	CDS	72125120	VBILacKis163084_0037	6872	11332	+	4461		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	CDS	72125122	VBILacKis163084_0038	11329	15120	+	3792		LPXTG-motif protein cell wall anchor domain protein
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	gene	72125121	VBILacKis163084_0038	11329	15120	+	3792		
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	gene	72125123	VBILacKis163084_0039	15686	22594	+	6909		
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	CDS	72125124	VBILacKis163084_0039	15686	22594	+	6909		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	gene	72125125	VBILacKis163084_0040	22703	23287	-	585		
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	CDS	72125126	VBILacKis163084_0040	22703	23287	-	585		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	CDS	72125128	VBILacKis163084_0041	24048	25079	+	1032		2-dehydropantoate 2-reductase (EC 1.1.1.169)
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	gene	72125127	VBILacKis163084_0041	24048	25079	+	1032		
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	CDS	72125130	VBILacKis163084_0042	25185	26111	-	927		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	gene	72125129	VBILacKis163084_0042	25185	26111	-	927		
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	CDS	72125132	VBILacKis163084_0043	26120	26593	-	474		RNA polymerase sigma factor, ECF subfamily
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	gene	72125131	VBILacKis163084_0043	26120	26593	-	474		
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	gene	72125133	VBILacKis163084_0044	26735	26998	+	264		
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	CDS	72125134	VBILacKis163084_0044	26735	26998	+	264		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	gene	72125135	VBILacKis163084_0045	27068	27184	+	117		
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	CDS	72125136	VBILacKis163084_0045	27068	27184	+	117		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	CDS	72125138	VBILacKis163084_0046	27468	28316	+	849		Putative ribose uptake protein RbsU, GRP transporter family (TC 2.A.7.5)
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	gene	72125137	VBILacKis163084_0046	27468	28316	+	849		
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	gene	72125139	VBILacKis163084_0047	28531	30117	+	1587		
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	CDS	72125140	VBILacKis163084_0047	28531	30117	+	1587		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	gene	72125141	VBILacKis163084_0048	30443	32053	+	1611		
Lactobacillus kisonensis F0435	AGRJ01000007	PATRIC	CDS	72125142	VBILacKis163084_0048	30443	32053	+	1611		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	source	72125143		1	45420	+	45420		
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	CDS	72125145	VBILacKis163084_0049	128	751	+	624		FIG00753890: hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	gene	72125144	VBILacKis163084_0049	128	751	+	624		
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	gene	72125147	VBILacKis163084_0050	1127	2836	-	1710		
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	gene	72125146	VBILacKis163084_pg002	1127	3007	-	1881		
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	CDS	72125148	VBILacKis163084_0050	1127	2836	-	1710		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	gene	72125149	VBILacKis163084_0051	2870	3007	-	138		
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	CDS	72125150	VBILacKis163084_0051	2870	3007	-	138		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	CDS	72125152	VBILacKis163084_0052	3032	3595	-	564		D-alanyl-D-alanine dipeptidase( EC:3.4.13.- )
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	gene	72125151	VBILacKis163084_0052	3032	3595	-	564		
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	CDS	72125154	VBILacKis163084_0053	3653	4300	-	648		YjeF protein, function unknown
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	gene	72125153	VBILacKis163084_0053	3653	4300	-	648		
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	gene	72125155	VBILacKis163084_0054	4784	5113	+	330		
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	CDS	72125156	VBILacKis163084_0054	4784	5113	+	330		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	tRNA	72125158	VBILacKis163084_r001	5165	5236	+	72		tRNA-Arg-TCG
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	gene	72125157	VBILacKis163084_r001	5165	5236	+	72		
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	gene	72125159	VBILacKis163084_0055	5307	6449	-	1143		
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	CDS	72125160	VBILacKis163084_0055	5307	6449	-	1143		prophage Lp3 protein 1, integrase
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	gene	72125161	VBILacKis163084_0056	6504	6683	-	180		
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	CDS	72125162	VBILacKis163084_0056	6504	6683	-	180		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	gene	72125163	VBILacKis163084_0057	7212	7406	+	195		
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	CDS	72125164	VBILacKis163084_0057	7212	7406	+	195		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	CDS	72125166	VBILacKis163084_0058	7406	7681	+	276		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	gene	72125165	VBILacKis163084_0058	7406	7681	+	276		
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	CDS	72125168	VBILacKis163084_0059	7725	7838	+	114		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	gene	72125167	VBILacKis163084_0059	7725	7838	+	114		
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	gene	72125169	VBILacKis163084_0060	7973	8221	+	249		
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	CDS	72125170	VBILacKis163084_0060	7973	8221	+	249		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	gene	72125171	VBILacKis163084_0061	8218	8997	+	780		
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	CDS	72125172	VBILacKis163084_0061	8218	8997	+	780		prophage Lp4 protein 7, DNA replication
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	CDS	72125174	VBILacKis163084_0062	9003	10613	+	1611		DNA primase/helicase, phage-associated
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	gene	72125173	VBILacKis163084_0062	9003	10613	+	1611		
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	gene	72125175	VBILacKis163084_0063	10927	11136	+	210		
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	CDS	72125176	VBILacKis163084_0063	10927	11136	+	210		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	CDS	72125178	VBILacKis163084_0064	11129	11581	+	453		hypothetical protein
Lactobacillus kisonensis F0435	AGRJ01000008	PATRIC	gene	72125177	VBILacKis163084_0064	11129	11581	+	453		
