GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	source	27431363		1	178892	+	178892		
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	gene	27431364	VBILacIne96327_0001	71	1018	+	948		
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	CDS	27431365	VBILacIne96327_0001	71	1018	+	948		Thioredoxin reductase (EC 1.8.1.9)
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	gene	27431366	VBILacIne96327_0002	1046	1690	+	645		
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	CDS	27431367	VBILacIne96327_0002	1046	1690	+	645		DedA protein
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	gene	27431368	VBILacIne96327_0003	1819	1989	-	171		
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	CDS	27431369	VBILacIne96327_0003	1819	1989	-	171		hypothetical protein
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	CDS	27431371	VBILacIne96327_0004	2238	2846	-	609		COG4478, integral membrane protein
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	gene	27431370	VBILacIne96327_0004	2238	2846	-	609		
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	CDS	27431373	VBILacIne96327_0005	2846	3625	-	780		Hypothetical NagD-like phosphatase
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	gene	27431372	VBILacIne96327_0005	2846	3625	-	780		
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	CDS	27431375	VBILacIne96327_0006	3628	4173	-	546		Hypothetical DUF1027 domain protein
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	gene	27431374	VBILacIne96327_0006	3628	4173	-	546		
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	gene	27431376	VBILacIne96327_0007	4174	4506	-	333		
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	CDS	27431377	VBILacIne96327_0007	4174	4506	-	333		FIG00742710: hypothetical protein
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	CDS	27431379	VBILacIne96327_0008	4614	5981	+	1368		Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	gene	27431378	VBILacIne96327_0008	4614	5981	+	1368		
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	gene	27431380	VBILacIne96327_0009	5996	7393	+	1398		
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	CDS	27431381	VBILacIne96327_0009	5996	7393	+	1398		Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	CDS	27431383	VBILacIne96327_0010	7473	8549	-	1077		Catabolite control protein A
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	gene	27431382	VBILacIne96327_0010	7473	8549	-	1077		
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	CDS	27431385	VBILacIne96327_0011	8623	9729	+	1107		Proline dipeptidase (EC 3.4.13.9)
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	gene	27431384	VBILacIne96327_0011	8623	9729	+	1107		
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	CDS	27431387	VBILacIne96327_0012	9782	10111	-	330		FIG01255542: hypothetical protein
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	gene	27431386	VBILacIne96327_0012	9782	10111	-	330		
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	gene	27431388	VBILacIne96327_0013	10126	10563	-	438		
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	CDS	27431389	VBILacIne96327_0013	10126	10563	-	438		General stress protein
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	CDS	27431391	VBILacIne96327_0014	10688	11533	+	846		Potassium efflux system KefA protein / Small-conductance mechanosensitive channel
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	gene	27431390	VBILacIne96327_0014	10688	11533	+	846		
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	CDS	27431393	VBILacIne96327_0015	11559	12179	-	621		Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	gene	27431392	VBILacIne96327_0015	11559	12179	-	621		
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	gene	27431394	VBILacIne96327_0016	12197	12982	-	786		
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	CDS	27431395	VBILacIne96327_0016	12197	12982	-	786		Glutamate racemase (EC 5.1.1.3)
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	gene	27431396	VBILacIne96327_0017	13078	13476	+	399		
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	CDS	27431397	VBILacIne96327_0017	13078	13476	+	399		FIG008111: hypothetical protein
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	CDS	27431399	VBILacIne96327_0018	13603	13914	-	312		Thioredoxin
Lactobacillus iners DSM 13335	NZ_GG700801	PATRIC	gene	27431398	VBILacIne96327_0018	13603	13914	-	312		
