GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	source	41901136		1	1937622	+	1937622		
Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	gene	41901137	VBIPedAci166297_r001	127	3079	+	2953		
Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	rRNA	41901138	VBIPedAci166297_r001	127	3079	+	2953		Large Subunit Ribosomal RNA; lsuRNA; LSU rRNA
Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	gene	41901139	VBIPedAci166297_r002	3754	3826	+	73		
Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	41901140	VBIPedAci166297_r002	3754	3826	+	73		tRNA-Val-TAC
Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	41901142	VBIPedAci166297_r003	3834	3906	+	73		tRNA-Lys-TTT
Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	gene	41901141	VBIPedAci166297_r003	3834	3906	+	73		
Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	41901144	VBIPedAci166297_r004	3963	4035	+	73		tRNA-Thr-TGT
Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	gene	41901143	VBIPedAci166297_r004	3963	4035	+	73		
Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	gene	41901145	VBIPedAci166297_r005	4046	4117	+	72		
Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	41901146	VBIPedAci166297_r005	4046	4117	+	72		tRNA-Gly-GCC
Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	41901148	VBIPedAci166297_r006	4149	4234	+	86		tRNA-Leu-TAA
Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	gene	41901147	VBIPedAci166297_r006	4149	4234	+	86		
Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	41901150	VBIPedAci166297_r007	4243	4316	+	74		tRNA-Arg-ACG
Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	gene	41901149	VBIPedAci166297_r007	4243	4316	+	74		
Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	41901152	VBIPedAci166297_r008	4327	4400	+	74		tRNA-Pro-TGG
Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	gene	41901151	VBIPedAci166297_r008	4327	4400	+	74		
Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	gene	41901153	VBIPedAci166297_r009	4436	4509	+	74		
Pediococcus acidilactici DSM 20284	NZ_GL397067	PATRIC	tRNA	41901154	VBIPedAci166297_r009	4436	4509	+	74		tRNA-Met-CAT
