GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	source	43079283		1	2125753	+	2125753		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079284	VBILacDel160915_0001	104	1468	+	1365		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079285	VBILacDel160915_0001	104	1468	+	1365		Chromosomal replication initiator protein DnaA
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079286	VBILacDel160915_0002	1652	2779	+	1128		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079287	VBILacDel160915_0002	1652	2779	+	1128		DNA polymerase III beta subunit (EC 2.7.7.7)
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079289	VBILacDel160915_0003	3009	3233	+	225		FIG002958: hypothetical protein
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079288	VBILacDel160915_0003	3009	3233	+	225		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079290	VBILacDel160915_0004	3233	4378	+	1146		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079291	VBILacDel160915_0004	3233	4378	+	1146		DNA recombination and repair protein RecF
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079292	VBILacDel160915_0005	4362	6323	+	1962		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079293	VBILacDel160915_0005	4362	6323	+	1962		DNA gyrase subunit B (EC 5.99.1.3)
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079294	VBILacDel160915_0006	6336	8807	+	2472		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079295	VBILacDel160915_0006	6336	8807	+	2472		DNA gyrase subunit A (EC 5.99.1.3)
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079296	VBILacDel160915_0007	9023	9316	+	294		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079297	VBILacDel160915_0007	9023	9316	+	294		SSU ribosomal protein S6p
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079298	VBILacDel160915_0008	9357	9935	+	579		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079299	VBILacDel160915_0008	9357	9935	+	579		Single-stranded DNA-binding protein
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079300	VBILacDel160915_0009	9962	10198	+	237		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079301	VBILacDel160915_0009	9962	10198	+	237		SSU ribosomal protein S18p
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079302	VBILacDel160915_0010	10339	12360	+	2022		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079303	VBILacDel160915_0010	10339	12360	+	2022		Phosphoesterase, DHH family protein
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079304	VBILacDel160915_0011	12383	12838	+	456		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079305	VBILacDel160915_0011	12383	12838	+	456		LSU ribosomal protein L9p
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079306	VBILacDel160915_0012	12862	14232	+	1371		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079307	VBILacDel160915_0012	12862	14232	+	1371		Replicative DNA helicase (EC 3.6.1.-) [SA14-24]
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079309	VBILacDel160915_0013	14281	15438	-	1158		Esterase/lipase
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079308	VBILacDel160915_0013	14281	15438	-	1158		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079310	VBILacDel160915_0014	15709	16278	-	570		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079311	VBILacDel160915_0014	15709	16278	-	570		Mobile element protein
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079312	VBILacDel160915_0015	16796	17020	+	225		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079313	VBILacDel160915_0015	16796	17020	+	225		FIG00751001: hypothetical protein
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079314	VBILacDel160915_0016	17131	17835	-	705		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079315	VBILacDel160915_0016	17131	17835	-	705		Peptide transport system permease protein SapB
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	tRNA	43079317	VBILacDel160915_r001	17964	18036	+	73		tRNA-Thr-AGT
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079316	VBILacDel160915_r001	17964	18036	+	73		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079318	VBILacDel160915_0017	18228	18470	+	243		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079319	VBILacDel160915_0017	18228	18470	+	243		contains transcriptional regulator helix-turn-helix domain
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079321	VBILacDel160915_0018	18527	18688	+	162		hypothetical protein
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079320	VBILacDel160915_0018	18527	18688	+	162		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079322	VBILacDel160915_r002	18783	18855	+	73		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	tRNA	43079323	VBILacDel160915_r002	18783	18855	+	73		tRNA-Thr-AGT
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079325	VBILacDel160915_0019	18978	19424	+	447		Rrf2 family transcriptional regulator, group III
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079324	VBILacDel160915_0019	18978	19424	+	447		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079326	VBILacDel160915_0020	19402	20337	+	936		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079327	VBILacDel160915_0020	19402	20337	+	936		Quinone oxidoreductase (EC 1.6.5.5)
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079329	VBILacDel160915_0021	20502	21140	+	639		YbbL ABC transporter ATP-binding protein
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079328	VBILacDel160915_0021	20502	21140	+	639		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079330	VBILacDel160915_0022	21137	21904	+	768		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079331	VBILacDel160915_0022	21137	21904	+	768		YbbM seven transmembrane helix protein
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079333	VBILacDel160915_0023	22342	23496	-	1155		Alkaline phosphatase (EC 3.1.3.1)
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079332	VBILacDel160915_0023	22342	23496	-	1155		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079334	VBILacDel160915_0024	23757	24278	+	522		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079335	VBILacDel160915_0024	23757	24278	+	522		Histone acetyltransferase HPA2 and related acetyltransferases
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079336	VBILacDel160915_0025	24676	25509	+	834		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079337	VBILacDel160915_0025	24676	25509	+	834		Pyridoxal kinase (EC 2.7.1.35)
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079338	VBILacDel160915_pg001	24745	25555	+	811		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079340	VBILacDel160915_0026	25545	26102	+	558		Substrate-specific component PdxU of predicted pyridoxine ECF transporter
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079339	VBILacDel160915_0026	25545	26102	+	558		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079341	VBILacDel160915_0027	26129	28894	-	2766		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079342	VBILacDel160915_0027	26129	28894	-	2766		contains helicase conserved C-terminal domain
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079344	VBILacDel160915_0028	29047	29742	+	696		Predicted integral membrane protein
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079343	VBILacDel160915_0028	29047	29742	+	696		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079346	VBILacDel160915_0029	29864	30310	+	447		FIG00744510: hypothetical protein
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079345	VBILacDel160915_0029	29864	30310	+	447		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079347	VBILacDel160915_0030	30298	30417	+	120		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079348	VBILacDel160915_0030	30298	30417	+	120		FIG00748742: hypothetical protein
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079349	VBILacDel160915_0031	30401	30829	+	429		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079350	VBILacDel160915_0031	30401	30829	+	429		Rrf2 family transcriptional regulator, group III
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079351	VBILacDel160915_0032	30968	31813	+	846		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079352	VBILacDel160915_0032	30968	31813	+	846		Predicted nucleoside-diphosphate-sugar epimerase
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079353	VBILacDel160915_0033	31892	32080	+	189		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079354	VBILacDel160915_0033	31892	32080	+	189		4-oxalocrotonate tautomerase (EC 5.3.2.-); Xylose transport system permease protein xylH
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079355	VBILacDel160915_0034	32545	33117	+	573		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079356	VBILacDel160915_0034	32545	33117	+	573		FIG00744807: hypothetical protein
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079357	VBILacDel160915_r003	33574	35085	+	1512		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	rRNA	43079358	VBILacDel160915_r003	33574	35085	+	1512		Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	rRNA	43079360	VBILacDel160915_r004	35357	38265	+	2909		Large Subunit Ribosomal RNA; lsuRNA; LSU rRNA
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079359	VBILacDel160915_r004	35357	38265	+	2909		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079361	VBILacDel160915_r005	38337	38453	+	117		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	rRNA	43079362	VBILacDel160915_r005	38337	38453	+	117		5S RNA
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079364	VBILacDel160915_0035	39186	39311	+	126		Beta-glucosidase (EC 3.2.1.21)
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079363	VBILacDel160915_0035	39186	39311	+	126		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079365	VBILacDel160915_0036	39392	40354	+	963		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079366	VBILacDel160915_0036	39392	40354	+	963		Mannose-6-phosphate isomerase (EC 5.3.1.8)
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079368	VBILacDel160915_0037	40394	41269	+	876		Fructokinase (EC 2.7.1.4)
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079367	VBILacDel160915_0037	40394	41269	+	876		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079369	VBILacDel160915_0038	41829	42593	+	765		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079370	VBILacDel160915_0038	41829	42593	+	765		FIG00745761: hypothetical protein
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079371	VBILacDel160915_0039	42590	43372	+	783		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079372	VBILacDel160915_0039	42590	43372	+	783		FIG00743519: hypothetical protein
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079374	VBILacDel160915_0040	43423	43908	-	486		DNA-directed RNA polymerase specialized sigma subunit, sigma24-like
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079373	VBILacDel160915_0040	43423	43908	-	486		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079376	VBILacDel160915_0041	44024	44137	-	114		hypothetical protein
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079375	VBILacDel160915_0041	44024	44137	-	114		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079378	VBILacDel160915_0042	44397	45779	+	1383		FIG00744915: hypothetical protein
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079377	VBILacDel160915_0042	44397	45779	+	1383		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079379	VBILacDel160915_0043	46197	46919	-	723		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079380	VBILacDel160915_0043	46197	46919	-	723		Glycerol uptake facilitator protein
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079381	VBILacDel160915_0044	47207	47845	-	639		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079382	VBILacDel160915_0044	47207	47845	-	639		Sucrose operon repressor ScrR, LacI family
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079383	VBILacDel160915_0045	47864	48040	+	177		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079384	VBILacDel160915_0045	47864	48040	+	177		hypothetical protein
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079386	VBILacDel160915_0046	48171	48614	+	444		Sucrose phosphorylase (EC 2.4.1.7)
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079385	VBILacDel160915_0046	48171	48614	+	444		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079388	VBILacDel160915_0047	48618	49481	+	864		Sucrose phosphorylase (EC 2.4.1.7)
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079387	VBILacDel160915_0047	48618	49481	+	864		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079390	VBILacDel160915_0048	49814	51772	+	1959		hypothetical protein
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079389	VBILacDel160915_0048	49814	51772	+	1959		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079391	VBILacDel160915_0049	51772	52719	+	948		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079392	VBILacDel160915_0049	51772	52719	+	948		Bactoprenol glucosyl transferase (EC 2.4.1.-)
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079394	VBILacDel160915_0050	52914	54137	-	1224		Mobile element protein
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	gene	43079393	VBILacDel160915_0050	52914	54137	-	1224		
Lactobacillus delbrueckii subsp. bulgaricus ND02	CP002341	PATRIC	CDS	43079396	VBILacDel160915_0051	54524	54646	+	123		hypothetical protein
