GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	source	44989252		1	28564	+	28564		
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	CDS	44989254	VBILacIne173527_0001	1361	1918	-	558		Ribosomal subunit interface protein
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	gene	44989253	VBILacIne173527_0001	1361	1918	-	558		
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	gene	44989255	VBILacIne173527_0002	1999	2682	-	684		
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	CDS	44989256	VBILacIne173527_0002	1999	2682	-	684		Competence protein F homolog, phosphoribosyltransferase domain; protein YhgH required for utilization of DNA as sole source of carbon and energy
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	gene	44989257	VBILacIne173527_0003	2660	3949	-	1290		
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	CDS	44989258	VBILacIne173527_0003	2660	3949	-	1290		ComF operon protein A, DNA transporter ATPase
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	CDS	44989260	VBILacIne173527_0004	3991	4656	+	666		FIG000605: protein co-occurring with transport systems (COG1739)
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	gene	44989259	VBILacIne173527_0004	3991	4656	+	666		
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	CDS	44989262	VBILacIne173527_0005	4703	5839	-	1137		Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-)
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	gene	44989261	VBILacIne173527_0005	4703	5839	-	1137		
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	gene	44989263	VBILacIne173527_0006	5934	7565	-	1632		
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	CDS	44989264	VBILacIne173527_0006	5934	7565	-	1632		FIG002344: Hydrolase (HAD superfamily)
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	gene	44989265	VBILacIne173527_0007	7649	8686	-	1038		
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	CDS	44989266	VBILacIne173527_0007	7649	8686	-	1038		RecA protein
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	CDS	44989268	VBILacIne173527_0008	8809	9387	-	579		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	gene	44989267	VBILacIne173527_0008	8809	9387	-	579		
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	CDS	44989270	VBILacIne173527_0009	9390	10466	-	1077		Transcriptional regulator in cluster with unspecified monosaccharide ABC transport system
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	gene	44989269	VBILacIne173527_0009	9390	10466	-	1077		
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	gene	44989271	VBILacIne173527_0010	10575	11798	-	1224		
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	CDS	44989272	VBILacIne173527_0010	10575	11798	-	1224		FIG009210: peptidase, M16 family
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	CDS	44989274	VBILacIne173527_0011	11795	13009	-	1215		FIG001621: Zinc protease
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	gene	44989273	VBILacIne173527_0011	11795	13009	-	1215		
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	gene	44989275	VBILacIne173527_0012	13014	15278	-	2265		
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	CDS	44989276	VBILacIne173527_0012	13014	15278	-	2265		Cell division protein FtsK
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	CDS	44989278	VBILacIne173527_0013	15294	15701	-	408		FIG00742078: hypothetical protein
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	gene	44989277	VBILacIne173527_0013	15294	15701	-	408		
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	CDS	44989280	VBILacIne173527_0014	15712	16224	-	513		tRNA (cytosine34-2'-O-)-methyltransferase (EC 2.1.1.-)
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	gene	44989279	VBILacIne173527_0014	15712	16224	-	513		
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	CDS	44989282	VBILacIne173527_0015	16325	17467	-	1143		FIG00906412: hypothetical protein
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	gene	44989281	VBILacIne173527_0015	16325	17467	-	1143		
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	CDS	44989284	VBILacIne173527_0016	17477	17857	-	381		PTS system, glucitol/sorbitol-specific IIA component (EC 2.7.1.69)
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	gene	44989283	VBILacIne173527_0016	17477	17857	-	381		
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	gene	44989285	VBILacIne173527_0017	17993	19012	+	1020		
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	CDS	44989286	VBILacIne173527_0017	17993	19012	+	1020		6-phosphogluconolactonase (EC 3.1.1.31)
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	gene	44989287	VBILacIne173527_0018	19021	19854	+	834		
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	CDS	44989288	VBILacIne173527_0018	19021	19854	+	834		Undecaprenyl-diphosphatase (EC 3.6.1.27)
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	CDS	44989290	VBILacIne173527_0019	19894	20610	-	717		Similar to ribosomal large subunit pseudouridine synthase D, Bacillus subtilis YjbO type
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	gene	44989289	VBILacIne173527_0019	19894	20610	-	717		
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	gene	44989291	VBILacIne173527_0020	20789	21598	-	810		
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	CDS	44989292	VBILacIne173527_0020	20789	21598	-	810		NAD kinase (EC 2.7.1.23)
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	CDS	44989294	VBILacIne173527_0021	21595	22221	-	627		GTP pyrophosphokinase (EC 2.7.6.5)
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	gene	44989293	VBILacIne173527_0021	21595	22221	-	627		
Lactobacillus iners LEAF 3008A-a	NZ_AEKK01000001	PATRIC	gene	44989295	VBILacIne173527_0022	22299	22913	+	615		
