GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	source	68025238		1	32070	+	32070		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025239	VBILacSp145496_r001	64	137	+	74		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	tRNA	68025240	VBILacSp145496_r001	64	137	+	74		tRNA-Met-CAT
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	tRNA	68025242	VBILacSp145496_r002	140	212	+	73		tRNA-Asp-GTC
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025241	VBILacSp145496_r002	140	212	+	73		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	tRNA	68025244	VBILacSp145496_r003	219	291	+	73		tRNA-Phe-GAA
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025243	VBILacSp145496_r003	219	291	+	73		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	tRNA	68025246	VBILacSp145496_r004	305	375	+	71		tRNA-Gly-TCC
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025245	VBILacSp145496_r004	305	375	+	71		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	tRNA	68025248	VBILacSp145496_r005	382	455	+	74		tRNA-Ile-GAT
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025247	VBILacSp145496_r005	382	455	+	74		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	tRNA	68025250	VBILacSp145496_r006	458	547	+	90		tRNA-Pseudo-GCT
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025249	VBILacSp145496_r006	458	547	+	90		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025251	VBILacSp145496_0001	710	1057	+	348		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025252	VBILacSp145496_0001	710	1057	+	348		hypothetical protein
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025254	VBILacSp145496_0002	1141	1311	+	171		hypothetical protein
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025253	VBILacSp145496_0002	1141	1311	+	171		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025255	VBILacSp145496_0003	1647	2390	+	744		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025256	VBILacSp145496_0003	1647	2390	+	744		hypothetical protein
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025258	VBILacSp145496_0004	2649	3707	+	1059		Heat-inducible transcription repressor HrcA
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025257	VBILacSp145496_0004	2649	3707	+	1059		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025260	VBILacSp145496_0005	3853	4266	+	414		Heat shock protein GrpE
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025259	VBILacSp145496_0005	3853	4266	+	414		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025261	VBILacSp145496_0006	4283	6124	+	1842		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025262	VBILacSp145496_0006	4283	6124	+	1842		Chaperone protein DnaK
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025264	VBILacSp145496_0007	6193	7326	+	1134		Chaperone protein DnaJ
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025263	VBILacSp145496_0007	6193	7326	+	1134		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025265	VBILacSp145496_0008	7516	9354	+	1839		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025266	VBILacSp145496_0008	7516	9354	+	1839		Translation elongation factor LepA
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025268	VBILacSp145496_0009	9356	10042	+	687		Sortase A, LPXTG specific
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025267	VBILacSp145496_0009	9356	10042	+	687		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025270	VBILacSp145496_0010	10039	12324	+	2286		Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-)
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025269	VBILacSp145496_0010	10039	12324	+	2286		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025271	VBILacSp145496_0011	12421	12948	+	528		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025272	VBILacSp145496_0011	12421	12948	+	528		Adenine phosphoribosyltransferase (EC 2.4.2.7)
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025274	VBILacSp145496_0012	13012	13968	+	957		Thymidylate synthase (EC 2.1.1.45)
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025273	VBILacSp145496_0012	13012	13968	+	957		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025276	VBILacSp145496_0013	13990	14490	+	501		Dihydrofolate reductase (EC 1.5.1.3)
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025275	VBILacSp145496_0013	13990	14490	+	501		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025278	VBILacSp145496_0014	14521	14856	+	336		FIG00743560: hypothetical protein
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025277	VBILacSp145496_0014	14521	14856	+	336		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025279	VBILacSp145496_0015	14867	15994	+	1128		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025280	VBILacSp145496_0015	14867	15994	+	1128		tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61)
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025282	VBILacSp145496_0016	16023	16679	+	657		Phosphoglycerate mutase family 5
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025281	VBILacSp145496_0016	16023	16679	+	657		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025284	VBILacSp145496_0017	16679	17311	+	633		FIG00742458: hypothetical protein
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025283	VBILacSp145496_0017	16679	17311	+	633		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025286	VBILacSp145496_0018	17339	19681	+	2343		RecD-like DNA helicase YrrC
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025285	VBILacSp145496_0018	17339	19681	+	2343		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025288	VBILacSp145496_0019	19720	21297	-	1578		Zn-dependent hydrolase, RNA-metabolising, CPSF 73 kDa analog
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025287	VBILacSp145496_0019	19720	21297	-	1578		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025289	VBILacSp145496_0020	21408	21632	-	225		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025290	VBILacSp145496_0020	21408	21632	-	225		Protein of unknown function DUF1447
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025291	VBILacSp145496_0021	21769	22323	-	555		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025292	VBILacSp145496_0021	21769	22323	-	555		Peptide deformylase (EC 3.5.1.88)
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025293	VBILacSp145496_0022	22577	24412	+	1836		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025294	VBILacSp145496_0022	22577	24412	+	1836		GTP-binding protein TypA/BipA
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025296	VBILacSp145496_0023	24556	25758	+	1203		Cell division protein FtsW
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025295	VBILacSp145496_0023	24556	25758	+	1203		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025298	VBILacSp145496_0024	25736	26068	+	333		hypothetical Cytosolic Protein
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025297	VBILacSp145496_0024	25736	26068	+	333		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025299	VBILacSp145496_0025	26071	26619	+	549		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025300	VBILacSp145496_0025	26071	26619	+	549		Ribosomal RNA small subunit methyltransferase D (EC 2.1.1.-)
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025301	VBILacSp145496_0026	26621	27103	+	483		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025302	VBILacSp145496_0026	26621	27103	+	483		Phosphopantetheine adenylyltransferase (EC 2.7.7.3)
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025303	VBILacSp145496_0027	27105	28136	+	1032		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025304	VBILacSp145496_0027	27105	28136	+	1032		Lon-like protease with PDZ domain
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025305	VBILacSp145496_0028	28179	28811	+	633		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025306	VBILacSp145496_0028	28179	28811	+	633		Late competence protein ComEA, DNA receptor
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025308	VBILacSp145496_0029	28780	31059	+	2280		Late competence protein ComEC, DNA transport
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025307	VBILacSp145496_0029	28780	31059	+	2280		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	gene	68025309	VBILacSp145496_0030	31056	32042	+	987		
Lactobacillus sp. 7_1_47FAA	ACWR01000001	PATRIC	CDS	68025310	VBILacSp145496_0030	31056	32042	+	987		DNA polymerase III delta subunit (EC 2.7.7.7)
Lactobacillus sp. 7_1_47FAA	ACWR01000002	PATRIC	source	68025311		1	54761	+	54761		
Lactobacillus sp. 7_1_47FAA	ACWR01000002	PATRIC	gene	68025312	VBILacSp145496_0031	48	302	-	255		
Lactobacillus sp. 7_1_47FAA	ACWR01000002	PATRIC	CDS	68025313	VBILacSp145496_0031	48	302	-	255		SSU ribosomal protein S20p
Lactobacillus sp. 7_1_47FAA	ACWR01000002	PATRIC	gene	68025314	VBILacSp145496_0032	495	764	+	270		
Lactobacillus sp. 7_1_47FAA	ACWR01000002	PATRIC	CDS	68025315	VBILacSp145496_0032	495	764	+	270		SSU ribosomal protein S15p (S13e)
Lactobacillus sp. 7_1_47FAA	ACWR01000002	PATRIC	CDS	68025317	VBILacSp145496_0033	951	2837	+	1887		Zn-dependent hydrolase, RNA-metabolising, CPSF 100 kDa analog
Lactobacillus sp. 7_1_47FAA	ACWR01000002	PATRIC	gene	68025316	VBILacSp145496_0033	951	2837	+	1887		
Lactobacillus sp. 7_1_47FAA	ACWR01000002	PATRIC	CDS	68025319	VBILacSp145496_0034	2806	3675	+	870		FIG00742723: hypothetical protein
Lactobacillus sp. 7_1_47FAA	ACWR01000002	PATRIC	gene	68025318	VBILacSp145496_0034	2806	3675	+	870		
Lactobacillus sp. 7_1_47FAA	ACWR01000002	PATRIC	CDS	68025321	VBILacSp145496_0035	3845	5035	+	1191		Translation elongation factor Tu
Lactobacillus sp. 7_1_47FAA	ACWR01000002	PATRIC	gene	68025320	VBILacSp145496_0035	3845	5035	+	1191		
Lactobacillus sp. 7_1_47FAA	ACWR01000002	PATRIC	gene	68025322	VBILacSp145496_0036	5162	6490	+	1329		
Lactobacillus sp. 7_1_47FAA	ACWR01000002	PATRIC	CDS	68025323	VBILacSp145496_0036	5162	6490	+	1329		Cell division trigger factor (EC 5.2.1.8)
Lactobacillus sp. 7_1_47FAA	ACWR01000002	PATRIC	CDS	68025325	VBILacSp145496_0037	6598	7887	+	1290		ATP-dependent Clp protease ATP-binding subunit ClpX
Lactobacillus sp. 7_1_47FAA	ACWR01000002	PATRIC	gene	68025324	VBILacSp145496_0037	6598	7887	+	1290		
Lactobacillus sp. 7_1_47FAA	ACWR01000002	PATRIC	CDS	68025327	VBILacSp145496_0038	7877	8464	+	588		GTP-binding protein EngB
Lactobacillus sp. 7_1_47FAA	ACWR01000002	PATRIC	gene	68025326	VBILacSp145496_0038	7877	8464	+	588		
Lactobacillus sp. 7_1_47FAA	ACWR01000002	PATRIC	gene	68025328	VBILacSp145496_0039	8536	9054	+	519		
Lactobacillus sp. 7_1_47FAA	ACWR01000002	PATRIC	CDS	68025329	VBILacSp145496_0039	8536	9054	+	519		FIG00743608: hypothetical protein
Lactobacillus sp. 7_1_47FAA	ACWR01000002	PATRIC	gene	68025330	VBILacSp145496_0040	9135	9797	+	663		
Lactobacillus sp. 7_1_47FAA	ACWR01000002	PATRIC	CDS	68025331	VBILacSp145496_0040	9135	9797	+	663		L-serine dehydratase, beta subunit (EC 4.3.1.17)
Lactobacillus sp. 7_1_47FAA	ACWR01000002	PATRIC	CDS	68025333	VBILacSp145496_0041	9819	10700	+	882		L-serine dehydratase, alpha subunit (EC 4.3.1.17)
Lactobacillus sp. 7_1_47FAA	ACWR01000002	PATRIC	gene	68025332	VBILacSp145496_0041	9819	10700	+	882		
Lactobacillus sp. 7_1_47FAA	ACWR01000002	PATRIC	CDS	68025335	VBILacSp145496_0042	10702	11016	+	315		probably aromatic ring hydroxylating enzyme, evidenced by COGnitor; PaaD-like protein (DUF59) involved in Fe-S cluster assembly
